66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:49:58.0 (310013)|USER_INFO|[EXTERNAL]|0051N000008bAK9|contingenciafalabella@falabella.com.mx|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
17:49:58.0 (436120)|EXECUTION_STARTED
17:49:58.0 (473013)|CODE_UNIT_STARTED|[EXTERNAL]|apex://ExpedientesFalabella/ACTION$getDocumentApiGee
17:49:58.0 (5588379)|CODE_UNIT_STARTED|[EXTERNAL]|01p3l000005r3c4|ExpedientesFalabella.getDocumentApiGee(String, String)
17:49:58.0 (5929520)|HEAP_ALLOCATE|[95]|Bytes:3
17:49:58.0 (6032259)|HEAP_ALLOCATE|[100]|Bytes:152
17:49:58.0 (6047515)|HEAP_ALLOCATE|[417]|Bytes:408
17:49:58.0 (6058838)|HEAP_ALLOCATE|[430]|Bytes:408
17:49:58.0 (6079417)|HEAP_ALLOCATE|[317]|Bytes:6
17:49:58.0 (6089664)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
17:49:58.0 (6112285)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:49:58.0 (6138053)|METHOD_ENTRY|[12]|01p3l000005r3c4|ExpedientesFalabella.ExpedientesFalabella()
17:49:58.0 (6154908)|STATEMENT_EXECUTE|[12]
17:49:58.0 (6173564)|STATEMENT_EXECUTE|[12]
17:49:58.0 (6179190)|METHOD_EXIT|[12]|ExpedientesFalabella
17:49:58.0 (6183164)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:2
17:49:58.0 (6184843)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:9
17:49:58.0 (6209109)|VARIABLE_SCOPE_BEGIN|[52]|documentSubTypeId|String|false|false
17:49:58.0 (6258528)|VARIABLE_ASSIGNMENT|[52]|documentSubTypeId|"04"
17:49:58.0 (6261680)|VARIABLE_SCOPE_BEGIN|[52]|idRequest|String|false|false
17:49:58.0 (6266531)|VARIABLE_ASSIGNMENT|[52]|idRequest|"309495430"
17:49:58.0 (6274257)|STATEMENT_EXECUTE|[52]
17:49:58.0 (6275307)|STATEMENT_EXECUTE|[54]
17:49:58.0 (6277375)|HEAP_ALLOCATE|[54]|Bytes:74
17:49:58.0 (6295101)|HEAP_ALLOCATE|[54]|Bytes:83
17:49:58.0 (6317128)|HEAP_ALLOCATE|[68]|Bytes:5
17:49:58.0 (6343459)|HEAP_ALLOCATE|[74]|Bytes:5
17:49:58.0 (6347654)|HEAP_ALLOCATE|[82]|Bytes:7
17:49:58.0 (6411939)|USER_DEBUG|[54]|DEBUG|ExpedientesFalabella.cls - getDocumentApiGee: consulta disponibilidad doc 309495430
17:49:58.0 (6420650)|STATEMENT_EXECUTE|[56]
17:49:58.0 (6424298)|VARIABLE_SCOPE_BEGIN|[56]|msv2|Boolean|false|false
17:49:58.0 (6586584)|HEAP_ALLOCATE|[56]|Bytes:5
17:49:58.0 (6592711)|VARIABLE_ASSIGNMENT|[56]|msv2|false
17:49:58.0 (6595202)|STATEMENT_EXECUTE|[58]
17:49:58.0 (6596140)|STATEMENT_EXECUTE|[58]
17:49:58.0 (6597109)|STATEMENT_EXECUTE|[59]
17:49:58.0 (6598707)|HEAP_ALLOCATE|[59]|Bytes:61
17:49:58.0 (6614185)|HEAP_ALLOCATE|[59]|Bytes:4
17:49:58.0 (6627341)|HEAP_ALLOCATE|[59]|Bytes:7
17:49:58.0 (7869181)|SOQL_EXECUTE_BEGIN|[59]|Aggregations:0|SELECT Sucursal__c FROM Case WHERE ID_Solicitud__c = :tmpVar1
17:49:58.0 (29988898)|SOQL_EXECUTE_END|[59]|Rows:0
