66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:54:48.0 (277910)|USER_INFO|[EXTERNAL]|0051N000008bAK9|contingenciafalabella@falabella.com.mx|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
17:54:48.0 (378146)|EXECUTION_STARTED
17:54:48.0 (403947)|CODE_UNIT_STARTED|[EXTERNAL]|apex://ExpedientesFalabella/ACTION$getDocumentApiGee
17:54:48.0 (2003915)|CODE_UNIT_STARTED|[EXTERNAL]|01p3l000005r3c4|ExpedientesFalabella.getDocumentApiGee(String, String)
17:54:48.0 (2298185)|HEAP_ALLOCATE|[95]|Bytes:3
17:54:48.0 (2397655)|HEAP_ALLOCATE|[100]|Bytes:152
17:54:48.0 (2412705)|HEAP_ALLOCATE|[417]|Bytes:408
17:54:48.0 (2423342)|HEAP_ALLOCATE|[430]|Bytes:408
17:54:48.0 (2443851)|HEAP_ALLOCATE|[317]|Bytes:6
17:54:48.0 (2455751)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
17:54:48.0 (2458451)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:54:48.0 (2485881)|METHOD_ENTRY|[12]|01p3l000005r3c4|ExpedientesFalabella.ExpedientesFalabella()
17:54:48.0 (2502566)|STATEMENT_EXECUTE|[12]
17:54:48.0 (2518799)|STATEMENT_EXECUTE|[12]
17:54:48.0 (2524252)|METHOD_EXIT|[12]|ExpedientesFalabella
17:54:48.0 (2528123)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:2
17:54:48.0 (2529772)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:54:48.0 (2557835)|VARIABLE_SCOPE_BEGIN|[52]|documentSubTypeId|String|false|false
17:54:48.0 (2610741)|VARIABLE_ASSIGNMENT|[52]|documentSubTypeId|"07"
17:54:48.0 (2614151)|VARIABLE_SCOPE_BEGIN|[52]|idRequest|String|false|false
17:54:48.0 (2618615)|VARIABLE_ASSIGNMENT|[52]|idRequest|"000002672993"
17:54:48.0 (2625084)|STATEMENT_EXECUTE|[52]
17:54:48.0 (2626158)|STATEMENT_EXECUTE|[54]
17:54:48.0 (2628155)|HEAP_ALLOCATE|[54]|Bytes:74
17:54:48.0 (2640511)|HEAP_ALLOCATE|[54]|Bytes:86
17:54:48.0 (2660787)|HEAP_ALLOCATE|[68]|Bytes:5
17:54:48.0 (2684316)|HEAP_ALLOCATE|[74]|Bytes:5
17:54:48.0 (2688630)|HEAP_ALLOCATE|[82]|Bytes:7
17:54:48.0 (2748212)|USER_DEBUG|[54]|DEBUG|ExpedientesFalabella.cls - getDocumentApiGee: consulta disponibilidad doc 000002672993
17:54:48.0 (2759040)|STATEMENT_EXECUTE|[56]
17:54:48.0 (2762802)|VARIABLE_SCOPE_BEGIN|[56]|msv2|Boolean|false|false
17:54:48.0 (2915430)|HEAP_ALLOCATE|[56]|Bytes:5
17:54:48.0 (2921839)|VARIABLE_ASSIGNMENT|[56]|msv2|false
17:54:48.0 (2924971)|STATEMENT_EXECUTE|[58]
17:54:48.0 (2925907)|STATEMENT_EXECUTE|[58]
17:54:48.0 (2926819)|STATEMENT_EXECUTE|[59]
17:54:48.0 (2928321)|HEAP_ALLOCATE|[59]|Bytes:61
17:54:48.0 (2938583)|HEAP_ALLOCATE|[59]|Bytes:4
17:54:48.0 (2946587)|HEAP_ALLOCATE|[59]|Bytes:7
17:54:48.0 (4018478)|SOQL_EXECUTE_BEGIN|[59]|Aggregations:0|SELECT Sucursal__c FROM Case WHERE ID_Solicitud__c = :tmpVar1
17:54:48.0 (15803391)|SOQL_EXECUTE_END|[59]|Rows:0
17:54:48.0 (15846314)|HEAP_ALLOCATE|[59]|Bytes:4
17:54:48.0 (15860288)|HEAP_ALLOCATE|[59]|Bytes:0
17:54:48.0 (15992988)|HEAP_ALLOCATE|[59]|Bytes:4
17:54:48.0 (16011313)|HEAP_ALLOCATE|[59]|Bytes:30
17:54:48.0 (16113395)|HEAP_ALLOCATE|[59]|Bytes:46
17:54:48.0 (16147843)|VARIABLE_SCOPE_BEGIN|[71]|e|Exception|true|false
17:54:48.0 (16326440)|VARIABLE_ASSIGNMENT|[71]|e|"common.apex.runtime.impl.ExecutionException: List has no rows for assignment to SObject"|0x188ba011
17:54:48.0 (16337558)|STATEMENT_EXECUTE|[71]
17:54:48.0 (16338851)|STATEMENT_EXECUTE|[72]
17:54:48.0 (16344914)|HEAP_ALLOCATE|[72]|Bytes:5
17:54:48.0 (16352091)|VARIABLE_ASSIGNMENT|[72]|msv2|true
17:54:48.0 (16354677)|STATEMENT_EXECUTE|[73]
17:54:48.0 (16356480)|HEAP_ALLOCATE|[73]|Bytes:47
17:54:48.0 (16420277)|HEAP_ALLOCATE|[73]|Bytes:4
17:54:48.0 (16432295)|HEAP_ALLOCATE|[73]|Bytes:51
17:54:48.0 (16450421)|USER_DEBUG|[73]|DEBUG|No se encontró un caso, se consultará la msV2: true
17:54:48.0 (16458168)|STATEMENT_EXECUTE|[74]
17:54:48.0 (16459613)|HEAP_ALLOCATE|[74]|Bytes:12
17:54:48.0 (16462143)|HEAP_ALLOCATE|[74]|Bytes:8
17:54:48.0 (16476314)|HEAP_ALLOCATE|[74]|Bytes:65
17:54:48.0 (16485717)|HEAP_ALLOCATE|[74]|Bytes:97
17:54:48.0 (16490628)|USER_DEBUG|[74]|DEBUG|Catch CURP: 000002672993 Error: System.QueryException: List has no rows for assignment to SObject
17:54:48.0 (16509800)|STATEMENT_EXECUTE|[78]
17:54:48.0 (17222346)|VARIABLE_SCOPE_BEGIN|[17]|MicroServicioApiGee.ENDPOINT_MS|String|false|true
17:54:48.0 (17230176)|VARIABLE_SCOPE_BEGIN|[18]|MicroServicioApiGee.ENDPOINT_MS_V2|String|false|true
17:54:48.0 (17233606)|VARIABLE_SCOPE_BEGIN|[15]|MicroServicioApiGee.ENDPOINT_TOKEN|String|false|true
17:54:48.0 (17237209)|VARIABLE_SCOPE_BEGIN|[16]|MicroServicioApiGee.GET|String|false|true
17:54:48.0 (17241027)|VARIABLE_SCOPE_BEGIN|[14]|MicroServicioApiGee.POST|String|false|true
17:54:48.0 (17244542)|VARIABLE_SCOPE_BEGIN|[19]|MicroServicioApiGee.token|String|false|true
17:54:48.0 (17259570)|HEAP_ALLOCATE|[78]|Bytes:12
17:54:48.0 (17264346)|HEAP_ALLOCATE|[78]|Bytes:17
17:54:48.0 (17266186)|HEAP_ALLOCATE|[78]|Bytes:33
17:54:48.0 (17304736)|VARIABLE_ASSIGNMENT|[78]|MicroServicioApiGee.ENDPOINT_MS|"document-management/ (13 more) ..."
17:54:48.0 (17307672)|HEAP_ALLOCATE|[78]|Bytes:33
17:54:48.0 (17312655)|VARIABLE_ASSIGNMENT|[78]|MicroServicioApiGee.ENDPOINT_MS_V2|"document-management/ (13 more) ..."
17:54:48.0 (17315575)|HEAP_ALLOCATE|[78]|Bytes:14
17:54:48.0 (17348275)|VARIABLE_ASSIGNMENT|[78]|MicroServicioApiGee.ENDPOINT_TOKEN|"oauth/cc/token"
17:54:48.0 (17350900)|HEAP_ALLOCATE|[78]|Bytes:3
17:54:48.0 (17354974)|VARIABLE_ASSIGNMENT|[78]|MicroServicioApiGee.GET|"GET"
17:54:48.0 (17357296)|HEAP_ALLOCATE|[78]|Bytes:4
17:54:48.0 (17360927)|VARIABLE_ASSIGNMENT|[78]|MicroServicioApiGee.POST|"POST"
17:54:48.0 (17383161)|METHOD_ENTRY|[11]|01p3l000005r3c7|MicroServicioApiGee.MicroServicioApiGee()
17:54:48.0 (17389627)|STATEMENT_EXECUTE|[11]
17:54:48.0 (17394351)|STATEMENT_EXECUTE|[11]
17:54:48.0 (17400971)|METHOD_EXIT|[11]|MicroServicioApiGee
17:54:48.0 (17422644)|METHOD_ENTRY|[78]|01p3l000005r3c7|MicroServicioApiGee.getDocumentApiGee(String, String, Boolean)
