66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:48:12.0 (222653)|USER_INFO|[EXTERNAL]|0051N000008bAK9|contingenciafalabella@falabella.com.mx|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
17:48:12.0 (314651)|EXECUTION_STARTED
17:48:12.0 (336571)|CODE_UNIT_STARTED|[EXTERNAL]|apex://ExpedientesFalabella/ACTION$getDocumentBlobStorage
17:48:12.0 (1458887)|CODE_UNIT_STARTED|[EXTERNAL]|01p3l000005r3c4|ExpedientesFalabella.getDocumentBlobStorage(String, String, String)
17:48:12.0 (1644378)|HEAP_ALLOCATE|[95]|Bytes:3
17:48:12.0 (1718182)|HEAP_ALLOCATE|[100]|Bytes:152
17:48:12.0 (1731430)|HEAP_ALLOCATE|[417]|Bytes:408
17:48:12.0 (1742110)|HEAP_ALLOCATE|[430]|Bytes:408
17:48:12.0 (1762256)|HEAP_ALLOCATE|[317]|Bytes:6
17:48:12.0 (1809727)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
17:48:12.0 (1812740)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:48:12.0 (1862533)|METHOD_ENTRY|[12]|01p3l000005r3c4|ExpedientesFalabella.ExpedientesFalabella()
17:48:12.0 (1878018)|STATEMENT_EXECUTE|[12]
17:48:12.0 (1925110)|STATEMENT_EXECUTE|[12]
17:48:12.0 (1931538)|METHOD_EXIT|[12]|ExpedientesFalabella
17:48:12.0 (1935598)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:9
17:48:12.0 (1937488)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
17:48:12.0 (1938828)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:48:12.0 (1943678)|VARIABLE_SCOPE_BEGIN|[91]|idSolicitud|String|false|false
17:48:12.0 (1981926)|VARIABLE_ASSIGNMENT|[91]|idSolicitud|"309495430"
17:48:12.0 (1984989)|VARIABLE_SCOPE_BEGIN|[91]|link|String|false|false
17:48:12.0 (1989233)|VARIABLE_ASSIGNMENT|[91]|link|"-GafeteReverso"
17:48:12.0 (1991358)|VARIABLE_SCOPE_BEGIN|[91]|microServicio|String|false|false
17:48:12.0 (1995369)|VARIABLE_ASSIGNMENT|[91]|microServicio|"BlobStorage"
17:48:12.0 (2002435)|STATEMENT_EXECUTE|[91]
17:48:12.0 (2004278)|STATEMENT_EXECUTE|[93]
17:48:12.0 (2063047)|VARIABLE_SCOPE_BEGIN|[18]|MicroServicioModalImagenesBO.ENDPOINTBLOBSTORAGE|String|false|true
17:48:12.0 (2067076)|VARIABLE_SCOPE_BEGIN|[19]|MicroServicioModalImagenesBO.ENDPOINTWISTONDATA|String|false|true
17:48:12.0 (2069882)|VARIABLE_SCOPE_BEGIN|[20]|MicroServicioModalImagenesBO.MICROSBLOBSTORAGE|String|false|true
17:48:12.0 (2072778)|VARIABLE_SCOPE_BEGIN|[21]|MicroServicioModalImagenesBO.MICROSWISTONDATA|String|false|true
