66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:48:07.0 (271728)|USER_INFO|[EXTERNAL]|0051N000008bAK9|contingenciafalabella@falabella.com.mx|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
17:48:07.0 (350772)|EXECUTION_STARTED
17:48:07.0 (380787)|CODE_UNIT_STARTED|[EXTERNAL]|apex://ExpedientesFalabella/ACTION$getDocumentBlobStorage
17:48:07.0 (5120023)|CODE_UNIT_STARTED|[EXTERNAL]|01p3l000005r3c4|ExpedientesFalabella.getDocumentBlobStorage(String, String, String)
17:48:07.0 (5438476)|HEAP_ALLOCATE|[95]|Bytes:3
17:48:07.0 (5769076)|HEAP_ALLOCATE|[100]|Bytes:152
17:48:07.0 (5786053)|HEAP_ALLOCATE|[417]|Bytes:408
17:48:07.0 (5797631)|HEAP_ALLOCATE|[430]|Bytes:408
17:48:07.0 (5820781)|HEAP_ALLOCATE|[317]|Bytes:6
17:48:07.0 (5833538)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
17:48:07.0 (5836841)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:48:07.0 (5867277)|METHOD_ENTRY|[12]|01p3l000005r3c4|ExpedientesFalabella.ExpedientesFalabella()
17:48:07.0 (5885763)|STATEMENT_EXECUTE|[12]
17:48:07.0 (5907519)|STATEMENT_EXECUTE|[12]
17:48:07.0 (5912967)|METHOD_EXIT|[12]|ExpedientesFalabella
17:48:07.0 (5917209)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:9
17:48:07.0 (5918914)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:22
17:48:07.0 (5920304)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:48:07.0 (5962761)|VARIABLE_SCOPE_BEGIN|[91]|idSolicitud|String|false|false
17:48:07.0 (6012968)|VARIABLE_ASSIGNMENT|[91]|idSolicitud|"309495430"
17:48:07.0 (6036316)|VARIABLE_SCOPE_BEGIN|[91]|link|String|false|false
17:48:07.0 (6043941)|VARIABLE_ASSIGNMENT|[91]|link|"-ComprobanteDomicili (2 more) ..."
17:48:07.0 (6046444)|VARIABLE_SCOPE_BEGIN|[91]|microServicio|String|false|false
17:48:07.0 (6050818)|VARIABLE_ASSIGNMENT|[91]|microServicio|"BlobStorage"
17:48:07.0 (6059816)|STATEMENT_EXECUTE|[91]
17:48:07.0 (6061008)|STATEMENT_EXECUTE|[93]
17:48:07.0 (9385762)|VARIABLE_SCOPE_BEGIN|[18]|MicroServicioModalImagenesBO.ENDPOINTBLOBSTORAGE|String|false|true
17:48:07.0 (9399257)|VARIABLE_SCOPE_BEGIN|[19]|MicroServicioModalImagenesBO.ENDPOINTWISTONDATA|String|false|true
17:48:07.0 (9408228)|VARIABLE_SCOPE_BEGIN|[20]|MicroServicioModalImagenesBO.MICROSBLOBSTORAGE|String|false|true
17:48:07.0 (9411751)|VARIABLE_SCOPE_BEGIN|[21]|MicroServicioModalImagenesBO.MICROSWISTONDATA|String|false|true
17:48:07.0 (9415261)|VARIABLE_SCOPE_BEGIN|[17]|MicroServicioModalImagenesBO.POST|String|false|true
17:48:07.0 (9432803)|HEAP_ALLOCATE|[93]|Bytes:20
17:48:07.0 (9441112)|HEAP_ALLOCATE|[93]|Bytes:48
17:48:07.0 (9443086)|HEAP_ALLOCATE|[93]|Bytes:24
17:48:07.0 (9487262)|VARIABLE_ASSIGNMENT|[93]|MicroServicioModalImagenesBO.ENDPOINTBLOBSTORAGE|"onboarding/file/down (4 more) ..."
17:48:07.0 (9491168)|HEAP_ALLOCATE|[93]|Bytes:25
17:48:07.0 (9496413)|VARIABLE_ASSIGNMENT|[93]|MicroServicioModalImagenesBO.ENDPOINTWISTONDATA|"integracion/file/dow (5 more) ..."
17:48:07.0 (9498900)|HEAP_ALLOCATE|[93]|Bytes:27
17:48:07.0 (9502786)|VARIABLE_ASSIGNMENT|[93]|MicroServicioModalImagenesBO.MICROSBLOBSTORAGE|"MicroServicioImgBlob (7 more) ..."
17:48:07.0 (9504937)|HEAP_ALLOCATE|[93]|Bytes:26
17:48:07.0 (9508604)|VARIABLE_ASSIGNMENT|[93]|MicroServicioModalImagenesBO.MICROSWISTONDATA|"MicroServicioImgWist (6 more) ..."
17:48:07.0 (9510789)|HEAP_ALLOCATE|[93]|Bytes:4
17:48:07.0 (9514283)|VARIABLE_ASSIGNMENT|[93]|MicroServicioModalImagenesBO.POST|"POST"
17:48:07.0 (9546128)|METHOD_ENTRY|[14]|01p3l000005qhVh|MicroServicioModalImagenesBO.MicroServicioModalImagenesBO()
17:48:07.0 (9555428)|STATEMENT_EXECUTE|[14]
17:48:07.0 (9564292)|STATEMENT_EXECUTE|[14]
17:48:07.0 (9589993)|METHOD_EXIT|[14]|MicroServicioModalImagenesBO
17:48:07.0 (9633069)|METHOD_ENTRY|[93]|01p3l000005qhVh|MicroServicioModalImagenesBO.descargarImagen(String, String, String)
17:48:07.0 (9669555)|VARIABLE_SCOPE_BEGIN|[106]|idSolicitud|String|false|false
17:48:07.0 (9675377)|VARIABLE_ASSIGNMENT|[106]|idSolicitud|"309495430"
17:48:07.0 (9677875)|VARIABLE_SCOPE_BEGIN|[106]|link|String|false|false
17:48:07.0 (9682645)|VARIABLE_ASSIGNMENT|[106]|link|"-ComprobanteDomicili (2 more) ..."
17:48:07.0 (9684640)|VARIABLE_SCOPE_BEGIN|[106]|microServicio|String|false|false
17:48:07.0 (9688798)|VARIABLE_ASSIGNMENT|[106]|microServicio|"BlobStorage"
17:48:07.0 (9694797)|STATEMENT_EXECUTE|[106]
17:48:07.0 (9695950)|STATEMENT_EXECUTE|[108]
17:48:07.0 (9711925)|HEAP_ALLOCATE|[108]|Bytes:4
17:48:07.0 (9724175)|VARIABLE_SCOPE_BEGIN|[108]|result|Map<String,ANY>|true|false
17:48:07.0 (9750390)|VARIABLE_ASSIGNMENT|[108]|result|{}|0x5f97f804
17:48:07.0 (9753990)|STATEMENT_EXECUTE|[109]
17:48:07.0 (9774189)|HEAP_ALLOCATE|[68]|Bytes:5
17:48:07.0 (9799365)|HEAP_ALLOCATE|[74]|Bytes:5
