66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:48:03.0 (186566)|USER_INFO|[EXTERNAL]|0051N000008bAK9|contingenciafalabella@falabella.com.mx|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
17:48:03.0 (262650)|EXECUTION_STARTED
17:48:03.0 (271306)|CODE_UNIT_STARTED|[EXTERNAL]|apex://ExpedientesFalabella/ACTION$getDocumentBlobStorage
17:48:03.0 (2215375)|CODE_UNIT_STARTED|[EXTERNAL]|01p3l000005r3c4|ExpedientesFalabella.getDocumentBlobStorage(String, String, String)
17:48:03.0 (2424829)|HEAP_ALLOCATE|[95]|Bytes:3
17:48:03.0 (2496660)|HEAP_ALLOCATE|[100]|Bytes:152
17:48:03.0 (2512390)|HEAP_ALLOCATE|[417]|Bytes:408
17:48:03.0 (2527704)|HEAP_ALLOCATE|[430]|Bytes:408
17:48:03.0 (2548283)|HEAP_ALLOCATE|[317]|Bytes:6
17:48:03.0 (2558932)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
17:48:03.0 (2561947)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:48:03.0 (2573725)|METHOD_ENTRY|[12]|01p3l000005r3c4|ExpedientesFalabella.ExpedientesFalabella()
17:48:03.0 (2580257)|STATEMENT_EXECUTE|[12]
17:48:03.0 (2584901)|STATEMENT_EXECUTE|[12]
17:48:03.0 (2588622)|METHOD_EXIT|[12]|ExpedientesFalabella
17:48:03.0 (2591931)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:9
17:48:03.0 (2593549)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:22
17:48:03.0 (2594925)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:48:03.0 (2602506)|VARIABLE_SCOPE_BEGIN|[91]|idSolicitud|String|false|false
17:48:03.0 (2628720)|VARIABLE_ASSIGNMENT|[91]|idSolicitud|"309495430"
17:48:03.0 (2631373)|VARIABLE_SCOPE_BEGIN|[91]|link|String|false|false
17:48:03.0 (2637267)|VARIABLE_ASSIGNMENT|[91]|link|"-ComprobanteDomicili (2 more) ..."
17:48:03.0 (2639547)|VARIABLE_SCOPE_BEGIN|[91]|microServicio|String|false|false
17:48:03.0 (2643321)|VARIABLE_ASSIGNMENT|[91]|microServicio|"BlobStorage"
17:48:03.0 (2648871)|STATEMENT_EXECUTE|[91]
17:48:03.0 (2650056)|STATEMENT_EXECUTE|[93]
17:48:03.0 (15561593)|VARIABLE_SCOPE_BEGIN|[18]|MicroServicioModalImagenesBO.ENDPOINTBLOBSTORAGE|String|false|true
17:48:03.0 (15575822)|VARIABLE_SCOPE_BEGIN|[19]|MicroServicioModalImagenesBO.ENDPOINTWISTONDATA|String|false|true
17:48:03.0 (15579537)|VARIABLE_SCOPE_BEGIN|[20]|MicroServicioModalImagenesBO.MICROSBLOBSTORAGE|String|false|true
17:48:03.0 (15582682)|VARIABLE_SCOPE_BEGIN|[21]|MicroServicioModalImagenesBO.MICROSWISTONDATA|String|false|true
17:48:03.0 (15585981)|VARIABLE_SCOPE_BEGIN|[17]|MicroServicioModalImagenesBO.POST|String|false|true
17:48:03.0 (15601428)|HEAP_ALLOCATE|[93]|Bytes:20
17:48:03.0 (15611364)|HEAP_ALLOCATE|[93]|Bytes:48
17:48:03.0 (15614677)|HEAP_ALLOCATE|[93]|Bytes:24
17:48:03.0 (15663765)|VARIABLE_ASSIGNMENT|[93]|MicroServicioModalImagenesBO.ENDPOINTBLOBSTORAGE|"onboarding/file/down (4 more) ..."
17:48:03.0 (15669586)|HEAP_ALLOCATE|[93]|Bytes:25
17:48:03.0 (15677187)|VARIABLE_ASSIGNMENT|[93]|MicroServicioModalImagenesBO.ENDPOINTWISTONDATA|"integracion/file/dow (5 more) ..."
17:48:03.0 (15679676)|HEAP_ALLOCATE|[93]|Bytes:27
17:48:03.0 (15684242)|VARIABLE_ASSIGNMENT|[93]|MicroServicioModalImagenesBO.MICROSBLOBSTORAGE|"MicroServicioImgBlob (7 more) ..."
17:48:03.0 (15686361)|HEAP_ALLOCATE|[93]|Bytes:26
17:48:03.0 (15690377)|VARIABLE_ASSIGNMENT|[93]|MicroServicioModalImagenesBO.MICROSWISTONDATA|"MicroServicioImgWist (6 more) ..."
17:48:03.0 (15692530)|HEAP_ALLOCATE|[93]|Bytes:4
17:48:03.0 (15696510)|VARIABLE_ASSIGNMENT|[93]|MicroServicioModalImagenesBO.POST|"POST"
17:48:03.0 (15726275)|METHOD_ENTRY|[14]|01p3l000005qhVh|MicroServicioModalImagenesBO.MicroServicioModalImagenesBO()
17:48:03.0 (15732544)|STATEMENT_EXECUTE|[14]
17:48:03.0 (15738066)|STATEMENT_EXECUTE|[14]
17:48:03.0 (15743066)|METHOD_EXIT|[14]|MicroServicioModalImagenesBO
17:48:03.0 (15773071)|METHOD_ENTRY|[93]|01p3l000005qhVh|MicroServicioModalImagenesBO.descargarImagen(String, String, String)
17:48:03.0 (15803115)|VARIABLE_SCOPE_BEGIN|[106]|idSolicitud|String|false|false
17:48:03.0 (15809160)|VARIABLE_ASSIGNMENT|[106]|idSolicitud|"309495430"
17:48:03.0 (15811396)|VARIABLE_SCOPE_BEGIN|[106]|link|String|false|false
17:48:03.0 (15816151)|VARIABLE_ASSIGNMENT|[106]|link|"-ComprobanteDomicili (2 more) ..."
17:48:03.0 (15818127)|VARIABLE_SCOPE_BEGIN|[106]|microServicio|String|false|false
17:48:03.0 (15822085)|VARIABLE_ASSIGNMENT|[106]|microServicio|"BlobStorage"
17:48:03.0 (15826761)|STATEMENT_EXECUTE|[106]
17:48:03.0 (15827831)|STATEMENT_EXECUTE|[108]
17:48:03.0 (15840853)|HEAP_ALLOCATE|[108]|Bytes:4
