66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:48:10.0 (262714)|USER_INFO|[EXTERNAL]|0051N000008bAK9|contingenciafalabella@falabella.com.mx|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
17:48:10.0 (363335)|EXECUTION_STARTED
17:48:10.0 (390564)|CODE_UNIT_STARTED|[EXTERNAL]|apex://ExpedientesFalabella/ACTION$getDocumentBlobStorage
17:48:10.0 (3620532)|CODE_UNIT_STARTED|[EXTERNAL]|01p3l000005r3c4|ExpedientesFalabella.getDocumentBlobStorage(String, String, String)
17:48:10.0 (3884679)|HEAP_ALLOCATE|[95]|Bytes:3
17:48:10.0 (3972772)|HEAP_ALLOCATE|[100]|Bytes:152
17:48:10.0 (3988455)|HEAP_ALLOCATE|[417]|Bytes:408
17:48:10.0 (3999201)|HEAP_ALLOCATE|[430]|Bytes:408
17:48:10.0 (4021595)|HEAP_ALLOCATE|[317]|Bytes:6
17:48:10.0 (4033205)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
17:48:10.0 (4036380)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:48:10.0 (4057558)|METHOD_ENTRY|[12]|01p3l000005r3c4|ExpedientesFalabella.ExpedientesFalabella()
17:48:10.0 (4065868)|STATEMENT_EXECUTE|[12]
17:48:10.0 (4074805)|STATEMENT_EXECUTE|[12]
17:48:10.0 (4080101)|METHOD_EXIT|[12]|ExpedientesFalabella
17:48:10.0 (4084153)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:9
17:48:10.0 (4085737)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
17:48:10.0 (4087093)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:48:10.0 (4096816)|VARIABLE_SCOPE_BEGIN|[91]|idSolicitud|String|false|false
17:48:10.0 (4129663)|VARIABLE_ASSIGNMENT|[91]|idSolicitud|"309495430"
17:48:10.0 (4132794)|VARIABLE_SCOPE_BEGIN|[91]|link|String|false|false
17:48:10.0 (4137555)|VARIABLE_ASSIGNMENT|[91]|link|"-GafeteFrontal"
17:48:10.0 (4139696)|VARIABLE_SCOPE_BEGIN|[91]|microServicio|String|false|false
17:48:10.0 (4143949)|VARIABLE_ASSIGNMENT|[91]|microServicio|"BlobStorage"
17:48:10.0 (4152280)|STATEMENT_EXECUTE|[91]
17:48:10.0 (4153490)|STATEMENT_EXECUTE|[93]
17:48:10.0 (6611312)|VARIABLE_SCOPE_BEGIN|[18]|MicroServicioModalImagenesBO.ENDPOINTBLOBSTORAGE|String|false|true
17:48:10.0 (6624174)|VARIABLE_SCOPE_BEGIN|[19]|MicroServicioModalImagenesBO.ENDPOINTWISTONDATA|String|false|true
17:48:10.0 (6628006)|VARIABLE_SCOPE_BEGIN|[20]|MicroServicioModalImagenesBO.MICROSBLOBSTORAGE|String|false|true
17:48:10.0 (6631353)|VARIABLE_SCOPE_BEGIN|[21]|MicroServicioModalImagenesBO.MICROSWISTONDATA|String|false|true
17:48:10.0 (6634607)|VARIABLE_SCOPE_BEGIN|[17]|MicroServicioModalImagenesBO.POST|String|false|true
17:48:10.0 (6648624)|HEAP_ALLOCATE|[93]|Bytes:20
17:48:10.0 (6654833)|HEAP_ALLOCATE|[93]|Bytes:48
17:48:10.0 (6656653)|HEAP_ALLOCATE|[93]|Bytes:24
17:48:10.0 (6697461)|VARIABLE_ASSIGNMENT|[93]|MicroServicioModalImagenesBO.ENDPOINTBLOBSTORAGE|"onboarding/file/down (4 more) ..."
17:48:10.0 (6700745)|HEAP_ALLOCATE|[93]|Bytes:25
17:48:10.0 (6706088)|VARIABLE_ASSIGNMENT|[93]|MicroServicioModalImagenesBO.ENDPOINTWISTONDATA|"integracion/file/dow (5 more) ..."
17:48:10.0 (6708558)|HEAP_ALLOCATE|[93]|Bytes:27
17:48:10.0 (6713003)|VARIABLE_ASSIGNMENT|[93]|MicroServicioModalImagenesBO.MICROSBLOBSTORAGE|"MicroServicioImgBlob (7 more) ..."
17:48:10.0 (6715098)|HEAP_ALLOCATE|[93]|Bytes:26
17:48:10.0 (6719263)|VARIABLE_ASSIGNMENT|[93]|MicroServicioModalImagenesBO.MICROSWISTONDATA|"MicroServicioImgWist (6 more) ..."
17:48:10.0 (6721417)|HEAP_ALLOCATE|[93]|Bytes:4
17:48:10.0 (6725668)|VARIABLE_ASSIGNMENT|[93]|MicroServicioModalImagenesBO.POST|"POST"
17:48:10.0 (6751548)|METHOD_ENTRY|[14]|01p3l000005qhVh|MicroServicioModalImagenesBO.MicroServicioModalImagenesBO()
17:48:10.0 (6759235)|STATEMENT_EXECUTE|[14]
17:48:10.0 (6766254)|STATEMENT_EXECUTE|[14]
17:48:10.0 (6772035)|METHOD_EXIT|[14]|MicroServicioModalImagenesBO
17:48:10.0 (6854473)|METHOD_ENTRY|[93]|01p3l000005qhVh|MicroServicioModalImagenesBO.descargarImagen(String, String, String)
17:48:10.0 (6877966)|VARIABLE_SCOPE_BEGIN|[106]|idSolicitud|String|false|false
17:48:10.0 (6883577)|VARIABLE_ASSIGNMENT|[106]|idSolicitud|"309495430"
17:48:10.0 (6885835)|VARIABLE_SCOPE_BEGIN|[106]|link|String|false|false
17:48:10.0 (6889949)|VARIABLE_ASSIGNMENT|[106]|link|"-GafeteFrontal"
17:48:10.0 (6891969)|VARIABLE_SCOPE_BEGIN|[106]|microServicio|String|false|false
17:48:10.0 (6895915)|VARIABLE_ASSIGNMENT|[106]|microServicio|"BlobStorage"
17:48:10.0 (6901304)|STATEMENT_EXECUTE|[106]
17:48:10.0 (6902547)|STATEMENT_EXECUTE|[108]
17:48:10.0 (6916445)|HEAP_ALLOCATE|[108]|Bytes:4
17:48:10.0 (6927939)|VARIABLE_SCOPE_BEGIN|[108]|result|Map<String,ANY>|true|false
17:48:10.0 (6946062)|VARIABLE_ASSIGNMENT|[108]|result|{}|0x6187373
17:48:10.0 (6949580)|STATEMENT_EXECUTE|[109]
17:48:10.0 (6968494)|HEAP_ALLOCATE|[68]|Bytes:5
17:48:10.0 (6991544)|HEAP_ALLOCATE|[74]|Bytes:5
17:48:10.0 (6996913)|HEAP_ALLOCATE|[82]|Bytes:7
17:48:10.0 (7006649)|VARIABLE_SCOPE_BEGIN|[109]|success|Boolean|false|false
17:48:10.0 (7173646)|HEAP_ALLOCATE|[109]|Bytes:5
17:48:10.0 (7179886)|VARIABLE_ASSIGNMENT|[109]|success|false
17:48:10.0 (7182889)|STATEMENT_EXECUTE|[110]
17:48:10.0 (7184985)|VARIABLE_SCOPE_BEGIN|[110]|base64_Img|String|false|false
17:48:10.0 (7189662)|VARIABLE_ASSIGNMENT|[110]|base64_Img|null
17:48:10.0 (7191981)|STATEMENT_EXECUTE|[112]
17:48:10.0 (7193443)|HEAP_ALLOCATE|[112]|Bytes:14
17:48:10.0 (7207592)|HEAP_ALLOCATE|[112]|Bytes:23
17:48:10.0 (7271146)|USER_DEBUG|[112]|DEBUG|idSolicitud:  309495430
17:48:10.0 (7280833)|STATEMENT_EXECUTE|[113]
17:48:10.0 (7281950)|HEAP_ALLOCATE|[113]|Bytes:7
17:48:10.0 (7284990)|HEAP_ALLOCATE|[113]|Bytes:21
17:48:10.0 (7292063)|USER_DEBUG|[113]|DEBUG|link:  -GafeteFrontal
17:48:10.0 (7296008)|STATEMENT_EXECUTE|[114]
17:48:10.0 (7297123)|HEAP_ALLOCATE|[114]|Bytes:16
17:48:10.0 (7299231)|HEAP_ALLOCATE|[114]|Bytes:27
17:48:10.0 (7304275)|USER_DEBUG|[114]|DEBUG|microServicio:  BlobStorage
17:48:10.0 (7308020)|STATEMENT_EXECUTE|[116]
17:48:10.0 (7317905)|HEAP_ALLOCATE|[116]|Bytes:4
17:48:10.0 (7322762)|VARIABLE_SCOPE_BEGIN|[116]|params|Map<String,Map<String,String>>|true|false
17:48:10.0 (7330803)|VARIABLE_ASSIGNMENT|[116]|params|{}|0x47628b19
17:48:10.0 (7333902)|STATEMENT_EXECUTE|[118]
17:48:10.0 (7420619)|HEAP_ALLOCATE|[118]|Bytes:8
17:48:10.0 (7432146)|CONSTRUCTOR_ENTRY|[118]|01p3l000005qhVh|<init>()|MicroServicioModalImagenesBO
