52.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:48:01.0 (230779)|USER_INFO|[EXTERNAL]|0051N000008bAK9|contingenciafalabella@falabella.com.mx|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
17:48:01.0 (319919)|EXECUTION_STARTED
17:48:01.0 (348158)|CODE_UNIT_STARTED|[EXTERNAL]|01p3l00000EBsec|BatchUpdateCaseGestorBO
17:48:01.0 (978351)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:48:01.0 (1033711)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:48:01.0 (1058641)|METHOD_ENTRY|[11]|01p3l00000EBsec|BatchUpdateCaseGestorBO.BatchUpdateCaseGestorBO()
17:48:01.0 (1068496)|STATEMENT_EXECUTE|[11]
17:48:01.0 (1105646)|STATEMENT_EXECUTE|[11]
17:48:01.0 (1112865)|METHOD_EXIT|[11]|BatchUpdateCaseGestorBO
17:48:01.0 (1118431)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
17:48:01.0 (1121274)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:48:01.0 (1185171)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16
17:48:01.0 (1193009)|VARIABLE_SCOPE_BEGIN|[42]|this|BatchUpdateCaseGestorBO|true|false
17:48:01.0 (1266155)|VARIABLE_ASSIGNMENT|[42]|this|{"idQueueFraudesCredito":"00G3l000004HYBREA4","intCallMSAttempts":3,"lstRecordTypesBO":"0x618af0dc","lstRequestsWithError":"0x109a0d50"}|0x4c058e17
17:48:01.0 (1270674)|VARIABLE_SCOPE_BEGIN|[42]|BC|Database.BatchableContext|true|false
17:48:01.0 (1385521)|VARIABLE_ASSIGNMENT|[42]|BC|{"childJobId":"707RQ00001vVRNWYA4","jobId":"707RQ00001vVXBiYAO"}|0x47cfba49
17:48:01.0 (1389485)|VARIABLE_SCOPE_BEGIN|[42]|scope|List<Case>|true|false
17:48:01.0 (1508550)|VARIABLE_ASSIGNMENT|[42]|scope|[{"Solicitud_Repetida__c":false,"Id":"500Qg00000Pq7BvIAJ","Total_a_Condonar__c":0.0,"ID_Solicitud__c":"300009231"},{"Solicitud_Repetida__c":false,"Id":"500Qg00000PqF6HIAV","Total_a_Condonar__c":0.0,"ID_Solicitud__c":"300009230"},{"Solicitud_Repetida__c":false,"Id":"500Qg00000QIQwPIAX","Total_a_Condonar__c":1.0,"ID_Solicitud__c":"306394479"}]|0x22a57b4a
17:48:01.0 (1527520)|STATEMENT_EXECUTE|[42]
17:48:01.0 (1529433)|STATEMENT_EXECUTE|[44]
17:48:01.0 (1541194)|HEAP_ALLOCATE|[44]|Bytes:4
17:48:01.0 (1609812)|VARIABLE_SCOPE_BEGIN|[44]|lstIdSolicitud|List<String>|true|false
17:48:01.0 (1633707)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:48:01.0 (1639170)|VARIABLE_ASSIGNMENT|[44]|lstIdSolicitud|[]|0x149f63d2
