66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:48:05.0 (169662)|USER_INFO|[EXTERNAL]|0051N000008bAK9|contingenciafalabella@falabella.com.mx|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
17:48:05.0 (243805)|EXECUTION_STARTED
17:48:05.0 (252867)|CODE_UNIT_STARTED|[EXTERNAL]|apex://ExpedientesFalabella/ACTION$getPdfCreditReport
17:48:05.0 (2277183)|CODE_UNIT_STARTED|[EXTERNAL]|01p3l000005r3c4|ExpedientesFalabella.getPdfCreditReport(Map<String,String>)
17:48:05.0 (2586104)|HEAP_ALLOCATE|[95]|Bytes:3
17:48:05.0 (2686260)|HEAP_ALLOCATE|[100]|Bytes:152
17:48:05.0 (2700765)|HEAP_ALLOCATE|[417]|Bytes:408
17:48:05.0 (2712209)|HEAP_ALLOCATE|[430]|Bytes:408
17:48:05.0 (2731811)|HEAP_ALLOCATE|[317]|Bytes:6
17:48:05.0 (2742148)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
17:48:05.0 (2744946)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:48:05.0 (2755896)|METHOD_ENTRY|[12]|01p3l000005r3c4|ExpedientesFalabella.ExpedientesFalabella()
17:48:05.0 (2762984)|STATEMENT_EXECUTE|[12]
17:48:05.0 (2766985)|STATEMENT_EXECUTE|[12]
17:48:05.0 (2770784)|METHOD_EXIT|[12]|ExpedientesFalabella
17:48:05.0 (2784909)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:48:05.0 (2793086)|VARIABLE_SCOPE_BEGIN|[130]|params|Map<String,String>|true|false
17:48:05.0 (2835128)|VARIABLE_ASSIGNMENT|[130]|params|{"idSolicitud":"309495430","tipoReporte":"B"}|0x9add818
17:48:05.0 (2842976)|STATEMENT_EXECUTE|[130]
17:48:05.0 (2844102)|STATEMENT_EXECUTE|[132]
17:48:05.0 (19902843)|VARIABLE_SCOPE_BEGIN|[4]|MicroServicioBuroCreditoBO.BURO|String|false|true
17:48:05.0 (19916465)|VARIABLE_SCOPE_BEGIN|[3]|MicroServicioBuroCreditoBO.POST|String|false|true
17:48:05.0 (19928120)|HEAP_ALLOCATE|[132]|Bytes:130
17:48:05.0 (19936154)|HEAP_ALLOCATE|[132]|Bytes:124
17:48:05.0 (19938181)|HEAP_ALLOCATE|[132]|Bytes:91
17:48:05.0 (19945378)|HEAP_ALLOCATE|[132]|Bytes:20
17:48:05.0 (19947650)|HEAP_ALLOCATE|[132]|Bytes:27
17:48:05.0 (19989612)|VARIABLE_ASSIGNMENT|[132]|MicroServicioBuroCreditoBO.BURO|"client/get/xml/buro/ (7 more) ..."
17:48:05.0 (19993327)|HEAP_ALLOCATE|[132]|Bytes:4
17:48:05.0 (19998315)|VARIABLE_ASSIGNMENT|[132]|MicroServicioBuroCreditoBO.POST|"POST"
17:48:05.0 (20031574)|METHOD_ENTRY|[1]|01p3l000005qkti|MicroServicioBuroCreditoBO.MicroServicioBuroCreditoBO()
17:48:05.0 (20038004)|STATEMENT_EXECUTE|[1]
17:48:05.0 (20043254)|STATEMENT_EXECUTE|[1]
17:48:05.0 (20044532)|STATEMENT_EXECUTE|[1185]
17:48:05.0 (20045425)|STATEMENT_EXECUTE|[1220]
17:48:05.0 (20046389)|STATEMENT_EXECUTE|[1246]
17:48:05.0 (20047325)|STATEMENT_EXECUTE|[1288]
17:48:05.0 (20048140)|STATEMENT_EXECUTE|[1301]
17:48:05.0 (20048995)|STATEMENT_EXECUTE|[1321]
17:48:05.0 (20049910)|STATEMENT_EXECUTE|[1362]
17:48:05.0 (20050746)|STATEMENT_EXECUTE|[1376]
17:48:05.0 (20051823)|STATEMENT_EXECUTE|[1423]
17:48:05.0 (20052870)|STATEMENT_EXECUTE|[1461]
17:48:05.0 (20053879)|STATEMENT_EXECUTE|[1471]
17:48:05.0 (20059209)|METHOD_EXIT|[1]|MicroServicioBuroCreditoBO
17:48:05.0 (20359465)|HEAP_ALLOCATE|[132]|Bytes:16
17:48:05.0 (20374538)|CONSTRUCTOR_ENTRY|[132]|01p3l000005qkti|<init>()|MicroServicioBuroCreditoBO
17:48:05.0 (20402094)|VARIABLE_SCOPE_BEGIN|[9]|this|MicroServicioBuroCreditoBO|true|false
17:48:05.0 (20439076)|VARIABLE_ASSIGNMENT|[9]|this|{}|0x304911c6
17:48:05.0 (20444054)|STATEMENT_EXECUTE|[1]
17:48:05.0 (20445150)|STATEMENT_EXECUTE|[2]
17:48:05.0 (20446249)|STATEMENT_EXECUTE|[6]
17:48:05.0 (20447214)|STATEMENT_EXECUTE|[7]
17:48:05.0 (20451849)|HEAP_ALLOCATE|[11]|Bytes:6
17:48:05.0 (22507223)|STATEMENT_EXECUTE|[9]
17:48:05.0 (22509480)|STATEMENT_EXECUTE|[11]
17:48:05.0 (22654264)|HEAP_ALLOCATE|[11]|Bytes:122
17:48:05.0 (22674735)|HEAP_ALLOCATE|[11]|Bytes:122
17:48:05.0 (22679598)|HEAP_ALLOCATE|[11]|Bytes:1
17:48:05.0 (22696948)|HEAP_ALLOCATE|[11]|Bytes:26
17:48:05.0 (22702324)|VARIABLE_SCOPE_BEGIN|[11]|currentClassName|String|false|false
17:48:05.0 (22713659)|VARIABLE_ASSIGNMENT|[11]|currentClassName|"MicroServicioBuroCre (6 more) ..."
17:48:05.0 (22716500)|STATEMENT_EXECUTE|[12]
17:48:05.0 (22721142)|HEAP_ALLOCATE|[12]|Bytes:61
17:48:05.0 (22726734)|HEAP_ALLOCATE|[12]|Bytes:27
17:48:05.0 (22735852)|METHOD_ENTRY|[12]|01p1N00000EREqf|ClienteMicroServicios.ClienteMicroServicios()
17:48:05.0 (22739759)|STATEMENT_EXECUTE|[12]
17:48:05.0 (22741994)|STATEMENT_EXECUTE|[12]
17:48:05.0 (22744720)|METHOD_EXIT|[12]|ClienteMicroServicios
17:48:05.0 (22749657)|HEAP_ALLOCATE|[12]|Bytes:124
17:48:05.0 (22756858)|CONSTRUCTOR_ENTRY|[12]|01p1N00000EREqf|<init>()|ClienteMicroServicios
17:48:05.0 (22767241)|VARIABLE_SCOPE_BEGIN|[54]|this|ClienteMicroServicios|true|false
17:48:05.0 (22796288)|VARIABLE_ASSIGNMENT|[54]|this|{}|0x21e54ddc
17:48:05.0 (22800008)|STATEMENT_EXECUTE|[12]
17:48:05.0 (22800937)|STATEMENT_EXECUTE|[14]
17:48:05.0 (22802529)|HEAP_ALLOCATE|[14]|Bytes:23
17:48:05.0 (22810436)|VARIABLE_ASSIGNMENT|[14]|this.BASE_URL|"https://cmr-mx-busin (3 more) ..."|0x21e54ddc
17:48:05.0 (22813381)|STATEMENT_EXECUTE|[15]
17:48:05.0 (22814480)|HEAP_ALLOCATE|[15]|Bytes:23
17:48:05.0 (22819224)|VARIABLE_ASSIGNMENT|[15]|this.URI|".fif.tech/api/busine (3 more) ..."|0x21e54ddc
17:48:05.0 (22821664)|STATEMENT_EXECUTE|[17]
17:48:05.0 (22822784)|HEAP_ALLOCATE|[17]|Bytes:7
17:48:05.0 (22826053)|VARIABLE_ASSIGNMENT|[17]|this.BACKEND|"backend"|0x21e54ddc
17:48:05.0 (22828581)|STATEMENT_EXECUTE|[19]
17:48:05.0 (22829898)|HEAP_ALLOCATE|[19]|Bytes:16
17:48:05.0 (22833158)|VARIABLE_ASSIGNMENT|[19]|this.APP_JSON|"application/json"|0x21e54ddc
17:48:05.0 (22835676)|STATEMENT_EXECUTE|[20]
17:48:05.0 (22836654)|HEAP_ALLOCATE|[20]|Bytes:12
17:48:05.0 (22839944)|VARIABLE_ASSIGNMENT|[20]|this.CONT_TYPE|"Content-Type"|0x21e54ddc
17:48:05.0 (22842246)|STATEMENT_EXECUTE|[21]
17:48:05.0 (22844351)|HEAP_ALLOCATE|[21]|Bytes:4
17:48:05.0 (22850069)|VARIABLE_ASSIGNMENT|[21]|this.TIME_OUT|120000|0x21e54ddc
17:48:05.0 (22852466)|STATEMENT_EXECUTE|[22]
17:48:05.0 (22853609)|HEAP_ALLOCATE|[22]|Bytes:8
17:48:05.0 (22856747)|VARIABLE_ASSIGNMENT|[22]|this.endpoint|"products"|0x21e54ddc
17:48:05.0 (22859142)|STATEMENT_EXECUTE|[23]
17:48:05.0 (22860178)|HEAP_ALLOCATE|[23]|Bytes:4
17:48:05.0 (22863675)|VARIABLE_ASSIGNMENT|[23]|this.method|"POST"|0x21e54ddc
17:48:05.0 (22866367)|STATEMENT_EXECUTE|[24]
17:48:05.0 (22867551)|HEAP_ALLOCATE|[24]|Bytes:2
17:48:05.0 (22870744)|VARIABLE_ASSIGNMENT|[24]|this.version|"v1"|0x21e54ddc
17:48:05.0 (22873166)|STATEMENT_EXECUTE|[25]
17:48:05.0 (22874183)|HEAP_ALLOCATE|[25]|Bytes:14
17:48:05.0 (22877638)|VARIABLE_ASSIGNMENT|[25]|this.MDW_CS_CHANNEL|"mdw-cs-channel"|0x21e54ddc
17:48:05.0 (22880068)|STATEMENT_EXECUTE|[26]
17:48:05.0 (22881143)|HEAP_ALLOCATE|[26]|Bytes:15
17:48:05.0 (22884342)|VARIABLE_ASSIGNMENT|[26]|this.MDW_CS_COMMERCE|"mdw-cs-commerce"|0x21e54ddc
17:48:05.0 (22886688)|STATEMENT_EXECUTE|[27]
17:48:05.0 (22888051)|HEAP_ALLOCATE|[27]|Bytes:14
17:48:05.0 (22891384)|VARIABLE_ASSIGNMENT|[27]|this.MDW_CS_COUNTRY|"mdw-cs-country"|0x21e54ddc
17:48:05.0 (22893698)|STATEMENT_EXECUTE|[28]
17:48:05.0 (22894663)|HEAP_ALLOCATE|[28]|Bytes:11
17:48:05.0 (22897931)|VARIABLE_ASSIGNMENT|[28]|this.MDW_CS_DATE|"mdw-cs-date"|0x21e54ddc
17:48:05.0 (22900397)|STATEMENT_EXECUTE|[29]
17:48:05.0 (22901460)|HEAP_ALLOCATE|[29]|Bytes:11
17:48:05.0 (22904583)|VARIABLE_ASSIGNMENT|[29]|this.MDW_CS_HOUR|"mdw-cs-hour"|0x21e54ddc
17:48:05.0 (22906872)|STATEMENT_EXECUTE|[30]
17:48:05.0 (22907726)|STATEMENT_EXECUTE|[31]
17:48:05.0 (22908856)|HEAP_ALLOCATE|[31]|Bytes:7
17:48:05.0 (22912146)|VARIABLE_ASSIGNMENT|[31]|this.microServicio|"default"|0x21e54ddc
