66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:48:09.0 (244483)|USER_INFO|[EXTERNAL]|0051N000008bAK9|contingenciafalabella@falabella.com.mx|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
17:48:09.0 (320511)|EXECUTION_STARTED
17:48:09.0 (338697)|CODE_UNIT_STARTED|[EXTERNAL]|apex://ExpedientesFalabella/ACTION$getDocumentBlobStorage
17:48:09.0 (1615494)|CODE_UNIT_STARTED|[EXTERNAL]|01p3l000005r3c4|ExpedientesFalabella.getDocumentBlobStorage(String, String, String)
17:48:09.0 (1854295)|HEAP_ALLOCATE|[95]|Bytes:3
17:48:09.0 (1925138)|HEAP_ALLOCATE|[100]|Bytes:152
17:48:09.0 (1938004)|HEAP_ALLOCATE|[417]|Bytes:408
17:48:09.0 (1948678)|HEAP_ALLOCATE|[430]|Bytes:408
17:48:09.0 (1968636)|HEAP_ALLOCATE|[317]|Bytes:6
17:48:09.0 (2016791)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
17:48:09.0 (2020307)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:48:09.0 (2040680)|METHOD_ENTRY|[12]|01p3l000005r3c4|ExpedientesFalabella.ExpedientesFalabella()
17:48:09.0 (2059953)|STATEMENT_EXECUTE|[12]
17:48:09.0 (2070706)|STATEMENT_EXECUTE|[12]
17:48:09.0 (2075637)|METHOD_EXIT|[12]|ExpedientesFalabella
17:48:09.0 (2079105)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:9
17:48:09.0 (2080775)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:48:09.0 (2082076)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:48:09.0 (2087849)|VARIABLE_SCOPE_BEGIN|[91]|idSolicitud|String|false|false
17:48:09.0 (2126660)|VARIABLE_ASSIGNMENT|[91]|idSolicitud|"309495430"
17:48:09.0 (2129384)|VARIABLE_SCOPE_BEGIN|[91]|link|String|false|false
17:48:09.0 (2133768)|VARIABLE_ASSIGNMENT|[91]|link|"-Foto"
17:48:09.0 (2136078)|VARIABLE_SCOPE_BEGIN|[91]|microServicio|String|false|false
17:48:09.0 (2139932)|VARIABLE_ASSIGNMENT|[91]|microServicio|"BlobStorage"
17:48:09.0 (2147080)|STATEMENT_EXECUTE|[91]
17:48:09.0 (2148218)|STATEMENT_EXECUTE|[93]
17:48:09.0 (2218549)|VARIABLE_SCOPE_BEGIN|[18]|MicroServicioModalImagenesBO.ENDPOINTBLOBSTORAGE|String|false|true
17:48:09.0 (2222220)|VARIABLE_SCOPE_BEGIN|[19]|MicroServicioModalImagenesBO.ENDPOINTWISTONDATA|String|false|true
17:48:09.0 (2224999)|VARIABLE_SCOPE_BEGIN|[20]|MicroServicioModalImagenesBO.MICROSBLOBSTORAGE|String|false|true
17:48:09.0 (2227753)|VARIABLE_SCOPE_BEGIN|[21]|MicroServicioModalImagenesBO.MICROSWISTONDATA|String|false|true
17:48:09.0 (2230630)|VARIABLE_SCOPE_BEGIN|[17]|MicroServicioModalImagenesBO.POST|String|false|true
17:48:09.0 (2237590)|HEAP_ALLOCATE|[93]|Bytes:20
17:48:09.0 (2241249)|HEAP_ALLOCATE|[93]|Bytes:48
17:48:09.0 (2243059)|HEAP_ALLOCATE|[93]|Bytes:24
17:48:09.0 (2254386)|VARIABLE_ASSIGNMENT|[93]|MicroServicioModalImagenesBO.ENDPOINTBLOBSTORAGE|"onboarding/file/down (4 more) ..."
17:48:09.0 (2256798)|HEAP_ALLOCATE|[93]|Bytes:25
17:48:09.0 (2260335)|VARIABLE_ASSIGNMENT|[93]|MicroServicioModalImagenesBO.ENDPOINTWISTONDATA|"integracion/file/dow (5 more) ..."
17:48:09.0 (2262394)|HEAP_ALLOCATE|[93]|Bytes:27
17:48:09.0 (2265693)|VARIABLE_ASSIGNMENT|[93]|MicroServicioModalImagenesBO.MICROSBLOBSTORAGE|"MicroServicioImgBlob (7 more) ..."
17:48:09.0 (2267607)|HEAP_ALLOCATE|[93]|Bytes:26
17:48:09.0 (2270767)|VARIABLE_ASSIGNMENT|[93]|MicroServicioModalImagenesBO.MICROSWISTONDATA|"MicroServicioImgWist (6 more) ..."
17:48:09.0 (2272834)|HEAP_ALLOCATE|[93]|Bytes:4
17:48:09.0 (2275788)|VARIABLE_ASSIGNMENT|[93]|MicroServicioModalImagenesBO.POST|"POST"
17:48:09.0 (2287939)|METHOD_ENTRY|[14]|01p3l000005qhVh|MicroServicioModalImagenesBO.MicroServicioModalImagenesBO()
17:48:09.0 (2291307)|STATEMENT_EXECUTE|[14]
17:48:09.0 (2294750)|STATEMENT_EXECUTE|[14]
