66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:48:16.0 (289041)|USER_INFO|[EXTERNAL]|0051N000008bAK9|contingenciafalabella@falabella.com.mx|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
17:48:16.0 (391116)|EXECUTION_STARTED
17:48:16.0 (415953)|CODE_UNIT_STARTED|[EXTERNAL]|apex://ExpedientesFalabella/ACTION$getDocumentBlobStorage
17:48:16.0 (3487177)|CODE_UNIT_STARTED|[EXTERNAL]|01p3l000005r3c4|ExpedientesFalabella.getDocumentBlobStorage(String, String, String)
17:48:16.0 (4572629)|HEAP_ALLOCATE|[95]|Bytes:3
17:48:16.0 (4694798)|HEAP_ALLOCATE|[100]|Bytes:152
17:48:16.0 (4710121)|HEAP_ALLOCATE|[417]|Bytes:408
17:48:16.0 (4721969)|HEAP_ALLOCATE|[430]|Bytes:408
17:48:16.0 (4743919)|HEAP_ALLOCATE|[317]|Bytes:6
17:48:16.0 (4781493)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
17:48:16.0 (4784813)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:48:16.0 (4815994)|METHOD_ENTRY|[12]|01p3l000005r3c4|ExpedientesFalabella.ExpedientesFalabella()
17:48:16.0 (4852338)|STATEMENT_EXECUTE|[12]
17:48:16.0 (4865033)|STATEMENT_EXECUTE|[12]
17:48:16.0 (4870516)|METHOD_EXIT|[12]|ExpedientesFalabella
17:48:16.0 (4875462)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:9
17:48:16.0 (4877292)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:19
17:48:16.0 (4878726)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:48:16.0 (4901543)|VARIABLE_SCOPE_BEGIN|[91]|idSolicitud|String|false|false
17:48:16.0 (4966648)|VARIABLE_ASSIGNMENT|[91]|idSolicitud|"309495430"
17:48:16.0 (4969887)|VARIABLE_SCOPE_BEGIN|[91]|link|String|false|false
17:48:16.0 (4975092)|VARIABLE_ASSIGNMENT|[91]|link|"-TarjetaRecompensas"
17:48:16.0 (4977272)|VARIABLE_SCOPE_BEGIN|[91]|microServicio|String|false|false
17:48:16.0 (4981692)|VARIABLE_ASSIGNMENT|[91]|microServicio|"BlobStorage"
17:48:16.0 (4989799)|STATEMENT_EXECUTE|[91]
17:48:16.0 (4991203)|STATEMENT_EXECUTE|[93]
17:48:16.0 (7405248)|VARIABLE_SCOPE_BEGIN|[18]|MicroServicioModalImagenesBO.ENDPOINTBLOBSTORAGE|String|false|true
17:48:16.0 (7424131)|VARIABLE_SCOPE_BEGIN|[19]|MicroServicioModalImagenesBO.ENDPOINTWISTONDATA|String|false|true
