66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:48:17.0 (265536)|USER_INFO|[EXTERNAL]|0051N000008bAK9|contingenciafalabella@falabella.com.mx|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
17:48:17.0 (342463)|EXECUTION_STARTED
17:48:17.0 (364088)|CODE_UNIT_STARTED|[EXTERNAL]|apex://ExpedientesFalabella/ACTION$getDocumentBlobStorage
17:48:17.0 (3667268)|CODE_UNIT_STARTED|[EXTERNAL]|01p3l000005r3c4|ExpedientesFalabella.getDocumentBlobStorage(String, String, String)
17:48:17.0 (4381783)|HEAP_ALLOCATE|[95]|Bytes:3
17:48:17.0 (4458665)|HEAP_ALLOCATE|[100]|Bytes:152
17:48:17.0 (4471392)|HEAP_ALLOCATE|[417]|Bytes:408
17:48:17.0 (4481610)|HEAP_ALLOCATE|[430]|Bytes:408
17:48:17.0 (4501714)|HEAP_ALLOCATE|[317]|Bytes:6
17:48:17.0 (4511475)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
17:48:17.0 (4514652)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:48:17.0 (4541138)|METHOD_ENTRY|[12]|01p3l000005r3c4|ExpedientesFalabella.ExpedientesFalabella()
17:48:17.0 (4550113)|STATEMENT_EXECUTE|[12]
17:48:17.0 (4556786)|STATEMENT_EXECUTE|[12]
17:48:17.0 (4561372)|METHOD_EXIT|[12]|ExpedientesFalabella
17:48:17.0 (4564633)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:9
17:48:17.0 (4566244)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
17:48:17.0 (4567544)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:48:17.0 (4574084)|VARIABLE_SCOPE_BEGIN|[91]|idSolicitud|String|false|false
17:48:17.0 (4604387)|VARIABLE_ASSIGNMENT|[91]|idSolicitud|"309495430"
17:48:17.0 (4607059)|VARIABLE_SCOPE_BEGIN|[91]|link|String|false|false
17:48:17.0 (4611203)|VARIABLE_ASSIGNMENT|[91]|link|"-Solicitud"
17:48:17.0 (4613324)|VARIABLE_SCOPE_BEGIN|[91]|microServicio|String|false|false
17:48:17.0 (4617592)|VARIABLE_ASSIGNMENT|[91]|microServicio|"BlobStorage"
17:48:17.0 (4623078)|STATEMENT_EXECUTE|[91]
17:48:17.0 (4623955)|STATEMENT_EXECUTE|[93]
17:48:17.0 (5378012)|VARIABLE_SCOPE_BEGIN|[18]|MicroServicioModalImagenesBO.ENDPOINTBLOBSTORAGE|String|false|true
17:48:17.0 (5384847)|VARIABLE_SCOPE_BEGIN|[19]|MicroServicioModalImagenesBO.ENDPOINTWISTONDATA|String|false|true
17:48:17.0 (5388206)|VARIABLE_SCOPE_BEGIN|[20]|MicroServicioModalImagenesBO.MICROSBLOBSTORAGE|String|false|true
17:48:17.0 (5391587)|VARIABLE_SCOPE_BEGIN|[21]|MicroServicioModalImagenesBO.MICROSWISTONDATA|String|false|true
17:48:17.0 (5394632)|VARIABLE_SCOPE_BEGIN|[17]|MicroServicioModalImagenesBO.POST|String|false|true
17:48:17.0 (5403184)|HEAP_ALLOCATE|[93]|Bytes:20
17:48:17.0 (5407272)|HEAP_ALLOCATE|[93]|Bytes:48
17:48:17.0 (5409239)|HEAP_ALLOCATE|[93]|Bytes:24
17:48:17.0 (5442318)|VARIABLE_ASSIGNMENT|[93]|MicroServicioModalImagenesBO.ENDPOINTBLOBSTORAGE|"onboarding/file/down (4 more) ..."
17:48:17.0 (5444747)|HEAP_ALLOCATE|[93]|Bytes:25
17:48:17.0 (5448260)|VARIABLE_ASSIGNMENT|[93]|MicroServicioModalImagenesBO.ENDPOINTWISTONDATA|"integracion/file/dow (5 more) ..."
17:48:17.0 (5450302)|HEAP_ALLOCATE|[93]|Bytes:27
17:48:17.0 (5453492)|VARIABLE_ASSIGNMENT|[93]|MicroServicioModalImagenesBO.MICROSBLOBSTORAGE|"MicroServicioImgBlob (7 more) ..."
17:48:17.0 (5455420)|HEAP_ALLOCATE|[93]|Bytes:26
17:48:17.0 (5458454)|VARIABLE_ASSIGNMENT|[93]|MicroServicioModalImagenesBO.MICROSWISTONDATA|"MicroServicioImgWist (6 more) ..."
17:48:17.0 (5460338)|HEAP_ALLOCATE|[93]|Bytes:4
17:48:17.0 (5463516)|VARIABLE_ASSIGNMENT|[93]|MicroServicioModalImagenesBO.POST|"POST"
17:48:17.0 (5513421)|METHOD_ENTRY|[14]|01p3l000005qhVh|MicroServicioModalImagenesBO.MicroServicioModalImagenesBO()
17:48:17.0 (5518724)|STATEMENT_EXECUTE|[14]
17:48:17.0 (5523214)|STATEMENT_EXECUTE|[14]
17:48:17.0 (5527851)|METHOD_EXIT|[14]|MicroServicioModalImagenesBO
17:48:17.0 (5555014)|METHOD_ENTRY|[93]|01p3l000005qhVh|MicroServicioModalImagenesBO.descargarImagen(String, String, String)
17:48:17.0 (5577004)|VARIABLE_SCOPE_BEGIN|[106]|idSolicitud|String|false|false
17:48:17.0 (5581987)|VARIABLE_ASSIGNMENT|[106]|idSolicitud|"309495430"
17:48:17.0 (5584124)|VARIABLE_SCOPE_BEGIN|[106]|link|String|false|false
17:48:17.0 (5587762)|VARIABLE_ASSIGNMENT|[106]|link|"-Solicitud"
17:48:17.0 (5589605)|VARIABLE_SCOPE_BEGIN|[106]|microServicio|String|false|false
17:48:17.0 (5593711)|VARIABLE_ASSIGNMENT|[106]|microServicio|"BlobStorage"
17:48:17.0 (5597931)|STATEMENT_EXECUTE|[106]
17:48:17.0 (5598939)|STATEMENT_EXECUTE|[108]
17:48:17.0 (5609656)|HEAP_ALLOCATE|[108]|Bytes:4
17:48:17.0 (5620698)|VARIABLE_SCOPE_BEGIN|[108]|result|Map<String,ANY>|true|false
17:48:17.0 (5639334)|VARIABLE_ASSIGNMENT|[108]|result|{}|0x65cb84e6
17:48:17.0 (5642559)|STATEMENT_EXECUTE|[109]
17:48:17.0 (5656799)|HEAP_ALLOCATE|[68]|Bytes:5
17:48:17.0 (5675440)|HEAP_ALLOCATE|[74]|Bytes:5
17:48:17.0 (5680618)|HEAP_ALLOCATE|[82]|Bytes:7
17:48:17.0 (5688404)|VARIABLE_SCOPE_BEGIN|[109]|success|Boolean|false|false
17:48:17.0 (5843574)|HEAP_ALLOCATE|[109]|Bytes:5
17:48:17.0 (5848756)|VARIABLE_ASSIGNMENT|[109]|success|false
17:48:17.0 (5851235)|STATEMENT_EXECUTE|[110]
17:48:17.0 (5852903)|VARIABLE_SCOPE_BEGIN|[110]|base64_Img|String|false|false
17:48:17.0 (5857440)|VARIABLE_ASSIGNMENT|[110]|base64_Img|null
17:48:17.0 (5859416)|STATEMENT_EXECUTE|[112]
17:48:17.0 (5860877)|HEAP_ALLOCATE|[112]|Bytes:14
17:48:17.0 (5871826)|HEAP_ALLOCATE|[112]|Bytes:23
17:48:17.0 (5935505)|USER_DEBUG|[112]|DEBUG|idSolicitud:  309495430
17:48:17.0 (5942328)|STATEMENT_EXECUTE|[113]
17:48:17.0 (5943613)|HEAP_ALLOCATE|[113]|Bytes:7
17:48:17.0 (5946495)|HEAP_ALLOCATE|[113]|Bytes:17
17:48:17.0 (5953075)|USER_DEBUG|[113]|DEBUG|link:  -Solicitud
17:48:17.0 (5956646)|STATEMENT_EXECUTE|[114]
17:48:17.0 (5957671)|HEAP_ALLOCATE|[114]|Bytes:16
17:48:17.0 (5959908)|HEAP_ALLOCATE|[114]|Bytes:27
17:48:17.0 (5964397)|USER_DEBUG|[114]|DEBUG|microServicio:  BlobStorage
17:48:17.0 (5967436)|STATEMENT_EXECUTE|[116]
17:48:17.0 (5977619)|HEAP_ALLOCATE|[116]|Bytes:4
17:48:17.0 (5982601)|VARIABLE_SCOPE_BEGIN|[116]|params|Map<String,Map<String,String>>|true|false
17:48:17.0 (5990991)|VARIABLE_ASSIGNMENT|[116]|params|{}|0x40203cba
17:48:17.0 (5993874)|STATEMENT_EXECUTE|[118]
17:48:17.0 (6061850)|HEAP_ALLOCATE|[118]|Bytes:8
17:48:17.0 (6077584)|CONSTRUCTOR_ENTRY|[118]|01p3l000005qhVh|<init>()|MicroServicioModalImagenesBO
17:48:17.0 (6104231)|VARIABLE_SCOPE_BEGIN|[14]|this|MicroServicioModalImagenesBO|true|false
17:48:17.0 (6136261)|VARIABLE_ASSIGNMENT|[14]|this|{}|0x4d09146d
17:48:17.0 (6141717)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:6
17:48:17.0 (8375635)|STATEMENT_EXECUTE|[14]
17:48:17.0 (8378465)|STATEMENT_EXECUTE|[16]
