66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:48:19.0 (205353)|USER_INFO|[EXTERNAL]|0051N000008bAK9|contingenciafalabella@falabella.com.mx|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
17:48:19.0 (310448)|EXECUTION_STARTED
17:48:19.0 (332897)|CODE_UNIT_STARTED|[EXTERNAL]|apex://ExpedientesFalabella/ACTION$getDocumentApiGee
17:48:19.0 (2006345)|CODE_UNIT_STARTED|[EXTERNAL]|01p3l000005r3c4|ExpedientesFalabella.getDocumentApiGee(String, String)
17:48:19.0 (2250207)|HEAP_ALLOCATE|[95]|Bytes:3
17:48:19.0 (2321899)|HEAP_ALLOCATE|[100]|Bytes:152
17:48:19.0 (2335381)|HEAP_ALLOCATE|[417]|Bytes:408
17:48:19.0 (2346370)|HEAP_ALLOCATE|[430]|Bytes:408
17:48:19.0 (2364892)|HEAP_ALLOCATE|[317]|Bytes:6
17:48:19.0 (2374410)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
17:48:19.0 (2377686)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:48:19.0 (2396053)|METHOD_ENTRY|[12]|01p3l000005r3c4|ExpedientesFalabella.ExpedientesFalabella()
17:48:19.0 (2405040)|STATEMENT_EXECUTE|[12]
17:48:19.0 (2409603)|STATEMENT_EXECUTE|[12]
17:48:19.0 (2443085)|METHOD_EXIT|[12]|ExpedientesFalabella
17:48:19.0 (2447118)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:2
17:48:19.0 (2448760)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:9
17:48:19.0 (2469242)|VARIABLE_SCOPE_BEGIN|[52]|documentSubTypeId|String|false|false
17:48:19.0 (2507513)|VARIABLE_ASSIGNMENT|[52]|documentSubTypeId|"01"
17:48:19.0 (2511480)|VARIABLE_SCOPE_BEGIN|[52]|idRequest|String|false|false
17:48:19.0 (2515625)|VARIABLE_ASSIGNMENT|[52]|idRequest|"309495430"
17:48:19.0 (2521242)|STATEMENT_EXECUTE|[52]
17:48:19.0 (2522315)|STATEMENT_EXECUTE|[54]
17:48:19.0 (2524495)|HEAP_ALLOCATE|[54]|Bytes:74
17:48:19.0 (2535470)|HEAP_ALLOCATE|[54]|Bytes:83
17:48:19.0 (2553907)|HEAP_ALLOCATE|[68]|Bytes:5
17:48:19.0 (2572457)|HEAP_ALLOCATE|[74]|Bytes:5
17:48:19.0 (2577029)|HEAP_ALLOCATE|[82]|Bytes:7
17:48:19.0 (2630092)|USER_DEBUG|[54]|DEBUG|ExpedientesFalabella.cls - getDocumentApiGee: consulta disponibilidad doc 309495430
17:48:19.0 (2636710)|STATEMENT_EXECUTE|[56]
17:48:19.0 (2640815)|VARIABLE_SCOPE_BEGIN|[56]|msv2|Boolean|false|false
17:48:19.0 (2777611)|HEAP_ALLOCATE|[56]|Bytes:5
17:48:19.0 (2783478)|VARIABLE_ASSIGNMENT|[56]|msv2|false
17:48:19.0 (2786358)|STATEMENT_EXECUTE|[58]
17:48:19.0 (2787248)|STATEMENT_EXECUTE|[58]
17:48:19.0 (2788163)|STATEMENT_EXECUTE|[59]
17:48:19.0 (2789780)|HEAP_ALLOCATE|[59]|Bytes:61
17:48:19.0 (2799508)|HEAP_ALLOCATE|[59]|Bytes:4
17:48:19.0 (2806846)|HEAP_ALLOCATE|[59]|Bytes:7
17:48:19.0 (3820235)|SOQL_EXECUTE_BEGIN|[59]|Aggregations:0|SELECT Sucursal__c FROM Case WHERE ID_Solicitud__c = :tmpVar1
17:48:19.0 (17597408)|SOQL_EXECUTE_END|[59]|Rows:0
17:48:19.0 (17631333)|HEAP_ALLOCATE|[59]|Bytes:4
17:48:19.0 (17643193)|HEAP_ALLOCATE|[59]|Bytes:0
17:48:19.0 (17769191)|HEAP_ALLOCATE|[59]|Bytes:4
17:48:19.0 (17787406)|HEAP_ALLOCATE|[59]|Bytes:30
17:48:19.0 (17884798)|HEAP_ALLOCATE|[59]|Bytes:46
17:48:19.0 (17913324)|VARIABLE_SCOPE_BEGIN|[71]|e|Exception|true|false
17:48:19.0 (18092152)|VARIABLE_ASSIGNMENT|[71]|e|"common.apex.runtime.impl.ExecutionException: List has no rows for assignment to SObject"|0x477a9548
17:48:19.0 (18102405)|STATEMENT_EXECUTE|[71]
17:48:19.0 (18104332)|STATEMENT_EXECUTE|[72]
17:48:19.0 (18110035)|HEAP_ALLOCATE|[72]|Bytes:5
17:48:19.0 (18118530)|VARIABLE_ASSIGNMENT|[72]|msv2|true
17:48:19.0 (18121427)|STATEMENT_EXECUTE|[73]
17:48:19.0 (18123436)|HEAP_ALLOCATE|[73]|Bytes:47
17:48:19.0 (18185403)|HEAP_ALLOCATE|[73]|Bytes:4
17:48:19.0 (18195300)|HEAP_ALLOCATE|[73]|Bytes:51
17:48:19.0 (18213788)|USER_DEBUG|[73]|DEBUG|No se encontró un caso, se consultará la msV2: true
17:48:19.0 (18220601)|STATEMENT_EXECUTE|[74]
17:48:19.0 (18222286)|HEAP_ALLOCATE|[74]|Bytes:12
17:48:19.0 (18224783)|HEAP_ALLOCATE|[74]|Bytes:8
17:48:19.0 (18236028)|HEAP_ALLOCATE|[74]|Bytes:65
17:48:19.0 (18245136)|HEAP_ALLOCATE|[74]|Bytes:94
17:48:19.0 (18249482)|USER_DEBUG|[74]|DEBUG|Catch CURP: 309495430 Error: System.QueryException: List has no rows for assignment to SObject
17:48:19.0 (18254825)|STATEMENT_EXECUTE|[78]
17:48:19.0 (26679740)|VARIABLE_SCOPE_BEGIN|[17]|MicroServicioApiGee.ENDPOINT_MS|String|false|true
17:48:19.0 (26698550)|VARIABLE_SCOPE_BEGIN|[18]|MicroServicioApiGee.ENDPOINT_MS_V2|String|false|true
17:48:19.0 (26705532)|VARIABLE_SCOPE_BEGIN|[15]|MicroServicioApiGee.ENDPOINT_TOKEN|String|false|true
17:48:19.0 (26709524)|VARIABLE_SCOPE_BEGIN|[16]|MicroServicioApiGee.GET|String|false|true
17:48:19.0 (26714684)|VARIABLE_SCOPE_BEGIN|[14]|MicroServicioApiGee.POST|String|false|true
17:48:19.0 (26720420)|VARIABLE_SCOPE_BEGIN|[19]|MicroServicioApiGee.token|String|false|true
17:48:19.0 (26742188)|HEAP_ALLOCATE|[78]|Bytes:12
17:48:19.0 (26752305)|HEAP_ALLOCATE|[78]|Bytes:17
17:48:19.0 (26755639)|HEAP_ALLOCATE|[78]|Bytes:33
17:48:19.0 (26808568)|VARIABLE_ASSIGNMENT|[78]|MicroServicioApiGee.ENDPOINT_MS|"document-management/ (13 more) ..."
17:48:19.0 (26814791)|HEAP_ALLOCATE|[78]|Bytes:33
17:48:19.0 (26822120)|VARIABLE_ASSIGNMENT|[78]|MicroServicioApiGee.ENDPOINT_MS_V2|"document-management/ (13 more) ..."
17:48:19.0 (26825788)|HEAP_ALLOCATE|[78]|Bytes:14
17:48:19.0 (26831804)|VARIABLE_ASSIGNMENT|[78]|MicroServicioApiGee.ENDPOINT_TOKEN|"oauth/cc/token"
17:48:19.0 (26835345)|HEAP_ALLOCATE|[78]|Bytes:3
17:48:19.0 (26841429)|VARIABLE_ASSIGNMENT|[78]|MicroServicioApiGee.GET|"GET"
17:48:19.0 (26844773)|HEAP_ALLOCATE|[78]|Bytes:4
17:48:19.0 (26850506)|VARIABLE_ASSIGNMENT|[78]|MicroServicioApiGee.POST|"POST"
17:48:19.0 (26884306)|METHOD_ENTRY|[11]|01p3l000005r3c7|MicroServicioApiGee.MicroServicioApiGee()
17:48:19.0 (26895650)|STATEMENT_EXECUTE|[11]
17:48:19.0 (26905059)|STATEMENT_EXECUTE|[11]
17:48:19.0 (26913935)|METHOD_EXIT|[11]|MicroServicioApiGee
