66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:48:23.0 (232349)|USER_INFO|[EXTERNAL]|0051N000008bAK9|contingenciafalabella@falabella.com.mx|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
17:48:23.0 (317435)|EXECUTION_STARTED
17:48:23.0 (343248)|CODE_UNIT_STARTED|[EXTERNAL]|apex://ExpedientesFalabella/ACTION$getDocumentApiGee
17:48:23.0 (2072554)|CODE_UNIT_STARTED|[EXTERNAL]|01p3l000005r3c4|ExpedientesFalabella.getDocumentApiGee(String, String)
17:48:23.0 (2277499)|HEAP_ALLOCATE|[95]|Bytes:3
17:48:23.0 (2355312)|HEAP_ALLOCATE|[100]|Bytes:152
17:48:23.0 (2370204)|HEAP_ALLOCATE|[417]|Bytes:408
17:48:23.0 (2383108)|HEAP_ALLOCATE|[430]|Bytes:408
17:48:23.0 (2409836)|HEAP_ALLOCATE|[317]|Bytes:6
17:48:23.0 (2452554)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
17:48:23.0 (2457388)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:48:23.0 (2478711)|METHOD_ENTRY|[12]|01p3l000005r3c4|ExpedientesFalabella.ExpedientesFalabella()
17:48:23.0 (2508611)|STATEMENT_EXECUTE|[12]
17:48:23.0 (2515238)|STATEMENT_EXECUTE|[12]
17:48:23.0 (2521376)|METHOD_EXIT|[12]|ExpedientesFalabella
17:48:23.0 (2526195)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:2
17:48:23.0 (2528534)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:9
17:48:23.0 (2534411)|VARIABLE_SCOPE_BEGIN|[52]|documentSubTypeId|String|false|false
17:48:23.0 (2574367)|VARIABLE_ASSIGNMENT|[52]|documentSubTypeId|"03"
17:48:23.0 (2579508)|VARIABLE_SCOPE_BEGIN|[52]|idRequest|String|false|false
17:48:23.0 (2585448)|VARIABLE_ASSIGNMENT|[52]|idRequest|"309495430"
17:48:23.0 (2592141)|STATEMENT_EXECUTE|[52]
17:48:23.0 (2593422)|STATEMENT_EXECUTE|[54]
17:48:23.0 (2595905)|HEAP_ALLOCATE|[54]|Bytes:74
17:48:23.0 (2609287)|HEAP_ALLOCATE|[54]|Bytes:83
17:48:23.0 (2631080)|HEAP_ALLOCATE|[68]|Bytes:5
17:48:23.0 (2648357)|HEAP_ALLOCATE|[74]|Bytes:5
17:48:23.0 (2652980)|HEAP_ALLOCATE|[82]|Bytes:7
17:48:23.0 (2703567)|USER_DEBUG|[54]|DEBUG|ExpedientesFalabella.cls - getDocumentApiGee: consulta disponibilidad doc 309495430
17:48:23.0 (2713211)|STATEMENT_EXECUTE|[56]
17:48:23.0 (2718669)|VARIABLE_SCOPE_BEGIN|[56]|msv2|Boolean|false|false
17:48:23.0 (2889168)|HEAP_ALLOCATE|[56]|Bytes:5
17:48:23.0 (2898135)|VARIABLE_ASSIGNMENT|[56]|msv2|false
17:48:23.0 (2901598)|STATEMENT_EXECUTE|[58]
17:48:23.0 (2902519)|STATEMENT_EXECUTE|[58]
17:48:23.0 (2903344)|STATEMENT_EXECUTE|[59]
17:48:23.0 (2905028)|HEAP_ALLOCATE|[59]|Bytes:61
17:48:23.0 (2917318)|HEAP_ALLOCATE|[59]|Bytes:4
17:48:23.0 (2925927)|HEAP_ALLOCATE|[59]|Bytes:7
17:48:23.0 (4025681)|SOQL_EXECUTE_BEGIN|[59]|Aggregations:0|SELECT Sucursal__c FROM Case WHERE ID_Solicitud__c = :tmpVar1
17:48:23.0 (10946305)|SOQL_EXECUTE_END|[59]|Rows:0
17:48:23.0 (10979184)|HEAP_ALLOCATE|[59]|Bytes:4
17:48:23.0 (10991443)|HEAP_ALLOCATE|[59]|Bytes:0
17:48:23.0 (11094193)|HEAP_ALLOCATE|[59]|Bytes:4
17:48:23.0 (11111582)|HEAP_ALLOCATE|[59]|Bytes:30
17:48:23.0 (11207196)|HEAP_ALLOCATE|[59]|Bytes:46
17:48:23.0 (11236919)|VARIABLE_SCOPE_BEGIN|[71]|e|Exception|true|false
17:48:23.0 (11392136)|VARIABLE_ASSIGNMENT|[71]|e|"common.apex.runtime.impl.ExecutionException: List has no rows for assignment to SObject"|0x3bd3ba7c
17:48:23.0 (11400763)|STATEMENT_EXECUTE|[71]
17:48:23.0 (11402607)|STATEMENT_EXECUTE|[72]
17:48:23.0 (11408556)|HEAP_ALLOCATE|[72]|Bytes:5
17:48:23.0 (11415261)|VARIABLE_ASSIGNMENT|[72]|msv2|true
17:48:23.0 (11417952)|STATEMENT_EXECUTE|[73]
17:48:23.0 (11419580)|HEAP_ALLOCATE|[73]|Bytes:47
17:48:23.0 (11475258)|HEAP_ALLOCATE|[73]|Bytes:4
17:48:23.0 (11485087)|HEAP_ALLOCATE|[73]|Bytes:51
17:48:23.0 (11503574)|USER_DEBUG|[73]|DEBUG|No se encontró un caso, se consultará la msV2: true
17:48:23.0 (11510277)|STATEMENT_EXECUTE|[74]
17:48:23.0 (11511420)|HEAP_ALLOCATE|[74]|Bytes:12
17:48:23.0 (11514040)|HEAP_ALLOCATE|[74]|Bytes:8
17:48:23.0 (11525979)|HEAP_ALLOCATE|[74]|Bytes:65
17:48:23.0 (11536245)|HEAP_ALLOCATE|[74]|Bytes:94
17:48:23.0 (11542315)|USER_DEBUG|[74]|DEBUG|Catch CURP: 309495430 Error: System.QueryException: List has no rows for assignment to SObject
17:48:23.0 (11548693)|STATEMENT_EXECUTE|[78]
17:48:23.0 (11625167)|VARIABLE_SCOPE_BEGIN|[17]|MicroServicioApiGee.ENDPOINT_MS|String|false|true
17:48:23.0 (11631094)|VARIABLE_SCOPE_BEGIN|[18]|MicroServicioApiGee.ENDPOINT_MS_V2|String|false|true
17:48:23.0 (11634119)|VARIABLE_SCOPE_BEGIN|[15]|MicroServicioApiGee.ENDPOINT_TOKEN|String|false|true
17:48:23.0 (11636812)|VARIABLE_SCOPE_BEGIN|[16]|MicroServicioApiGee.GET|String|false|true
17:48:23.0 (11639914)|VARIABLE_SCOPE_BEGIN|[14]|MicroServicioApiGee.POST|String|false|true
17:48:23.0 (11642754)|VARIABLE_SCOPE_BEGIN|[19]|MicroServicioApiGee.token|String|false|true
17:48:23.0 (11652983)|HEAP_ALLOCATE|[78]|Bytes:12
17:48:23.0 (11656886)|HEAP_ALLOCATE|[78]|Bytes:17
17:48:23.0 (11658696)|HEAP_ALLOCATE|[78]|Bytes:33
17:48:23.0 (11689742)|VARIABLE_ASSIGNMENT|[78]|MicroServicioApiGee.ENDPOINT_MS|"document-management/ (13 more) ..."
17:48:23.0 (11693564)|HEAP_ALLOCATE|[78]|Bytes:33
17:48:23.0 (11700107)|VARIABLE_ASSIGNMENT|[78]|MicroServicioApiGee.ENDPOINT_MS_V2|"document-management/ (13 more) ..."
17:48:23.0 (11703116)|HEAP_ALLOCATE|[78]|Bytes:14
17:48:23.0 (11708329)|VARIABLE_ASSIGNMENT|[78]|MicroServicioApiGee.ENDPOINT_TOKEN|"oauth/cc/token"
17:48:23.0 (11711214)|HEAP_ALLOCATE|[78]|Bytes:3
17:48:23.0 (11716170)|VARIABLE_ASSIGNMENT|[78]|MicroServicioApiGee.GET|"GET"
17:48:23.0 (11718984)|HEAP_ALLOCATE|[78]|Bytes:4
17:48:23.0 (11723883)|VARIABLE_ASSIGNMENT|[78]|MicroServicioApiGee.POST|"POST"
17:48:23.0 (11742051)|METHOD_ENTRY|[11]|01p3l000005r3c7|MicroServicioApiGee.MicroServicioApiGee()
