52.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:51:01.0 (291172)|USER_INFO|[EXTERNAL]|0051N000008bAK9|contingenciafalabella@falabella.com.mx|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
17:51:01.0 (375496)|EXECUTION_STARTED
17:51:01.0 (409009)|CODE_UNIT_STARTED|[EXTERNAL]|01p3l00000EBsec|BatchUpdateCaseGestorBO
17:51:01.0 (1775985)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:51:01.0 (1852311)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:51:01.0 (1885085)|METHOD_ENTRY|[11]|01p3l00000EBsec|BatchUpdateCaseGestorBO.BatchUpdateCaseGestorBO()
17:51:01.0 (1893655)|STATEMENT_EXECUTE|[11]
17:51:01.0 (1903292)|STATEMENT_EXECUTE|[11]
17:51:01.0 (1911324)|METHOD_EXIT|[11]|BatchUpdateCaseGestorBO
17:51:01.0 (1917620)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
17:51:01.0 (1920139)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:51:01.0 (1942410)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16
17:51:01.0 (1950564)|VARIABLE_SCOPE_BEGIN|[42]|this|BatchUpdateCaseGestorBO|true|false
17:51:01.0 (2026253)|VARIABLE_ASSIGNMENT|[42]|this|{"idQueueFraudesCredito":"00G3l000004HYBREA4","intCallMSAttempts":3,"lstRecordTypesBO":"0x7dd52606","lstRequestsWithError":"0x7bdbef9f"}|0x48254ff2
17:51:01.0 (2031162)|VARIABLE_SCOPE_BEGIN|[42]|BC|Database.BatchableContext|true|false
17:51:01.0 (2173207)|VARIABLE_ASSIGNMENT|[42]|BC|{"childJobId":"707RQ00001vVYkDYAW","jobId":"707RQ00001vVUijYAG"}|0x57005c59
17:51:01.0 (2177879)|VARIABLE_SCOPE_BEGIN|[42]|scope|List<Case>|true|false
