66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:51:34.0 (256572)|USER_INFO|[EXTERNAL]|0051N000008bAK9|contingenciafalabella@falabella.com.mx|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
17:51:34.0 (346407)|EXECUTION_STARTED
17:51:34.0 (376281)|CODE_UNIT_STARTED|[EXTERNAL]|apex://ExpedientesFalabella/ACTION$getDocumentApiGee
17:51:34.0 (2495914)|CODE_UNIT_STARTED|[EXTERNAL]|01p3l000005r3c4|ExpedientesFalabella.getDocumentApiGee(String, String)
17:51:34.0 (2734672)|HEAP_ALLOCATE|[95]|Bytes:3
17:51:34.0 (2815781)|HEAP_ALLOCATE|[100]|Bytes:152
17:51:34.0 (2832791)|HEAP_ALLOCATE|[417]|Bytes:408
17:51:34.0 (2851049)|HEAP_ALLOCATE|[430]|Bytes:408
17:51:34.0 (2882002)|HEAP_ALLOCATE|[317]|Bytes:6
17:51:34.0 (2935286)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
17:51:34.0 (2940466)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:51:34.0 (2959741)|METHOD_ENTRY|[12]|01p3l000005r3c4|ExpedientesFalabella.ExpedientesFalabella()
17:51:34.0 (2971342)|STATEMENT_EXECUTE|[12]
17:51:34.0 (2980320)|STATEMENT_EXECUTE|[12]
17:51:34.0 (2987890)|METHOD_EXIT|[12]|ExpedientesFalabella
17:51:34.0 (2992752)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:2
17:51:34.0 (2995314)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:9
17:51:34.0 (3014827)|VARIABLE_SCOPE_BEGIN|[52]|documentSubTypeId|String|false|false
17:51:34.0 (3050373)|VARIABLE_ASSIGNMENT|[52]|documentSubTypeId|"05"
17:51:34.0 (3054771)|VARIABLE_SCOPE_BEGIN|[52]|idRequest|String|false|false
17:51:34.0 (3060974)|VARIABLE_ASSIGNMENT|[52]|idRequest|"309495430"
17:51:34.0 (3069687)|STATEMENT_EXECUTE|[52]
17:51:34.0 (3071353)|STATEMENT_EXECUTE|[54]
17:51:34.0 (3074484)|HEAP_ALLOCATE|[54]|Bytes:74
17:51:34.0 (3089597)|HEAP_ALLOCATE|[54]|Bytes:83
17:51:34.0 (3112808)|HEAP_ALLOCATE|[68]|Bytes:5
17:51:34.0 (3135493)|HEAP_ALLOCATE|[74]|Bytes:5
17:51:34.0 (3142432)|HEAP_ALLOCATE|[82]|Bytes:7
17:51:34.0 (3213775)|USER_DEBUG|[54]|DEBUG|ExpedientesFalabella.cls - getDocumentApiGee: consulta disponibilidad doc 309495430
17:51:34.0 (3226946)|STATEMENT_EXECUTE|[56]
