66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:53:10.0 (266720)|USER_INFO|[EXTERNAL]|0051N000008bAK9|contingenciafalabella@falabella.com.mx|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
17:53:10.0 (349418)|EXECUTION_STARTED
17:53:10.0 (395321)|CODE_UNIT_STARTED|[EXTERNAL]|apex://ExpedientesFalabella/ACTION$getDocumentApiGee
17:53:10.0 (2715383)|CODE_UNIT_STARTED|[EXTERNAL]|01p3l000005r3c4|ExpedientesFalabella.getDocumentApiGee(String, String)
17:53:10.0 (2972600)|HEAP_ALLOCATE|[95]|Bytes:3
17:53:10.0 (3060458)|HEAP_ALLOCATE|[100]|Bytes:152
17:53:10.0 (3083930)|HEAP_ALLOCATE|[417]|Bytes:408
17:53:10.0 (3099322)|HEAP_ALLOCATE|[430]|Bytes:408
17:53:10.0 (3126962)|HEAP_ALLOCATE|[317]|Bytes:6
17:53:10.0 (3197566)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
17:53:10.0 (3202986)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:53:10.0 (3222042)|METHOD_ENTRY|[12]|01p3l000005r3c4|ExpedientesFalabella.ExpedientesFalabella()
17:53:10.0 (3233998)|STATEMENT_EXECUTE|[12]
17:53:10.0 (3244679)|STATEMENT_EXECUTE|[12]
17:53:10.0 (3251661)|METHOD_EXIT|[12]|ExpedientesFalabella
17:53:10.0 (3255978)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:2
17:53:10.0 (3258349)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:9
17:53:10.0 (3276717)|VARIABLE_SCOPE_BEGIN|[52]|documentSubTypeId|String|false|false
17:53:10.0 (3311261)|VARIABLE_ASSIGNMENT|[52]|documentSubTypeId|"06"
17:53:10.0 (3315351)|VARIABLE_SCOPE_BEGIN|[52]|idRequest|String|false|false
17:53:10.0 (3321294)|VARIABLE_ASSIGNMENT|[52]|idRequest|"309495430"
17:53:10.0 (3329390)|STATEMENT_EXECUTE|[52]
17:53:10.0 (3330961)|STATEMENT_EXECUTE|[54]
17:53:10.0 (3333686)|HEAP_ALLOCATE|[54]|Bytes:74
17:53:10.0 (3347393)|HEAP_ALLOCATE|[54]|Bytes:83
17:53:10.0 (3371753)|HEAP_ALLOCATE|[68]|Bytes:5
17:53:10.0 (3394716)|HEAP_ALLOCATE|[74]|Bytes:5
17:53:10.0 (3401471)|HEAP_ALLOCATE|[82]|Bytes:7
17:53:10.0 (3477538)|USER_DEBUG|[54]|DEBUG|ExpedientesFalabella.cls - getDocumentApiGee: consulta disponibilidad doc 309495430
17:53:10.0 (3489962)|STATEMENT_EXECUTE|[56]
17:53:10.0 (3496229)|VARIABLE_SCOPE_BEGIN|[56]|msv2|Boolean|false|false
17:53:10.0 (3687931)|HEAP_ALLOCATE|[56]|Bytes:5
17:53:10.0 (3698853)|VARIABLE_ASSIGNMENT|[56]|msv2|false
17:53:10.0 (3704505)|STATEMENT_EXECUTE|[58]
17:53:10.0 (3706188)|STATEMENT_EXECUTE|[58]
17:53:10.0 (3707546)|STATEMENT_EXECUTE|[59]
17:53:10.0 (3709618)|HEAP_ALLOCATE|[59]|Bytes:61
17:53:10.0 (3725753)|HEAP_ALLOCATE|[59]|Bytes:4
17:53:10.0 (3761648)|HEAP_ALLOCATE|[59]|Bytes:7
17:53:10.0 (5266365)|SOQL_EXECUTE_BEGIN|[59]|Aggregations:0|SELECT Sucursal__c FROM Case WHERE ID_Solicitud__c = :tmpVar1
17:53:10.0 (16004182)|SOQL_EXECUTE_END|[59]|Rows:0
17:53:10.0 (16043263)|HEAP_ALLOCATE|[59]|Bytes:4
17:53:10.0 (16057288)|HEAP_ALLOCATE|[59]|Bytes:0
17:53:10.0 (16179038)|HEAP_ALLOCATE|[59]|Bytes:4
17:53:10.0 (16196329)|HEAP_ALLOCATE|[59]|Bytes:30
17:53:10.0 (16289852)|HEAP_ALLOCATE|[59]|Bytes:46
17:53:10.0 (16323328)|VARIABLE_SCOPE_BEGIN|[71]|e|Exception|true|false
17:53:10.0 (16483462)|VARIABLE_ASSIGNMENT|[71]|e|"common.apex.runtime.impl.ExecutionException: List has no rows for assignment to SObject"|0x44c4132
17:53:10.0 (16493794)|STATEMENT_EXECUTE|[71]
17:53:10.0 (16495262)|STATEMENT_EXECUTE|[72]
17:53:10.0 (16501460)|HEAP_ALLOCATE|[72]|Bytes:5
17:53:10.0 (16510190)|VARIABLE_ASSIGNMENT|[72]|msv2|true
17:53:10.0 (16512884)|STATEMENT_EXECUTE|[73]
17:53:10.0 (16514492)|HEAP_ALLOCATE|[73]|Bytes:47
17:53:10.0 (16588967)|HEAP_ALLOCATE|[73]|Bytes:4
17:53:10.0 (16601167)|HEAP_ALLOCATE|[73]|Bytes:51
17:53:10.0 (16619301)|USER_DEBUG|[73]|DEBUG|No se encontró un caso, se consultará la msV2: true
17:53:10.0 (16626372)|STATEMENT_EXECUTE|[74]
17:53:10.0 (16627853)|HEAP_ALLOCATE|[74]|Bytes:12
17:53:10.0 (16630403)|HEAP_ALLOCATE|[74]|Bytes:8
17:53:10.0 (16644804)|HEAP_ALLOCATE|[74]|Bytes:65
17:53:10.0 (16654642)|HEAP_ALLOCATE|[74]|Bytes:94
17:53:10.0 (16659637)|USER_DEBUG|[74]|DEBUG|Catch CURP: 309495430 Error: System.QueryException: List has no rows for assignment to SObject
17:53:10.0 (16665159)|STATEMENT_EXECUTE|[78]
17:53:10.0 (16743062)|VARIABLE_SCOPE_BEGIN|[17]|MicroServicioApiGee.ENDPOINT_MS|String|false|true
17:53:10.0 (16746984)|VARIABLE_SCOPE_BEGIN|[18]|MicroServicioApiGee.ENDPOINT_MS_V2|String|false|true
17:53:10.0 (16750129)|VARIABLE_SCOPE_BEGIN|[15]|MicroServicioApiGee.ENDPOINT_TOKEN|String|false|true
17:53:10.0 (16753174)|VARIABLE_SCOPE_BEGIN|[16]|MicroServicioApiGee.GET|String|false|true
17:53:10.0 (16756354)|VARIABLE_SCOPE_BEGIN|[14]|MicroServicioApiGee.POST|String|false|true
17:53:10.0 (16759591)|VARIABLE_SCOPE_BEGIN|[19]|MicroServicioApiGee.token|String|false|true
17:53:10.0 (16769879)|HEAP_ALLOCATE|[78]|Bytes:12
17:53:10.0 (16773790)|HEAP_ALLOCATE|[78]|Bytes:17
17:53:10.0 (16775582)|HEAP_ALLOCATE|[78]|Bytes:33
