66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:53:11.0 (261847)|USER_INFO|[EXTERNAL]|0051N000008bAK9|contingenciafalabella@falabella.com.mx|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
17:53:11.0 (355414)|EXECUTION_STARTED
17:53:11.0 (385679)|CODE_UNIT_STARTED|[EXTERNAL]|apex://ExpedientesFalabella/ACTION$getDocumentApiGee
17:53:11.0 (2806800)|CODE_UNIT_STARTED|[EXTERNAL]|01p3l000005r3c4|ExpedientesFalabella.getDocumentApiGee(String, String)
17:53:11.0 (3046420)|HEAP_ALLOCATE|[95]|Bytes:3
17:53:11.0 (3128188)|HEAP_ALLOCATE|[100]|Bytes:152
17:53:11.0 (3147022)|HEAP_ALLOCATE|[417]|Bytes:408
17:53:11.0 (3158558)|HEAP_ALLOCATE|[430]|Bytes:408
17:53:11.0 (3180939)|HEAP_ALLOCATE|[317]|Bytes:6
17:53:11.0 (3233774)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
17:53:11.0 (3236938)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:53:11.0 (3244067)|METHOD_ENTRY|[12]|01p3l000005r3c4|ExpedientesFalabella.ExpedientesFalabella()
17:53:11.0 (3271049)|STATEMENT_EXECUTE|[12]
17:53:11.0 (3282613)|STATEMENT_EXECUTE|[12]
17:53:11.0 (3286205)|METHOD_EXIT|[12]|ExpedientesFalabella
17:53:11.0 (3289618)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:2
17:53:11.0 (3291317)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:9
17:53:11.0 (3297415)|VARIABLE_SCOPE_BEGIN|[52]|documentSubTypeId|String|false|false
17:53:11.0 (3332858)|VARIABLE_ASSIGNMENT|[52]|documentSubTypeId|"07"
17:53:11.0 (3335885)|VARIABLE_SCOPE_BEGIN|[52]|idRequest|String|false|false
17:53:11.0 (3340176)|VARIABLE_ASSIGNMENT|[52]|idRequest|"309495430"
17:53:11.0 (3346849)|STATEMENT_EXECUTE|[52]
17:53:11.0 (3348105)|STATEMENT_EXECUTE|[54]
17:53:11.0 (3349937)|HEAP_ALLOCATE|[54]|Bytes:74
17:53:11.0 (3367167)|HEAP_ALLOCATE|[54]|Bytes:83
17:53:11.0 (3385889)|HEAP_ALLOCATE|[68]|Bytes:5
17:53:11.0 (3407919)|HEAP_ALLOCATE|[74]|Bytes:5
17:53:11.0 (3412672)|HEAP_ALLOCATE|[82]|Bytes:7
17:53:11.0 (3471676)|USER_DEBUG|[54]|DEBUG|ExpedientesFalabella.cls - getDocumentApiGee: consulta disponibilidad doc 309495430
17:53:11.0 (3479799)|STATEMENT_EXECUTE|[56]
17:53:11.0 (3484433)|VARIABLE_SCOPE_BEGIN|[56]|msv2|Boolean|false|false
17:53:11.0 (3668383)|HEAP_ALLOCATE|[56]|Bytes:5
17:53:11.0 (3675407)|VARIABLE_ASSIGNMENT|[56]|msv2|false
17:53:11.0 (3678803)|STATEMENT_EXECUTE|[58]
17:53:11.0 (3679759)|STATEMENT_EXECUTE|[58]
17:53:11.0 (3680770)|STATEMENT_EXECUTE|[59]
17:53:11.0 (3682064)|HEAP_ALLOCATE|[59]|Bytes:61
17:53:11.0 (3695639)|HEAP_ALLOCATE|[59]|Bytes:4
17:53:11.0 (3704184)|HEAP_ALLOCATE|[59]|Bytes:7
17:53:11.0 (4968119)|SOQL_EXECUTE_BEGIN|[59]|Aggregations:0|SELECT Sucursal__c FROM Case WHERE ID_Solicitud__c = :tmpVar1
17:53:11.0 (12326837)|SOQL_EXECUTE_END|[59]|Rows:0
17:53:11.0 (12360710)|HEAP_ALLOCATE|[59]|Bytes:4
17:53:11.0 (12374116)|HEAP_ALLOCATE|[59]|Bytes:0
17:53:11.0 (12481387)|HEAP_ALLOCATE|[59]|Bytes:4
17:53:11.0 (12496907)|HEAP_ALLOCATE|[59]|Bytes:30
17:53:11.0 (12592487)|HEAP_ALLOCATE|[59]|Bytes:46
17:53:11.0 (12621167)|VARIABLE_SCOPE_BEGIN|[71]|e|Exception|true|false
17:53:11.0 (12834300)|VARIABLE_ASSIGNMENT|[71]|e|"common.apex.runtime.impl.ExecutionException: List has no rows for assignment to SObject"|0x64843161
17:53:11.0 (12845554)|STATEMENT_EXECUTE|[71]
17:53:11.0 (12846702)|STATEMENT_EXECUTE|[72]
17:53:11.0 (12852961)|HEAP_ALLOCATE|[72]|Bytes:5
17:53:11.0 (12861434)|VARIABLE_ASSIGNMENT|[72]|msv2|true
17:53:11.0 (12863892)|STATEMENT_EXECUTE|[73]
17:53:11.0 (12865849)|HEAP_ALLOCATE|[73]|Bytes:47
17:53:11.0 (12932751)|HEAP_ALLOCATE|[73]|Bytes:4
17:53:11.0 (12945400)|HEAP_ALLOCATE|[73]|Bytes:51
17:53:11.0 (12966273)|USER_DEBUG|[73]|DEBUG|No se encontró un caso, se consultará la msV2: true
17:53:11.0 (12973123)|STATEMENT_EXECUTE|[74]
17:53:11.0 (12974574)|HEAP_ALLOCATE|[74]|Bytes:12
17:53:11.0 (12977272)|HEAP_ALLOCATE|[74]|Bytes:8
17:53:11.0 (12989060)|HEAP_ALLOCATE|[74]|Bytes:65
17:53:11.0 (12998532)|HEAP_ALLOCATE|[74]|Bytes:94
17:53:11.0 (13003701)|USER_DEBUG|[74]|DEBUG|Catch CURP: 309495430 Error: System.QueryException: List has no rows for assignment to SObject
17:53:11.0 (13009996)|STATEMENT_EXECUTE|[78]
17:53:11.0 (13093608)|VARIABLE_SCOPE_BEGIN|[17]|MicroServicioApiGee.ENDPOINT_MS|String|false|true
17:53:11.0 (13097949)|VARIABLE_SCOPE_BEGIN|[18]|MicroServicioApiGee.ENDPOINT_MS_V2|String|false|true
17:53:11.0 (13101244)|VARIABLE_SCOPE_BEGIN|[15]|MicroServicioApiGee.ENDPOINT_TOKEN|String|false|true
17:53:11.0 (13105494)|VARIABLE_SCOPE_BEGIN|[16]|MicroServicioApiGee.GET|String|false|true
17:53:11.0 (13110543)|VARIABLE_SCOPE_BEGIN|[14]|MicroServicioApiGee.POST|String|false|true
17:53:11.0 (13114759)|VARIABLE_SCOPE_BEGIN|[19]|MicroServicioApiGee.token|String|false|true
