66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:53:14.0 (298108)|USER_INFO|[EXTERNAL]|0051N000008bAK9|contingenciafalabella@falabella.com.mx|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
17:53:14.0 (398996)|EXECUTION_STARTED
17:53:14.0 (443461)|CODE_UNIT_STARTED|[EXTERNAL]|apex://ExpedientesFalabella/ACTION$getDocumentApiGee
17:53:14.0 (3458024)|CODE_UNIT_STARTED|[EXTERNAL]|01p3l000005r3c4|ExpedientesFalabella.getDocumentApiGee(String, String)
17:53:14.0 (3828675)|HEAP_ALLOCATE|[95]|Bytes:3
17:53:14.0 (3953722)|HEAP_ALLOCATE|[100]|Bytes:152
17:53:14.0 (3973635)|HEAP_ALLOCATE|[417]|Bytes:408
17:53:14.0 (3991668)|HEAP_ALLOCATE|[430]|Bytes:408
17:53:14.0 (4055708)|HEAP_ALLOCATE|[317]|Bytes:6
17:53:14.0 (4076887)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
17:53:14.0 (4081746)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:53:14.0 (4117191)|METHOD_ENTRY|[12]|01p3l000005r3c4|ExpedientesFalabella.ExpedientesFalabella()
17:53:14.0 (4138113)|STATEMENT_EXECUTE|[12]
17:53:14.0 (4152465)|STATEMENT_EXECUTE|[12]
17:53:14.0 (4158898)|METHOD_EXIT|[12]|ExpedientesFalabella
17:53:14.0 (4164523)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:2
17:53:14.0 (4166981)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:53:14.0 (4193987)|VARIABLE_SCOPE_BEGIN|[52]|documentSubTypeId|String|false|false
17:53:14.0 (4268299)|VARIABLE_ASSIGNMENT|[52]|documentSubTypeId|"06"
17:53:14.0 (4273597)|VARIABLE_SCOPE_BEGIN|[52]|idRequest|String|false|false
17:53:14.0 (4280594)|VARIABLE_ASSIGNMENT|[52]|idRequest|"000002672993"
17:53:14.0 (4290442)|STATEMENT_EXECUTE|[52]
17:53:14.0 (4291998)|STATEMENT_EXECUTE|[54]
17:53:14.0 (4295276)|HEAP_ALLOCATE|[54]|Bytes:74
17:53:14.0 (4313483)|HEAP_ALLOCATE|[54]|Bytes:86
17:53:14.0 (4341397)|HEAP_ALLOCATE|[68]|Bytes:5
17:53:14.0 (4369807)|HEAP_ALLOCATE|[74]|Bytes:5
17:53:14.0 (4376458)|HEAP_ALLOCATE|[82]|Bytes:7
17:53:14.0 (4470838)|USER_DEBUG|[54]|DEBUG|ExpedientesFalabella.cls - getDocumentApiGee: consulta disponibilidad doc 000002672993
17:53:14.0 (4489466)|STATEMENT_EXECUTE|[56]
17:53:14.0 (4495644)|VARIABLE_SCOPE_BEGIN|[56]|msv2|Boolean|false|false
17:53:14.0 (4700597)|HEAP_ALLOCATE|[56]|Bytes:5
17:53:14.0 (4717220)|VARIABLE_ASSIGNMENT|[56]|msv2|false
17:53:14.0 (4722816)|STATEMENT_EXECUTE|[58]
17:53:14.0 (4724490)|STATEMENT_EXECUTE|[58]
17:53:14.0 (4726329)|STATEMENT_EXECUTE|[59]
17:53:14.0 (4729464)|HEAP_ALLOCATE|[59]|Bytes:61
17:53:14.0 (4743447)|HEAP_ALLOCATE|[59]|Bytes:4
17:53:14.0 (4754290)|HEAP_ALLOCATE|[59]|Bytes:7
17:53:14.0 (5885943)|SOQL_EXECUTE_BEGIN|[59]|Aggregations:0|SELECT Sucursal__c FROM Case WHERE ID_Solicitud__c = :tmpVar1
17:53:14.0 (13323674)|SOQL_EXECUTE_END|[59]|Rows:0
17:53:14.0 (13357327)|HEAP_ALLOCATE|[59]|Bytes:4
17:53:14.0 (13370263)|HEAP_ALLOCATE|[59]|Bytes:0
17:53:14.0 (13484700)|HEAP_ALLOCATE|[59]|Bytes:4
17:53:14.0 (13505028)|HEAP_ALLOCATE|[59]|Bytes:30
17:53:14.0 (13621502)|HEAP_ALLOCATE|[59]|Bytes:46
17:53:14.0 (13656272)|VARIABLE_SCOPE_BEGIN|[71]|e|Exception|true|false
17:53:14.0 (13847517)|VARIABLE_ASSIGNMENT|[71]|e|"common.apex.runtime.impl.ExecutionException: List has no rows for assignment to SObject"|0x16f2422b
17:53:14.0 (13863577)|STATEMENT_EXECUTE|[71]
17:53:14.0 (13865811)|STATEMENT_EXECUTE|[72]
17:53:14.0 (13873195)|HEAP_ALLOCATE|[72]|Bytes:5
17:53:14.0 (13883301)|VARIABLE_ASSIGNMENT|[72]|msv2|true
17:53:14.0 (13887532)|STATEMENT_EXECUTE|[73]
17:53:14.0 (13890002)|HEAP_ALLOCATE|[73]|Bytes:47
17:53:14.0 (13960708)|HEAP_ALLOCATE|[73]|Bytes:4
17:53:14.0 (13974191)|HEAP_ALLOCATE|[73]|Bytes:51
17:53:14.0 (13989913)|USER_DEBUG|[73]|DEBUG|No se encontró un caso, se consultará la msV2: true
17:53:14.0 (13997672)|STATEMENT_EXECUTE|[74]
17:53:14.0 (13999637)|HEAP_ALLOCATE|[74]|Bytes:12
17:53:14.0 (14003164)|HEAP_ALLOCATE|[74]|Bytes:8
17:53:14.0 (14020404)|HEAP_ALLOCATE|[74]|Bytes:65
17:53:14.0 (14031832)|HEAP_ALLOCATE|[74]|Bytes:97
17:53:14.0 (14050259)|USER_DEBUG|[74]|DEBUG|Catch CURP: 000002672993 Error: System.QueryException: List has no rows for assignment to SObject
17:53:14.0 (14058170)|STATEMENT_EXECUTE|[78]
17:53:14.0 (16789930)|VARIABLE_SCOPE_BEGIN|[17]|MicroServicioApiGee.ENDPOINT_MS|String|false|true
17:53:14.0 (16815487)|VARIABLE_SCOPE_BEGIN|[18]|MicroServicioApiGee.ENDPOINT_MS_V2|String|false|true
17:53:14.0 (16821960)|VARIABLE_SCOPE_BEGIN|[15]|MicroServicioApiGee.ENDPOINT_TOKEN|String|false|true
17:53:14.0 (16827804)|VARIABLE_SCOPE_BEGIN|[16]|MicroServicioApiGee.GET|String|false|true
17:53:14.0 (16834473)|VARIABLE_SCOPE_BEGIN|[14]|MicroServicioApiGee.POST|String|false|true
17:53:14.0 (16840718)|VARIABLE_SCOPE_BEGIN|[19]|MicroServicioApiGee.token|String|false|true
17:53:14.0 (16859751)|HEAP_ALLOCATE|[78]|Bytes:12
17:53:14.0 (16868608)|HEAP_ALLOCATE|[78]|Bytes:17
17:53:14.0 (16872001)|HEAP_ALLOCATE|[78]|Bytes:33
17:53:14.0 (16918796)|VARIABLE_ASSIGNMENT|[78]|MicroServicioApiGee.ENDPOINT_MS|"document-management/ (13 more) ..."
17:53:14.0 (16923456)|HEAP_ALLOCATE|[78]|Bytes:33
17:53:14.0 (16931058)|VARIABLE_ASSIGNMENT|[78]|MicroServicioApiGee.ENDPOINT_MS_V2|"document-management/ (13 more) ..."
17:53:14.0 (16934667)|HEAP_ALLOCATE|[78]|Bytes:14
17:53:14.0 (16940709)|VARIABLE_ASSIGNMENT|[78]|MicroServicioApiGee.ENDPOINT_TOKEN|"oauth/cc/token"
17:53:14.0 (16943957)|HEAP_ALLOCATE|[78]|Bytes:3
17:53:14.0 (16949707)|VARIABLE_ASSIGNMENT|[78]|MicroServicioApiGee.GET|"GET"
17:53:14.0 (16953084)|HEAP_ALLOCATE|[78]|Bytes:4
17:53:14.0 (16958873)|VARIABLE_ASSIGNMENT|[78]|MicroServicioApiGee.POST|"POST"
17:53:14.0 (16989312)|METHOD_ENTRY|[11]|01p3l000005r3c7|MicroServicioApiGee.MicroServicioApiGee()
17:53:14.0 (17002009)|STATEMENT_EXECUTE|[11]
17:53:14.0 (17010234)|STATEMENT_EXECUTE|[11]
17:53:14.0 (17018184)|METHOD_EXIT|[11]|MicroServicioApiGee
17:53:14.0 (17045055)|METHOD_ENTRY|[78]|01p3l000005r3c7|MicroServicioApiGee.getDocumentApiGee(String, String, Boolean)
17:53:14.0 (17071756)|VARIABLE_SCOPE_BEGIN|[120]|documentSubTypeId|String|false|false
17:53:14.0 (17080414)|VARIABLE_ASSIGNMENT|[120]|documentSubTypeId|"06"
17:53:14.0 (17084420)|VARIABLE_SCOPE_BEGIN|[120]|idRequest|String|false|false
17:53:14.0 (17091084)|VARIABLE_ASSIGNMENT|[120]|idRequest|"000002672993"
17:53:14.0 (17099578)|VARIABLE_SCOPE_BEGIN|[120]|msV2|Boolean|false|false
17:53:14.0 (17107489)|VARIABLE_ASSIGNMENT|[120]|msV2|true
17:53:14.0 (17114893)|STATEMENT_EXECUTE|[120]
17:53:14.0 (17116592)|STATEMENT_EXECUTE|[122]
17:53:14.0 (17128364)|HEAP_ALLOCATE|[122]|Bytes:4
17:53:14.0 (17138581)|VARIABLE_SCOPE_BEGIN|[122]|mapResult|Map<String,ANY>|true|false
17:53:14.0 (17160247)|VARIABLE_ASSIGNMENT|[122]|mapResult|{}|0x445de351
17:53:14.0 (17165604)|STATEMENT_EXECUTE|[123]
17:53:14.0 (17168358)|VARIABLE_SCOPE_BEGIN|[123]|success|Boolean|false|false
17:53:14.0 (17174879)|HEAP_ALLOCATE|[123]|Bytes:5
17:53:14.0 (17179140)|VARIABLE_ASSIGNMENT|[123]|success|false
17:53:14.0 (17182950)|STATEMENT_EXECUTE|[125]
17:53:14.0 (19890182)|HEAP_ALLOCATE|[125]|Bytes:8
17:53:14.0 (19952803)|CONSTRUCTOR_ENTRY|[125]|01p3l000005r3c7|<init>()|MicroServicioApiGee
17:53:14.0 (20015969)|VARIABLE_SCOPE_BEGIN|[20]|this|MicroServicioApiGee|true|false
17:53:14.0 (20119685)|VARIABLE_ASSIGNMENT|[20]|this|{}|0x7411231e
17:53:14.0 (20132368)|STATEMENT_EXECUTE|[11]
17:53:14.0 (20134224)|STATEMENT_EXECUTE|[13]
17:53:14.0 (20145956)|HEAP_ALLOCATE|[22]|Bytes:6
17:53:14.0 (21092993)|STATEMENT_EXECUTE|[20]
17:53:14.0 (21096566)|STATEMENT_EXECUTE|[22]
17:53:14.0 (21190940)|HEAP_ALLOCATE|[22]|Bytes:193
17:53:14.0 (21225076)|HEAP_ALLOCATE|[22]|Bytes:193
17:53:14.0 (21233119)|HEAP_ALLOCATE|[22]|Bytes:1
17:53:14.0 (21261177)|HEAP_ALLOCATE|[22]|Bytes:19
17:53:14.0 (21268942)|VARIABLE_SCOPE_BEGIN|[22]|currentClassName|String|false|false
17:53:14.0 (21286597)|VARIABLE_ASSIGNMENT|[22]|currentClassName|"MicroServicioApiGee"
17:53:14.0 (21291762)|STATEMENT_EXECUTE|[23]
17:53:14.0 (21298398)|HEAP_ALLOCATE|[23]|Bytes:34
