52.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:54:00.0 (219075)|USER_INFO|[EXTERNAL]|0051N000008bAK9|contingenciafalabella@falabella.com.mx|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
17:54:00.0 (308449)|EXECUTION_STARTED
17:54:00.0 (341360)|CODE_UNIT_STARTED|[EXTERNAL]|01p3l00000EBsec|BatchUpdateCaseGestorBO
17:54:00.0 (1665929)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:54:00.0 (1749406)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:54:00.0 (1770210)|METHOD_ENTRY|[11]|01p3l00000EBsec|BatchUpdateCaseGestorBO.BatchUpdateCaseGestorBO()
17:54:00.0 (1781726)|STATEMENT_EXECUTE|[11]
17:54:00.0 (1795005)|STATEMENT_EXECUTE|[11]
17:54:00.0 (1804964)|METHOD_EXIT|[11]|BatchUpdateCaseGestorBO
17:54:00.0 (1813598)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
17:54:00.0 (1817578)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:54:00.0 (1937560)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16
17:54:00.0 (1948322)|VARIABLE_SCOPE_BEGIN|[42]|this|BatchUpdateCaseGestorBO|true|false
17:54:00.0 (2042068)|VARIABLE_ASSIGNMENT|[42]|this|{"idQueueFraudesCredito":"00G3l000004HYBREA4","intCallMSAttempts":3,"lstRecordTypesBO":"0xc5668bd","lstRequestsWithError":"0x5eca2176"}|0x526c342
17:54:00.0 (2052587)|VARIABLE_SCOPE_BEGIN|[42]|BC|Database.BatchableContext|true|false
17:54:00.0 (2229159)|VARIABLE_ASSIGNMENT|[42]|BC|{"childJobId":"707RQ00001vVQ5oYAG","jobId":"707RQ00001vVYSkYAO"}|0x2ca86850
17:54:00.0 (2236673)|VARIABLE_SCOPE_BEGIN|[42]|scope|List<Case>|true|false
17:54:00.0 (2393546)|VARIABLE_ASSIGNMENT|[42]|scope|[{"Solicitud_Repetida__c":false,"Id":"500Qg00000Pq7BvIAJ","Total_a_Condonar__c":0.0,"ID_Solicitud__c":"300009231"},{"Solicitud_Repetida__c":false,"Id":"500Qg00000PqF6HIAV","Total_a_Condonar__c":0.0,"ID_Solicitud__c":"300009230"},{"Solicitud_Repetida__c":false,"Id":"500Qg00000QIQwPIAX","Total_a_Condonar__c":1.0,"ID_Solicitud__c":"306394479"}]|0x7238d2
17:54:00.0 (2420638)|STATEMENT_EXECUTE|[42]
17:54:00.0 (2422852)|STATEMENT_EXECUTE|[44]
17:54:00.0 (2444095)|HEAP_ALLOCATE|[44]|Bytes:4
17:54:00.0 (2540674)|VARIABLE_SCOPE_BEGIN|[44]|lstIdSolicitud|List<String>|true|false
17:54:00.0 (2589001)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:54:00.0 (2598429)|VARIABLE_ASSIGNMENT|[44]|lstIdSolicitud|[]|0x3f5ebbe1
17:54:00.0 (2604428)|STATEMENT_EXECUTE|[46]
17:54:00.0 (2760761)|HEAP_ALLOCATE|[46]|Bytes:4
17:54:00.0 (2809598)|VARIABLE_SCOPE_BEGIN|[46]|mapResponseGestor|Map<String,SolicitudGestorJSON>|true|false
17:54:00.0 (2829832)|VARIABLE_ASSIGNMENT|[46]|mapResponseGestor|{}|0x3010fced
17:54:00.0 (2835759)|STATEMENT_EXECUTE|[47]
17:54:00.0 (2844838)|HEAP_ALLOCATE|[47]|Bytes:4
17:54:00.0 (2850485)|VARIABLE_SCOPE_BEGIN|[47]|mapSolicitudRepetida|Map<String,Boolean>|true|false
17:54:00.0 (2857892)|VARIABLE_ASSIGNMENT|[47]|mapSolicitudRepetida|{}|0x39f157e
17:54:00.0 (2862733)|STATEMENT_EXECUTE|[49]
17:54:00.0 (3054819)|HEAP_ALLOCATE|[49]|Bytes:4
17:54:00.0 (3174747)|VARIABLE_SCOPE_BEGIN|[49]|lstErrorLog|List<Error_Log__c>|true|false
17:54:00.0 (3185244)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:54:00.0 (3194879)|VARIABLE_ASSIGNMENT|[49]|lstErrorLog|[]|0x123a1977
17:54:00.0 (3692950)|HEAP_ALLOCATE|[68]|Bytes:5
17:54:00.0 (3741482)|HEAP_ALLOCATE|[74]|Bytes:5
17:54:00.0 (3752820)|HEAP_ALLOCATE|[82]|Bytes:7
17:54:00.0 (3776264)|HEAP_ALLOCATE|[51]|Bytes:5
17:54:00.0 (3824004)|HEAP_ALLOCATE|[51]|Bytes:20
17:54:00.0 (3836467)|VARIABLE_SCOPE_BEGIN|[51]|caso|Case|true|false
17:54:00.0 (3917240)|VARIABLE_ASSIGNMENT|[51]|caso|{"Solicitud_Repetida__c":false,"Id":"500Qg00000Pq7BvIAJ","Total_a_Condonar__c":0.0,"ID_Solicitud__c":"300009231"}|0x14fe9d68
17:54:00.0 (3928412)|STATEMENT_EXECUTE|[51]
17:54:00.0 (3930510)|STATEMENT_EXECUTE|[53]
17:54:00.0 (4024359)|HEAP_ALLOCATE|[53]|Bytes:12
17:54:00.0 (4031216)|HEAP_ALLOCATE|[53]|Bytes:17
17:54:00.0 (4040933)|METHOD_ENTRY|[13]|01p3l00000EBdkA|ActualizarRestanteTicketRiesgoGestor.ActualizarRestanteTicketRiesgoGestor()
17:54:00.0 (4048829)|STATEMENT_EXECUTE|[13]
17:54:00.0 (4053156)|STATEMENT_EXECUTE|[13]
17:54:00.0 (4057869)|METHOD_EXIT|[13]|ActualizarRestanteTicketRiesgoGestor
17:54:00.0 (4064646)|HEAP_ALLOCATE|[53]|Bytes:8
17:54:00.0 (4094820)|CONSTRUCTOR_ENTRY|[53]|01p3l00000EBdkA|<init>()|ActualizarRestanteTicketRiesgoGestor
17:54:00.0 (4124746)|VARIABLE_SCOPE_BEGIN|[17]|this|ActualizarRestanteTicketRiesgoGestor|true|false
17:54:00.0 (4157724)|VARIABLE_ASSIGNMENT|[17]|this|{}|0x564dcf21
17:54:00.0 (4164541)|STATEMENT_EXECUTE|[13]
17:54:00.0 (4165972)|STATEMENT_EXECUTE|[15]
17:54:00.0 (6071375)|STATEMENT_EXECUTE|[17]
17:54:00.0 (6075265)|STATEMENT_EXECUTE|[19]
17:54:00.0 (6178003)|HEAP_ALLOCATE|[19]|Bytes:51
17:54:00.0 (6199449)|HEAP_ALLOCATE|[19]|Bytes:51
17:54:00.0 (6204820)|HEAP_ALLOCATE|[19]|Bytes:1
17:54:00.0 (6223817)|HEAP_ALLOCATE|[19]|Bytes:36
17:54:00.0 (6228723)|VARIABLE_SCOPE_BEGIN|[19]|currentClassName|String|false|false
17:54:00.0 (6243826)|VARIABLE_ASSIGNMENT|[19]|currentClassName|"ActualizarRestanteTi (16 more) ..."
17:54:00.0 (6248508)|STATEMENT_EXECUTE|[20]
17:54:00.0 (6344899)|HEAP_ALLOCATE|[20]|Bytes:48
17:54:00.0 (6351463)|HEAP_ALLOCATE|[20]|Bytes:63
17:54:00.0 (6362032)|METHOD_ENTRY|[1]|01p3l00000EBdkF|ClienteMicroServiciosGestor.ClienteMicroServiciosGestor()
17:54:00.0 (6368953)|STATEMENT_EXECUTE|[1]
17:54:00.0 (6372961)|STATEMENT_EXECUTE|[1]
17:54:00.0 (6377427)|METHOD_EXIT|[1]|ClienteMicroServiciosGestor
17:54:00.0 (6384632)|HEAP_ALLOCATE|[20]|Bytes:104
17:54:00.0 (6414097)|CONSTRUCTOR_ENTRY|[20]|01p3l00000EBdkF|<init>()|ClienteMicroServiciosGestor
17:54:00.0 (6437893)|VARIABLE_SCOPE_BEGIN|[37]|this|ClienteMicroServiciosGestor|true|false
17:54:00.0 (6477093)|VARIABLE_ASSIGNMENT|[37]|this|{}|0x28fd2d1
17:54:00.0 (6483489)|STATEMENT_EXECUTE|[1]
17:54:00.0 (6485023)|STATEMENT_EXECUTE|[2]
17:54:00.0 (6488288)|HEAP_ALLOCATE|[2]|Bytes:33
17:54:00.0 (6503907)|VARIABLE_ASSIGNMENT|[2]|this.BASE_URL|"https://cmr-mx-solic (13 more) ..."|0x28fd2d1
17:54:00.0 (6508743)|STATEMENT_EXECUTE|[3]
17:54:00.0 (6510308)|HEAP_ALLOCATE|[3]|Bytes:10
17:54:00.0 (6516372)|VARIABLE_ASSIGNMENT|[3]|this.URI|".fif.tech/"|0x28fd2d1
17:54:00.0 (6520708)|STATEMENT_EXECUTE|[6]
17:54:00.0 (6522484)|HEAP_ALLOCATE|[6]|Bytes:16
17:54:00.0 (6527477)|VARIABLE_ASSIGNMENT|[6]|this.APP_JSON|"application/json"|0x28fd2d1
17:54:00.0 (6531411)|STATEMENT_EXECUTE|[7]
17:54:00.0 (6533022)|HEAP_ALLOCATE|[7]|Bytes:12
17:54:00.0 (6538490)|VARIABLE_ASSIGNMENT|[7]|this.CONT_TYPE|"Content-Type"|0x28fd2d1
17:54:00.0 (6542671)|STATEMENT_EXECUTE|[8]
17:54:00.0 (6546116)|HEAP_ALLOCATE|[8]|Bytes:4
17:54:00.0 (6553022)|VARIABLE_ASSIGNMENT|[8]|this.TIME_OUT|120000|0x28fd2d1
17:54:00.0 (6556879)|STATEMENT_EXECUTE|[9]
17:54:00.0 (6558498)|HEAP_ALLOCATE|[9]|Bytes:11
17:54:00.0 (6563552)|VARIABLE_ASSIGNMENT|[9]|this.endpoint|"solicitudes"|0x28fd2d1
17:54:00.0 (6567269)|STATEMENT_EXECUTE|[10]
17:54:00.0 (6568914)|HEAP_ALLOCATE|[10]|Bytes:3
17:54:00.0 (6574214)|VARIABLE_ASSIGNMENT|[10]|this.method|"GET"|0x28fd2d1
17:54:00.0 (6578302)|STATEMENT_EXECUTE|[11]
17:54:00.0 (6579923)|HEAP_ALLOCATE|[11]|Bytes:2
17:54:00.0 (6584833)|VARIABLE_ASSIGNMENT|[11]|this.version|"v1"|0x28fd2d1
17:54:00.0 (6588732)|STATEMENT_EXECUTE|[12]
17:54:00.0 (6590233)|HEAP_ALLOCATE|[12]|Bytes:9
17:54:00.0 (6595199)|VARIABLE_ASSIGNMENT|[12]|this.MDW_CS_CHANNEL|"x-channel"|0x28fd2d1
17:54:00.0 (6599236)|STATEMENT_EXECUTE|[13]
17:54:00.0 (6600952)|HEAP_ALLOCATE|[13]|Bytes:10
17:54:00.0 (6605012)|VARIABLE_ASSIGNMENT|[13]|this.MDW_CS_COMMERCE|"x-commerce"|0x28fd2d1
17:54:00.0 (6607656)|STATEMENT_EXECUTE|[14]
17:54:00.0 (6608756)|HEAP_ALLOCATE|[14]|Bytes:9
