66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:56:24.0 (338955)|USER_INFO|[EXTERNAL]|0051N000008bAK9|contingenciafalabella@falabella.com.mx|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
17:56:24.0 (444144)|EXECUTION_STARTED
17:56:24.0 (470039)|CODE_UNIT_STARTED|[EXTERNAL]|apex://ExpedientesFalabella/ACTION$getDocumentApiGee
17:56:24.0 (3893397)|CODE_UNIT_STARTED|[EXTERNAL]|01p3l000005r3c4|ExpedientesFalabella.getDocumentApiGee(String, String)
17:56:24.0 (4984753)|HEAP_ALLOCATE|[95]|Bytes:3
17:56:24.0 (5156078)|HEAP_ALLOCATE|[100]|Bytes:152
17:56:24.0 (5177792)|HEAP_ALLOCATE|[417]|Bytes:408
17:56:24.0 (5196172)|HEAP_ALLOCATE|[430]|Bytes:408
17:56:24.0 (5230629)|HEAP_ALLOCATE|[317]|Bytes:6
17:56:24.0 (5247029)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
17:56:24.0 (5252367)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:56:24.0 (5394254)|METHOD_ENTRY|[12]|01p3l000005r3c4|ExpedientesFalabella.ExpedientesFalabella()
17:56:24.0 (5426270)|STATEMENT_EXECUTE|[12]
17:56:24.0 (5444401)|STATEMENT_EXECUTE|[12]
17:56:24.0 (5452930)|METHOD_EXIT|[12]|ExpedientesFalabella
17:56:24.0 (5458628)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:2
17:56:24.0 (5461519)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:56:24.0 (5484193)|VARIABLE_SCOPE_BEGIN|[52]|documentSubTypeId|String|false|false
17:56:24.0 (5625609)|VARIABLE_ASSIGNMENT|[52]|documentSubTypeId|"08"
17:56:24.0 (5631471)|VARIABLE_SCOPE_BEGIN|[52]|idRequest|String|false|false
17:56:24.0 (5638901)|VARIABLE_ASSIGNMENT|[52]|idRequest|"000002672993"
17:56:24.0 (5676085)|STATEMENT_EXECUTE|[52]
17:56:24.0 (5677979)|STATEMENT_EXECUTE|[54]
17:56:24.0 (5681529)|HEAP_ALLOCATE|[54]|Bytes:74
17:56:24.0 (5703459)|HEAP_ALLOCATE|[54]|Bytes:86
17:56:24.0 (5734003)|HEAP_ALLOCATE|[68]|Bytes:5
17:56:24.0 (5777186)|HEAP_ALLOCATE|[74]|Bytes:5
17:56:24.0 (5785003)|HEAP_ALLOCATE|[82]|Bytes:7
17:56:24.0 (5870720)|USER_DEBUG|[54]|DEBUG|ExpedientesFalabella.cls - getDocumentApiGee: consulta disponibilidad doc 000002672993
17:56:24.0 (5885513)|STATEMENT_EXECUTE|[56]
17:56:24.0 (5891955)|VARIABLE_SCOPE_BEGIN|[56]|msv2|Boolean|false|false
17:56:24.0 (6120065)|HEAP_ALLOCATE|[56]|Bytes:5
17:56:24.0 (6133496)|VARIABLE_ASSIGNMENT|[56]|msv2|false
17:56:24.0 (6137016)|STATEMENT_EXECUTE|[58]
17:56:24.0 (6138189)|STATEMENT_EXECUTE|[58]
17:56:24.0 (6139157)|STATEMENT_EXECUTE|[59]
17:56:24.0 (6141116)|HEAP_ALLOCATE|[59]|Bytes:61
17:56:24.0 (6157732)|HEAP_ALLOCATE|[59]|Bytes:4
17:56:24.0 (6169809)|HEAP_ALLOCATE|[59]|Bytes:7
17:56:24.0 (7830647)|SOQL_EXECUTE_BEGIN|[59]|Aggregations:0|SELECT Sucursal__c FROM Case WHERE ID_Solicitud__c = :tmpVar1
17:56:24.0 (21095189)|SOQL_EXECUTE_END|[59]|Rows:0
17:56:24.0 (21126919)|HEAP_ALLOCATE|[59]|Bytes:4
17:56:24.0 (21137783)|HEAP_ALLOCATE|[59]|Bytes:0
17:56:24.0 (21234114)|HEAP_ALLOCATE|[59]|Bytes:4
17:56:24.0 (21250106)|HEAP_ALLOCATE|[59]|Bytes:30
17:56:24.0 (21433824)|HEAP_ALLOCATE|[59]|Bytes:46
17:56:24.0 (21464619)|VARIABLE_SCOPE_BEGIN|[71]|e|Exception|true|false
17:56:24.0 (21653695)|VARIABLE_ASSIGNMENT|[71]|e|"common.apex.runtime.impl.ExecutionException: List has no rows for assignment to SObject"|0x370fad98
17:56:24.0 (21664300)|STATEMENT_EXECUTE|[71]
17:56:24.0 (21665565)|STATEMENT_EXECUTE|[72]
17:56:24.0 (21674302)|HEAP_ALLOCATE|[72]|Bytes:5
17:56:24.0 (21682190)|VARIABLE_ASSIGNMENT|[72]|msv2|true
17:56:24.0 (21684837)|STATEMENT_EXECUTE|[73]
17:56:24.0 (21687422)|HEAP_ALLOCATE|[73]|Bytes:47
17:56:24.0 (21763978)|HEAP_ALLOCATE|[73]|Bytes:4
17:56:24.0 (21776672)|HEAP_ALLOCATE|[73]|Bytes:51
17:56:24.0 (21789910)|USER_DEBUG|[73]|DEBUG|No se encontró un caso, se consultará la msV2: true
17:56:24.0 (21795913)|STATEMENT_EXECUTE|[74]
17:56:24.0 (21797226)|HEAP_ALLOCATE|[74]|Bytes:12
17:56:24.0 (21799540)|HEAP_ALLOCATE|[74]|Bytes:8
17:56:24.0 (21813020)|HEAP_ALLOCATE|[74]|Bytes:65
17:56:24.0 (21821811)|HEAP_ALLOCATE|[74]|Bytes:97
17:56:24.0 (21825270)|USER_DEBUG|[74]|DEBUG|Catch CURP: 000002672993 Error: System.QueryException: List has no rows for assignment to SObject
17:56:24.0 (21830156)|STATEMENT_EXECUTE|[78]
17:56:24.0 (24201495)|VARIABLE_SCOPE_BEGIN|[17]|MicroServicioApiGee.ENDPOINT_MS|String|false|true
17:56:24.0 (24213300)|VARIABLE_SCOPE_BEGIN|[18]|MicroServicioApiGee.ENDPOINT_MS_V2|String|false|true
17:56:24.0 (24216996)|VARIABLE_SCOPE_BEGIN|[15]|MicroServicioApiGee.ENDPOINT_TOKEN|String|false|true
17:56:24.0 (24220214)|VARIABLE_SCOPE_BEGIN|[16]|MicroServicioApiGee.GET|String|false|true
17:56:24.0 (24223648)|VARIABLE_SCOPE_BEGIN|[14]|MicroServicioApiGee.POST|String|false|true
17:56:24.0 (24226955)|VARIABLE_SCOPE_BEGIN|[19]|MicroServicioApiGee.token|String|false|true
17:56:24.0 (24240455)|HEAP_ALLOCATE|[78]|Bytes:12
17:56:24.0 (24246255)|HEAP_ALLOCATE|[78]|Bytes:17
17:56:24.0 (24248169)|HEAP_ALLOCATE|[78]|Bytes:33
17:56:24.0 (24302435)|VARIABLE_ASSIGNMENT|[78]|MicroServicioApiGee.ENDPOINT_MS|"document-management/ (13 more) ..."
17:56:24.0 (24304853)|HEAP_ALLOCATE|[78]|Bytes:33
17:56:24.0 (24308312)|VARIABLE_ASSIGNMENT|[78]|MicroServicioApiGee.ENDPOINT_MS_V2|"document-management/ (13 more) ..."
17:56:24.0 (24310258)|HEAP_ALLOCATE|[78]|Bytes:14
17:56:24.0 (24313161)|VARIABLE_ASSIGNMENT|[78]|MicroServicioApiGee.ENDPOINT_TOKEN|"oauth/cc/token"
17:56:24.0 (24315215)|HEAP_ALLOCATE|[78]|Bytes:3
17:56:24.0 (24318069)|VARIABLE_ASSIGNMENT|[78]|MicroServicioApiGee.GET|"GET"
17:56:24.0 (24319999)|HEAP_ALLOCATE|[78]|Bytes:4
17:56:24.0 (24322832)|VARIABLE_ASSIGNMENT|[78]|MicroServicioApiGee.POST|"POST"
17:56:24.0 (24347850)|METHOD_ENTRY|[11]|01p3l000005r3c7|MicroServicioApiGee.MicroServicioApiGee()
17:56:24.0 (24354542)|STATEMENT_EXECUTE|[11]
17:56:24.0 (24362568)|STATEMENT_EXECUTE|[11]
17:56:24.0 (24367550)|METHOD_EXIT|[11]|MicroServicioApiGee
17:56:24.0 (24389500)|METHOD_ENTRY|[78]|01p3l000005r3c7|MicroServicioApiGee.getDocumentApiGee(String, String, Boolean)
17:56:24.0 (24409776)|VARIABLE_SCOPE_BEGIN|[120]|documentSubTypeId|String|false|false
17:56:24.0 (24415021)|VARIABLE_ASSIGNMENT|[120]|documentSubTypeId|"08"
17:56:24.0 (24417031)|VARIABLE_SCOPE_BEGIN|[120]|idRequest|String|false|false
17:56:24.0 (24420891)|VARIABLE_ASSIGNMENT|[120]|idRequest|"000002672993"
17:56:24.0 (24428026)|VARIABLE_SCOPE_BEGIN|[120]|msV2|Boolean|false|false
17:56:24.0 (24432896)|VARIABLE_ASSIGNMENT|[120]|msV2|true
17:56:24.0 (24437856)|STATEMENT_EXECUTE|[120]
17:56:24.0 (24438814)|STATEMENT_EXECUTE|[122]
17:56:24.0 (24450422)|HEAP_ALLOCATE|[122]|Bytes:4
17:56:24.0 (24457541)|VARIABLE_SCOPE_BEGIN|[122]|mapResult|Map<String,ANY>|true|false
17:56:24.0 (24474508)|VARIABLE_ASSIGNMENT|[122]|mapResult|{}|0xb1ccab1
17:56:24.0 (24477262)|STATEMENT_EXECUTE|[123]
17:56:24.0 (24479286)|VARIABLE_SCOPE_BEGIN|[123]|success|Boolean|false|false
17:56:24.0 (24483511)|HEAP_ALLOCATE|[123]|Bytes:5
17:56:24.0 (24486292)|VARIABLE_ASSIGNMENT|[123]|success|false
17:56:24.0 (24488147)|STATEMENT_EXECUTE|[125]
17:56:24.0 (26802532)|HEAP_ALLOCATE|[125]|Bytes:8
17:56:24.0 (26841809)|CONSTRUCTOR_ENTRY|[125]|01p3l000005r3c7|<init>()|MicroServicioApiGee
17:56:24.0 (26890600)|VARIABLE_SCOPE_BEGIN|[20]|this|MicroServicioApiGee|true|false
17:56:24.0 (26948803)|VARIABLE_ASSIGNMENT|[20]|this|{}|0x2377f94a
17:56:24.0 (26955672)|STATEMENT_EXECUTE|[11]
17:56:24.0 (26956779)|STATEMENT_EXECUTE|[13]
17:56:24.0 (26965729)|HEAP_ALLOCATE|[22]|Bytes:6
17:56:24.0 (28396118)|STATEMENT_EXECUTE|[20]
17:56:24.0 (28398150)|STATEMENT_EXECUTE|[22]
17:56:24.0 (28463676)|HEAP_ALLOCATE|[22]|Bytes:193
17:56:24.0 (28482190)|HEAP_ALLOCATE|[22]|Bytes:193
17:56:24.0 (28487001)|HEAP_ALLOCATE|[22]|Bytes:1
17:56:24.0 (28505861)|HEAP_ALLOCATE|[22]|Bytes:19
17:56:24.0 (28510287)|VARIABLE_SCOPE_BEGIN|[22]|currentClassName|String|false|false
17:56:24.0 (28520578)|VARIABLE_ASSIGNMENT|[22]|currentClassName|"MicroServicioApiGee"
17:56:24.0 (28523181)|STATEMENT_EXECUTE|[23]
17:56:24.0 (28527348)|HEAP_ALLOCATE|[23]|Bytes:34
17:56:24.0 (28532426)|HEAP_ALLOCATE|[23]|Bytes:7
