66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:57:58.0 (240656)|USER_INFO|[EXTERNAL]|0051N000008bAK9|contingenciafalabella@falabella.com.mx|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
17:57:58.0 (318396)|EXECUTION_STARTED
17:57:58.0 (340160)|CODE_UNIT_STARTED|[EXTERNAL]|apex://ExpedientesFalabella/ACTION$getDocumentApiGee
17:57:58.0 (1760994)|CODE_UNIT_STARTED|[EXTERNAL]|01p3l000005r3c4|ExpedientesFalabella.getDocumentApiGee(String, String)
17:57:58.0 (1968047)|HEAP_ALLOCATE|[95]|Bytes:3
17:57:58.0 (2040833)|HEAP_ALLOCATE|[100]|Bytes:152
17:57:58.0 (2057721)|HEAP_ALLOCATE|[417]|Bytes:408
17:57:58.0 (2073087)|HEAP_ALLOCATE|[430]|Bytes:408
17:57:58.0 (2098772)|HEAP_ALLOCATE|[317]|Bytes:6
17:57:58.0 (2150613)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
17:57:58.0 (2153412)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:57:58.0 (2171708)|METHOD_ENTRY|[12]|01p3l000005r3c4|ExpedientesFalabella.ExpedientesFalabella()
17:57:58.0 (2180145)|STATEMENT_EXECUTE|[12]
17:57:58.0 (2187073)|STATEMENT_EXECUTE|[12]
17:57:58.0 (2192813)|METHOD_EXIT|[12]|ExpedientesFalabella
17:57:58.0 (2195956)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:2
17:57:58.0 (2197466)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:57:58.0 (2203354)|VARIABLE_SCOPE_BEGIN|[52]|documentSubTypeId|String|false|false
17:57:58.0 (2235510)|VARIABLE_ASSIGNMENT|[52]|documentSubTypeId|"10"
17:57:58.0 (2238057)|VARIABLE_SCOPE_BEGIN|[52]|idRequest|String|false|false
17:57:58.0 (2242197)|VARIABLE_ASSIGNMENT|[52]|idRequest|"000002672993"
17:57:58.0 (2249336)|STATEMENT_EXECUTE|[52]
17:57:58.0 (2250482)|STATEMENT_EXECUTE|[54]
17:57:58.0 (2252227)|HEAP_ALLOCATE|[54]|Bytes:74
17:57:58.0 (2266722)|HEAP_ALLOCATE|[54]|Bytes:86
17:57:58.0 (2285428)|HEAP_ALLOCATE|[68]|Bytes:5
17:57:58.0 (2306367)|HEAP_ALLOCATE|[74]|Bytes:5
17:57:58.0 (2310950)|HEAP_ALLOCATE|[82]|Bytes:7
