52.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
18:00:11.0 (195866)|USER_INFO|[EXTERNAL]|0051N000008bAK9|contingenciafalabella@falabella.com.mx|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
18:00:11.0 (267386)|EXECUTION_STARTED
18:00:11.0 (293973)|CODE_UNIT_STARTED|[EXTERNAL]|01p3l00000EBsec|BatchUpdateCaseGestorBO
18:00:11.0 (959520)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
18:00:11.0 (1022362)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
18:00:11.0 (1038832)|METHOD_ENTRY|[11]|01p3l00000EBsec|BatchUpdateCaseGestorBO.BatchUpdateCaseGestorBO()
18:00:11.0 (1048485)|STATEMENT_EXECUTE|[11]
18:00:11.0 (1055336)|STATEMENT_EXECUTE|[11]
18:00:11.0 (1062500)|METHOD_EXIT|[11]|BatchUpdateCaseGestorBO
18:00:11.0 (1067525)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
18:00:11.0 (1070479)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
18:00:11.0 (1091497)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16
18:00:11.0 (1100867)|VARIABLE_SCOPE_BEGIN|[42]|this|BatchUpdateCaseGestorBO|true|false
18:00:11.0 (1174872)|VARIABLE_ASSIGNMENT|[42]|this|{"idQueueFraudesCredito":"00G3l000004HYBREA4","intCallMSAttempts":3,"lstRecordTypesBO":"0x49b418c","lstRequestsWithError":"0x17b57529"}|0x1e0d80cb
18:00:11.0 (1179813)|VARIABLE_SCOPE_BEGIN|[42]|BC|Database.BatchableContext|true|false
18:00:11.0 (1291292)|VARIABLE_ASSIGNMENT|[42]|BC|{"childJobId":"707RQ00001vVbC6YAK","jobId":"707RQ00001vVUhhYAG"}|0x54b4c85
