66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
18:01:13.0 (266530)|USER_INFO|[EXTERNAL]|0051N000008bAK9|contingenciafalabella@falabella.com.mx|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
18:01:13.0 (360769)|EXECUTION_STARTED
18:01:13.0 (385540)|CODE_UNIT_STARTED|[EXTERNAL]|apex://ExpedientesFalabella/ACTION$getDocumentApiGee
18:01:13.0 (2930168)|CODE_UNIT_STARTED|[EXTERNAL]|01p3l000005r3c4|ExpedientesFalabella.getDocumentApiGee(String, String)
18:01:13.0 (3958096)|HEAP_ALLOCATE|[95]|Bytes:3
18:01:13.0 (4069076)|HEAP_ALLOCATE|[100]|Bytes:152
18:01:13.0 (4082246)|HEAP_ALLOCATE|[417]|Bytes:408
18:01:13.0 (4092642)|HEAP_ALLOCATE|[430]|Bytes:408
18:01:13.0 (4112128)|HEAP_ALLOCATE|[317]|Bytes:6
18:01:13.0 (4121227)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
18:01:13.0 (4124149)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
18:01:13.0 (4146218)|METHOD_ENTRY|[12]|01p3l000005r3c4|ExpedientesFalabella.ExpedientesFalabella()
18:01:13.0 (4163543)|STATEMENT_EXECUTE|[12]
18:01:13.0 (4176522)|STATEMENT_EXECUTE|[12]
18:01:13.0 (4181897)|METHOD_EXIT|[12]|ExpedientesFalabella
18:01:13.0 (4185373)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:2
18:01:13.0 (4186917)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
18:01:13.0 (4211487)|VARIABLE_SCOPE_BEGIN|[52]|documentSubTypeId|String|false|false
18:01:13.0 (4276294)|VARIABLE_ASSIGNMENT|[52]|documentSubTypeId|"12"
18:01:13.0 (4280596)|VARIABLE_SCOPE_BEGIN|[52]|idRequest|String|false|false
18:01:13.0 (4286893)|VARIABLE_ASSIGNMENT|[52]|idRequest|"0102672993"
18:01:13.0 (4294908)|STATEMENT_EXECUTE|[52]
18:01:13.0 (4296592)|STATEMENT_EXECUTE|[54]
18:01:13.0 (4299366)|HEAP_ALLOCATE|[54]|Bytes:74
18:01:13.0 (4315353)|HEAP_ALLOCATE|[54]|Bytes:84
18:01:13.0 (4336357)|HEAP_ALLOCATE|[68]|Bytes:5
18:01:13.0 (4355797)|HEAP_ALLOCATE|[74]|Bytes:5
18:01:13.0 (4360449)|HEAP_ALLOCATE|[82]|Bytes:7
18:01:13.0 (4428433)|USER_DEBUG|[54]|DEBUG|ExpedientesFalabella.cls - getDocumentApiGee: consulta disponibilidad doc 0102672993
18:01:13.0 (4441625)|STATEMENT_EXECUTE|[56]
18:01:13.0 (4446404)|VARIABLE_SCOPE_BEGIN|[56]|msv2|Boolean|false|false
18:01:13.0 (4607001)|HEAP_ALLOCATE|[56]|Bytes:5
18:01:13.0 (4615205)|VARIABLE_ASSIGNMENT|[56]|msv2|false
18:01:13.0 (4618671)|STATEMENT_EXECUTE|[58]
18:01:13.0 (4619729)|STATEMENT_EXECUTE|[58]
18:01:13.0 (4620975)|STATEMENT_EXECUTE|[59]
18:01:13.0 (4622405)|HEAP_ALLOCATE|[59]|Bytes:61
18:01:13.0 (4654595)|HEAP_ALLOCATE|[59]|Bytes:4
18:01:13.0 (4661922)|HEAP_ALLOCATE|[59]|Bytes:7
18:01:13.0 (5628172)|SOQL_EXECUTE_BEGIN|[59]|Aggregations:0|SELECT Sucursal__c FROM Case WHERE ID_Solicitud__c = :tmpVar1
18:01:13.0 (19666370)|SOQL_EXECUTE_END|[59]|Rows:0
18:01:13.0 (19700867)|HEAP_ALLOCATE|[59]|Bytes:4
18:01:13.0 (19712798)|HEAP_ALLOCATE|[59]|Bytes:0
18:01:13.0 (19806002)|HEAP_ALLOCATE|[59]|Bytes:4
18:01:13.0 (19825132)|HEAP_ALLOCATE|[59]|Bytes:30
18:01:13.0 (19913543)|HEAP_ALLOCATE|[59]|Bytes:46
18:01:13.0 (19940838)|VARIABLE_SCOPE_BEGIN|[71]|e|Exception|true|false
18:01:13.0 (20104404)|VARIABLE_ASSIGNMENT|[71]|e|"common.apex.runtime.impl.ExecutionException: List has no rows for assignment to SObject"|0x353d479f
18:01:13.0 (20120323)|STATEMENT_EXECUTE|[71]
18:01:13.0 (20121855)|STATEMENT_EXECUTE|[72]
18:01:13.0 (20127216)|HEAP_ALLOCATE|[72]|Bytes:5
18:01:13.0 (20136351)|VARIABLE_ASSIGNMENT|[72]|msv2|true
18:01:13.0 (20139308)|STATEMENT_EXECUTE|[73]
18:01:13.0 (20141290)|HEAP_ALLOCATE|[73]|Bytes:47
18:01:13.0 (20211441)|HEAP_ALLOCATE|[73]|Bytes:4
18:01:13.0 (20222845)|HEAP_ALLOCATE|[73]|Bytes:51
18:01:13.0 (20235960)|USER_DEBUG|[73]|DEBUG|No se encontró un caso, se consultará la msV2: true
18:01:13.0 (20242158)|STATEMENT_EXECUTE|[74]
18:01:13.0 (20243725)|HEAP_ALLOCATE|[74]|Bytes:12
18:01:13.0 (20246275)|HEAP_ALLOCATE|[74]|Bytes:8
18:01:13.0 (20256760)|HEAP_ALLOCATE|[74]|Bytes:65
18:01:13.0 (20265702)|HEAP_ALLOCATE|[74]|Bytes:95
18:01:13.0 (20269894)|USER_DEBUG|[74]|DEBUG|Catch CURP: 0102672993 Error: System.QueryException: List has no rows for assignment to SObject
18:01:13.0 (20274816)|STATEMENT_EXECUTE|[78]
18:01:13.0 (22987101)|VARIABLE_SCOPE_BEGIN|[17]|MicroServicioApiGee.ENDPOINT_MS|String|false|true
18:01:13.0 (23007418)|VARIABLE_SCOPE_BEGIN|[18]|MicroServicioApiGee.ENDPOINT_MS_V2|String|false|true
18:01:13.0 (23011155)|VARIABLE_SCOPE_BEGIN|[15]|MicroServicioApiGee.ENDPOINT_TOKEN|String|false|true
18:01:13.0 (23014578)|VARIABLE_SCOPE_BEGIN|[16]|MicroServicioApiGee.GET|String|false|true
18:01:13.0 (23018085)|VARIABLE_SCOPE_BEGIN|[14]|MicroServicioApiGee.POST|String|false|true
18:01:13.0 (23021512)|VARIABLE_SCOPE_BEGIN|[19]|MicroServicioApiGee.token|String|false|true
18:01:13.0 (23036016)|HEAP_ALLOCATE|[78]|Bytes:12
18:01:13.0 (23044460)|HEAP_ALLOCATE|[78]|Bytes:17
18:01:13.0 (23046423)|HEAP_ALLOCATE|[78]|Bytes:33
18:01:13.0 (23120284)|VARIABLE_ASSIGNMENT|[78]|MicroServicioApiGee.ENDPOINT_MS|"document-management/ (13 more) ..."
18:01:13.0 (23141134)|HEAP_ALLOCATE|[78]|Bytes:33
18:01:13.0 (23175446)|VARIABLE_ASSIGNMENT|[78]|MicroServicioApiGee.ENDPOINT_MS_V2|"document-management/ (13 more) ..."
18:01:13.0 (23187835)|HEAP_ALLOCATE|[78]|Bytes:14
18:01:13.0 (23191406)|VARIABLE_ASSIGNMENT|[78]|MicroServicioApiGee.ENDPOINT_TOKEN|"oauth/cc/token"
18:01:13.0 (23193771)|HEAP_ALLOCATE|[78]|Bytes:3
18:01:13.0 (23196828)|VARIABLE_ASSIGNMENT|[78]|MicroServicioApiGee.GET|"GET"
18:01:13.0 (23198889)|HEAP_ALLOCATE|[78]|Bytes:4
18:01:13.0 (23201860)|VARIABLE_ASSIGNMENT|[78]|MicroServicioApiGee.POST|"POST"
18:01:13.0 (23235426)|METHOD_ENTRY|[11]|01p3l000005r3c7|MicroServicioApiGee.MicroServicioApiGee()
18:01:13.0 (23248017)|STATEMENT_EXECUTE|[11]
18:01:13.0 (23253696)|STATEMENT_EXECUTE|[11]
18:01:13.0 (23258240)|METHOD_EXIT|[11]|MicroServicioApiGee
18:01:13.0 (23282565)|METHOD_ENTRY|[78]|01p3l000005r3c7|MicroServicioApiGee.getDocumentApiGee(String, String, Boolean)
18:01:13.0 (23308357)|VARIABLE_SCOPE_BEGIN|[120]|documentSubTypeId|String|false|false
18:01:13.0 (23329034)|VARIABLE_ASSIGNMENT|[120]|documentSubTypeId|"12"
18:01:13.0 (23333605)|VARIABLE_SCOPE_BEGIN|[120]|idRequest|String|false|false
18:01:13.0 (23338092)|VARIABLE_ASSIGNMENT|[120]|idRequest|"0102672993"
18:01:13.0 (23345067)|VARIABLE_SCOPE_BEGIN|[120]|msV2|Boolean|false|false
18:01:13.0 (23350997)|VARIABLE_ASSIGNMENT|[120]|msV2|true
18:01:13.0 (23356648)|STATEMENT_EXECUTE|[120]
18:01:13.0 (23358032)|STATEMENT_EXECUTE|[122]
18:01:13.0 (23368045)|HEAP_ALLOCATE|[122]|Bytes:4
18:01:13.0 (23376688)|VARIABLE_SCOPE_BEGIN|[122]|mapResult|Map<String,ANY>|true|false
18:01:13.0 (23400521)|VARIABLE_ASSIGNMENT|[122]|mapResult|{}|0x4ccc7b43
18:01:13.0 (23404045)|STATEMENT_EXECUTE|[123]
18:01:13.0 (23406458)|VARIABLE_SCOPE_BEGIN|[123]|success|Boolean|false|false
18:01:13.0 (23410846)|HEAP_ALLOCATE|[123]|Bytes:5
18:01:13.0 (23413675)|VARIABLE_ASSIGNMENT|[123]|success|false
18:01:13.0 (23416180)|STATEMENT_EXECUTE|[125]
18:01:13.0 (25970120)|HEAP_ALLOCATE|[125]|Bytes:8
18:01:13.0 (26041924)|CONSTRUCTOR_ENTRY|[125]|01p3l000005r3c7|<init>()|MicroServicioApiGee
18:01:13.0 (26114829)|VARIABLE_SCOPE_BEGIN|[20]|this|MicroServicioApiGee|true|false
18:01:13.0 (26190107)|VARIABLE_ASSIGNMENT|[20]|this|{}|0x748d6cde
18:01:13.0 (26203866)|STATEMENT_EXECUTE|[11]
18:01:13.0 (26206339)|STATEMENT_EXECUTE|[13]
18:01:13.0 (26218805)|HEAP_ALLOCATE|[22]|Bytes:6
18:01:13.0 (27305493)|STATEMENT_EXECUTE|[20]
18:01:13.0 (27309806)|STATEMENT_EXECUTE|[22]
18:01:13.0 (27411685)|HEAP_ALLOCATE|[22]|Bytes:193
18:01:13.0 (27438375)|HEAP_ALLOCATE|[22]|Bytes:193
18:01:13.0 (27444053)|HEAP_ALLOCATE|[22]|Bytes:1
18:01:13.0 (27465123)|HEAP_ALLOCATE|[22]|Bytes:19
18:01:13.0 (27470259)|VARIABLE_SCOPE_BEGIN|[22]|currentClassName|String|false|false
18:01:13.0 (27488723)|VARIABLE_ASSIGNMENT|[22]|currentClassName|"MicroServicioApiGee"
18:01:13.0 (27492203)|STATEMENT_EXECUTE|[23]
18:01:13.0 (27498873)|HEAP_ALLOCATE|[23]|Bytes:34
