52.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
18:03:04.0 (298954)|USER_INFO|[EXTERNAL]|0051N000008bAK9|contingenciafalabella@falabella.com.mx|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
18:03:04.0 (404149)|EXECUTION_STARTED
18:03:04.0 (439300)|CODE_UNIT_STARTED|[EXTERNAL]|01p3l00000EBsec|BatchUpdateCaseGestorBO
18:03:04.0 (1157943)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
18:03:04.0 (1263721)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
18:03:04.0 (1309093)|METHOD_ENTRY|[11]|01p3l00000EBsec|BatchUpdateCaseGestorBO.BatchUpdateCaseGestorBO()
18:03:04.0 (1323898)|STATEMENT_EXECUTE|[11]
18:03:04.0 (1338927)|STATEMENT_EXECUTE|[11]
18:03:04.0 (1351009)|METHOD_EXIT|[11]|BatchUpdateCaseGestorBO
18:03:04.0 (1356850)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
18:03:04.0 (1365436)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
18:03:04.0 (1393511)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16
18:03:04.0 (1414979)|VARIABLE_SCOPE_BEGIN|[42]|this|BatchUpdateCaseGestorBO|true|false
18:03:04.0 (1601813)|VARIABLE_ASSIGNMENT|[42]|this|{"idQueueFraudesCredito":"00G3l000004HYBREA4","intCallMSAttempts":3,"lstRecordTypesBO":"0x2c8dacfd","lstRequestsWithError":"0x72234486"}|0x25573364
18:03:04.0 (1651886)|VARIABLE_SCOPE_BEGIN|[42]|BC|Database.BatchableContext|true|false
18:03:04.0 (1910538)|VARIABLE_ASSIGNMENT|[42]|BC|{"childJobId":"707RQ00001vVgPvYAK","jobId":"707RQ00001vVeRZYA0"}|0x3b3217fe
18:03:04.0 (1921173)|VARIABLE_SCOPE_BEGIN|[42]|scope|List<Case>|true|false
18:03:04.0 (2205668)|VARIABLE_ASSIGNMENT|[42]|scope|[{"Solicitud_Repetida__c":false,"Id":"500Qg00000Pq7BvIAJ","Total_a_Condonar__c":0.0,"ID_Solicitud__c":"300009231"},{"Solicitud_Repetida__c":false,"Id":"500Qg00000PqF6HIAV","Total_a_Condonar__c":0.0,"ID_Solicitud__c":"300009230"},{"Solicitud_Repetida__c":false,"Id":"500Qg00000QIQwPIAX","Total_a_Condonar__c":1.0,"ID_Solicitud__c":"306394479"}]|0x689815ad
18:03:04.0 (2225587)|STATEMENT_EXECUTE|[42]
18:03:04.0 (2227254)|STATEMENT_EXECUTE|[44]
18:03:04.0 (2242050)|HEAP_ALLOCATE|[44]|Bytes:4
