52.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
18:06:01.0 (220656)|USER_INFO|[EXTERNAL]|0051N000008bAK9|contingenciafalabella@falabella.com.mx|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
18:06:01.0 (313526)|EXECUTION_STARTED
18:06:01.0 (342953)|CODE_UNIT_STARTED|[EXTERNAL]|01p3l00000EBsec|BatchUpdateCaseGestorBO
18:06:01.0 (1093635)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
18:06:01.0 (1168257)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
18:06:01.0 (1201367)|METHOD_ENTRY|[11]|01p3l00000EBsec|BatchUpdateCaseGestorBO.BatchUpdateCaseGestorBO()
18:06:01.0 (1210734)|STATEMENT_EXECUTE|[11]
18:06:01.0 (1227081)|STATEMENT_EXECUTE|[11]
18:06:01.0 (1236484)|METHOD_EXIT|[11]|BatchUpdateCaseGestorBO
18:06:01.0 (1243838)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
18:06:01.0 (1246164)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
18:06:01.0 (1270925)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16
18:06:01.0 (1284624)|VARIABLE_SCOPE_BEGIN|[42]|this|BatchUpdateCaseGestorBO|true|false
18:06:01.0 (1369245)|VARIABLE_ASSIGNMENT|[42]|this|{"idQueueFraudesCredito":"00G3l000004HYBREA4","intCallMSAttempts":3,"lstRecordTypesBO":"0x6eb18fbe","lstRequestsWithError":"0x245c6b79"}|0x685c82a0
18:06:01.0 (1374146)|VARIABLE_SCOPE_BEGIN|[42]|BC|Database.BatchableContext|true|false
18:06:01.0 (1509133)|VARIABLE_ASSIGNMENT|[42]|BC|{"childJobId":"707RQ00001vVk0lYAC","jobId":"707RQ00001vVis4YAC"}|0x3c62cd50
18:06:01.0 (1539124)|VARIABLE_SCOPE_BEGIN|[42]|scope|List<Case>|true|false
18:06:01.0 (1695051)|VARIABLE_ASSIGNMENT|[42]|scope|[{"Solicitud_Repetida__c":false,"Id":"500Qg00000Pq7BvIAJ","Total_a_Condonar__c":0.0,"ID_Solicitud__c":"300009231"},{"Solicitud_Repetida__c":false,"Id":"500Qg00000PqF6HIAV","Total_a_Condonar__c":0.0,"ID_Solicitud__c":"300009230"},{"Solicitud_Repetida__c":false,"Id":"500Qg00000QIQwPIAX","Total_a_Condonar__c":1.0,"ID_Solicitud__c":"306394479"}]|0xbe123e5
18:06:01.0 (1718570)|STATEMENT_EXECUTE|[42]
18:06:01.0 (1720344)|STATEMENT_EXECUTE|[44]
18:06:01.0 (1735640)|HEAP_ALLOCATE|[44]|Bytes:4
18:06:01.0 (1806175)|VARIABLE_SCOPE_BEGIN|[44]|lstIdSolicitud|List<String>|true|false
18:06:01.0 (1839346)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
18:06:01.0 (1845416)|VARIABLE_ASSIGNMENT|[44]|lstIdSolicitud|[]|0x69cf8158
18:06:01.0 (1848655)|STATEMENT_EXECUTE|[46]
18:06:01.0 (5599074)|HEAP_ALLOCATE|[46]|Bytes:4
18:06:01.0 (5678218)|VARIABLE_SCOPE_BEGIN|[46]|mapResponseGestor|Map<String,SolicitudGestorJSON>|true|false
18:06:01.0 (5710753)|VARIABLE_ASSIGNMENT|[46]|mapResponseGestor|{}|0x44cec6b3
18:06:01.0 (5721831)|STATEMENT_EXECUTE|[47]
18:06:01.0 (5733858)|HEAP_ALLOCATE|[47]|Bytes:4
18:06:01.0 (5741555)|VARIABLE_SCOPE_BEGIN|[47]|mapSolicitudRepetida|Map<String,Boolean>|true|false
18:06:01.0 (5749649)|VARIABLE_ASSIGNMENT|[47]|mapSolicitudRepetida|{}|0x5bf3bc96
18:06:01.0 (5753453)|STATEMENT_EXECUTE|[49]
18:06:01.0 (5936865)|HEAP_ALLOCATE|[49]|Bytes:4
