52.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
18:12:00.0 (236841)|USER_INFO|[EXTERNAL]|0051N000008bAK9|contingenciafalabella@falabella.com.mx|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
18:12:00.0 (318258)|EXECUTION_STARTED
18:12:00.0 (344285)|CODE_UNIT_STARTED|[EXTERNAL]|01p3l00000EBsec|BatchUpdateCaseGestorBO
18:12:00.0 (1035023)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
18:12:00.0 (1106741)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
18:12:00.0 (1122069)|METHOD_ENTRY|[11]|01p3l00000EBsec|BatchUpdateCaseGestorBO.BatchUpdateCaseGestorBO()
18:12:00.0 (1130770)|STATEMENT_EXECUTE|[11]
18:12:00.0 (1140021)|STATEMENT_EXECUTE|[11]
18:12:00.0 (1144733)|METHOD_EXIT|[11]|BatchUpdateCaseGestorBO
18:12:00.0 (1148324)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
18:12:00.0 (1151194)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
18:12:00.0 (1166615)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16
18:12:00.0 (1177601)|VARIABLE_SCOPE_BEGIN|[42]|this|BatchUpdateCaseGestorBO|true|false
18:12:00.0 (1251009)|VARIABLE_ASSIGNMENT|[42]|this|{"idQueueFraudesCredito":"00G3l000004HYBREA4","intCallMSAttempts":3,"lstRecordTypesBO":"0xe29856e","lstRequestsWithError":"0x42ef189"}|0x79cfd6cc
18:12:00.0 (1256090)|VARIABLE_SCOPE_BEGIN|[42]|BC|Database.BatchableContext|true|false
18:12:00.0 (1377579)|VARIABLE_ASSIGNMENT|[42]|BC|{"childJobId":"707RQ00001vVVUKYA4","jobId":"707RQ00001vVn9oYAC"}|0x42c1ed07
18:12:00.0 (1383493)|VARIABLE_SCOPE_BEGIN|[42]|scope|List<Case>|true|false
18:12:00.0 (1507325)|VARIABLE_ASSIGNMENT|[42]|scope|[{"Solicitud_Repetida__c":false,"Id":"500Qg00000Pq7BvIAJ","Total_a_Condonar__c":0.0,"ID_Solicitud__c":"300009231"},{"Solicitud_Repetida__c":false,"Id":"500Qg00000PqF6HIAV","Total_a_Condonar__c":0.0,"ID_Solicitud__c":"300009230"},{"Solicitud_Repetida__c":false,"Id":"500Qg00000QIQwPIAX","Total_a_Condonar__c":1.0,"ID_Solicitud__c":"306394479"}]|0x331c9a34
18:12:00.0 (1520892)|STATEMENT_EXECUTE|[42]
18:12:00.0 (1522271)|STATEMENT_EXECUTE|[44]
18:12:00.0 (1530480)|HEAP_ALLOCATE|[44]|Bytes:4
18:12:00.0 (1660357)|VARIABLE_SCOPE_BEGIN|[44]|lstIdSolicitud|List<String>|true|false
18:12:00.0 (1687862)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
18:12:00.0 (1694486)|VARIABLE_ASSIGNMENT|[44]|lstIdSolicitud|[]|0x71dc7bcc
18:12:00.0 (1698218)|STATEMENT_EXECUTE|[46]
18:12:00.0 (5464692)|HEAP_ALLOCATE|[46]|Bytes:4
18:12:00.0 (5517310)|VARIABLE_SCOPE_BEGIN|[46]|mapResponseGestor|Map<String,SolicitudGestorJSON>|true|false
18:12:00.0 (5546558)|VARIABLE_ASSIGNMENT|[46]|mapResponseGestor|{}|0x44ccea6
18:12:00.0 (5555746)|STATEMENT_EXECUTE|[47]
18:12:00.0 (5564871)|HEAP_ALLOCATE|[47]|Bytes:4
18:12:00.0 (5571496)|VARIABLE_SCOPE_BEGIN|[47]|mapSolicitudRepetida|Map<String,Boolean>|true|false
18:12:00.0 (5578972)|VARIABLE_ASSIGNMENT|[47]|mapSolicitudRepetida|{}|0x5fe29f33
18:12:00.0 (5583357)|STATEMENT_EXECUTE|[49]
18:12:00.0 (5767385)|HEAP_ALLOCATE|[49]|Bytes:4
18:12:00.0 (5848968)|VARIABLE_SCOPE_BEGIN|[49]|lstErrorLog|List<Error_Log__c>|true|false
18:12:00.0 (5855667)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
18:12:00.0 (5864571)|VARIABLE_ASSIGNMENT|[49]|lstErrorLog|[]|0x37ad6529
18:12:00.0 (6207887)|HEAP_ALLOCATE|[68]|Bytes:5
18:12:00.0 (6232948)|HEAP_ALLOCATE|[74]|Bytes:5
18:12:00.0 (6240407)|HEAP_ALLOCATE|[82]|Bytes:7
18:12:00.0 (6254648)|HEAP_ALLOCATE|[51]|Bytes:5
18:12:00.0 (6341000)|HEAP_ALLOCATE|[51]|Bytes:20
18:12:00.0 (6350045)|VARIABLE_SCOPE_BEGIN|[51]|caso|Case|true|false
18:12:00.0 (6439918)|VARIABLE_ASSIGNMENT|[51]|caso|{"Solicitud_Repetida__c":false,"Id":"500Qg00000Pq7BvIAJ","Total_a_Condonar__c":0.0,"ID_Solicitud__c":"300009231"}|0x56ec584c
18:12:00.0 (6449973)|STATEMENT_EXECUTE|[51]
18:12:00.0 (6451944)|STATEMENT_EXECUTE|[53]
18:12:00.0 (9013690)|HEAP_ALLOCATE|[53]|Bytes:12
18:12:00.0 (9028510)|HEAP_ALLOCATE|[53]|Bytes:17
18:12:00.0 (9067700)|METHOD_ENTRY|[13]|01p3l00000EBdkA|ActualizarRestanteTicketRiesgoGestor.ActualizarRestanteTicketRiesgoGestor()
18:12:00.0 (9075846)|STATEMENT_EXECUTE|[13]
18:12:00.0 (9082306)|STATEMENT_EXECUTE|[13]
18:12:00.0 (9086807)|METHOD_EXIT|[13]|ActualizarRestanteTicketRiesgoGestor
18:12:00.0 (12155927)|HEAP_ALLOCATE|[53]|Bytes:8
18:12:00.0 (12245845)|CONSTRUCTOR_ENTRY|[53]|01p3l00000EBdkA|<init>()|ActualizarRestanteTicketRiesgoGestor
18:12:00.0 (12294104)|VARIABLE_SCOPE_BEGIN|[17]|this|ActualizarRestanteTicketRiesgoGestor|true|false
18:12:00.0 (12351467)|VARIABLE_ASSIGNMENT|[17]|this|{}|0x1ac17f8e
18:12:00.0 (12362321)|STATEMENT_EXECUTE|[13]
18:12:00.0 (12364335)|STATEMENT_EXECUTE|[15]
18:12:00.0 (13698185)|STATEMENT_EXECUTE|[17]
18:12:00.0 (13702674)|STATEMENT_EXECUTE|[19]
18:12:00.0 (13873913)|HEAP_ALLOCATE|[19]|Bytes:51
18:12:00.0 (13909719)|HEAP_ALLOCATE|[19]|Bytes:51
18:12:00.0 (13918700)|HEAP_ALLOCATE|[19]|Bytes:1
18:12:00.0 (13947584)|HEAP_ALLOCATE|[19]|Bytes:36
18:12:00.0 (13956300)|VARIABLE_SCOPE_BEGIN|[19]|currentClassName|String|false|false
18:12:00.0 (13978455)|VARIABLE_ASSIGNMENT|[19]|currentClassName|"ActualizarRestanteTi (16 more) ..."
18:12:00.0 (13983942)|STATEMENT_EXECUTE|[20]
18:12:00.0 (13993430)|HEAP_ALLOCATE|[20]|Bytes:48
18:12:00.0 (14004177)|HEAP_ALLOCATE|[20]|Bytes:63
18:12:00.0 (14031029)|METHOD_ENTRY|[1]|01p3l00000EBdkF|ClienteMicroServiciosGestor.ClienteMicroServiciosGestor()
18:12:00.0 (14039140)|STATEMENT_EXECUTE|[1]
18:12:00.0 (14043931)|STATEMENT_EXECUTE|[1]
18:12:00.0 (14049209)|METHOD_EXIT|[1]|ClienteMicroServiciosGestor
18:12:00.0 (14152679)|HEAP_ALLOCATE|[20]|Bytes:104
18:12:00.0 (14185091)|CONSTRUCTOR_ENTRY|[20]|01p3l00000EBdkF|<init>()|ClienteMicroServiciosGestor
18:12:00.0 (14220169)|VARIABLE_SCOPE_BEGIN|[37]|this|ClienteMicroServiciosGestor|true|false
18:12:00.0 (14285360)|VARIABLE_ASSIGNMENT|[37]|this|{}|0x2b636723
18:12:00.0 (14293361)|STATEMENT_EXECUTE|[1]
18:12:00.0 (14294818)|STATEMENT_EXECUTE|[2]
18:12:00.0 (14298615)|HEAP_ALLOCATE|[2]|Bytes:33
18:12:00.0 (14315362)|VARIABLE_ASSIGNMENT|[2]|this.BASE_URL|"https://cmr-mx-solic (13 more) ..."|0x2b636723
18:12:00.0 (14320199)|STATEMENT_EXECUTE|[3]
18:12:00.0 (14321916)|HEAP_ALLOCATE|[3]|Bytes:10
18:12:00.0 (14328596)|VARIABLE_ASSIGNMENT|[3]|this.URI|".fif.tech/"|0x2b636723
18:12:00.0 (14333094)|STATEMENT_EXECUTE|[6]
18:12:00.0 (14335033)|HEAP_ALLOCATE|[6]|Bytes:16
18:12:00.0 (14340990)|VARIABLE_ASSIGNMENT|[6]|this.APP_JSON|"application/json"|0x2b636723
18:12:00.0 (14345523)|STATEMENT_EXECUTE|[7]
18:12:00.0 (14347236)|HEAP_ALLOCATE|[7]|Bytes:12
18:12:00.0 (14352849)|VARIABLE_ASSIGNMENT|[7]|this.CONT_TYPE|"Content-Type"|0x2b636723
18:12:00.0 (14357269)|STATEMENT_EXECUTE|[8]
18:12:00.0 (14360406)|HEAP_ALLOCATE|[8]|Bytes:4
18:12:00.0 (14368174)|VARIABLE_ASSIGNMENT|[8]|this.TIME_OUT|120000|0x2b636723
18:12:00.0 (14372466)|STATEMENT_EXECUTE|[9]
18:12:00.0 (14374395)|HEAP_ALLOCATE|[9]|Bytes:11
18:12:00.0 (14379718)|VARIABLE_ASSIGNMENT|[9]|this.endpoint|"solicitudes"|0x2b636723
18:12:00.0 (14383274)|STATEMENT_EXECUTE|[10]
18:12:00.0 (14384801)|HEAP_ALLOCATE|[10]|Bytes:3
18:12:00.0 (14389873)|VARIABLE_ASSIGNMENT|[10]|this.method|"GET"|0x2b636723
18:12:00.0 (14393998)|STATEMENT_EXECUTE|[11]
18:12:00.0 (14395737)|HEAP_ALLOCATE|[11]|Bytes:2
18:12:00.0 (14401232)|VARIABLE_ASSIGNMENT|[11]|this.version|"v1"|0x2b636723
18:12:00.0 (14405216)|STATEMENT_EXECUTE|[12]
18:12:00.0 (14406671)|HEAP_ALLOCATE|[12]|Bytes:9
18:12:00.0 (14411854)|VARIABLE_ASSIGNMENT|[12]|this.MDW_CS_CHANNEL|"x-channel"|0x2b636723
18:12:00.0 (14416140)|STATEMENT_EXECUTE|[13]
18:12:00.0 (14417900)|HEAP_ALLOCATE|[13]|Bytes:10
18:12:00.0 (14423039)|VARIABLE_ASSIGNMENT|[13]|this.MDW_CS_COMMERCE|"x-commerce"|0x2b636723
18:12:00.0 (14426917)|STATEMENT_EXECUTE|[14]
18:12:00.0 (14428679)|HEAP_ALLOCATE|[14]|Bytes:9
18:12:00.0 (14433346)|VARIABLE_ASSIGNMENT|[14]|this.MDW_CS_COUNTRY|"x-country"|0x2b636723
18:12:00.0 (14436376)|STATEMENT_EXECUTE|[15]
18:12:00.0 (14437925)|HEAP_ALLOCATE|[15]|Bytes:9
18:12:00.0 (14442238)|VARIABLE_ASSIGNMENT|[15]|this.API_KEY|"x-api-key"|0x2b636723
18:12:00.0 (14445893)|STATEMENT_EXECUTE|[16]
18:12:00.0 (14447214)|STATEMENT_EXECUTE|[17]
18:12:00.0 (14448803)|HEAP_ALLOCATE|[17]|Bytes:23
18:12:00.0 (14455084)|VARIABLE_ASSIGNMENT|[17]|this.microServicio|"ConsultaSolicitudGes (3 more) ..."|0x2b636723
18:12:00.0 (14459128)|STATEMENT_EXECUTE|[21]
18:12:00.0 (14460770)|HEAP_ALLOCATE|[21]|Bytes:10
18:12:00.0 (14466141)|VARIABLE_ASSIGNMENT|[21]|this.GRANT_TYPE|"grant_type"|0x2b636723
18:12:00.0 (14470460)|STATEMENT_EXECUTE|[22]
18:12:00.0 (14472230)|HEAP_ALLOCATE|[22]|Bytes:8
18:12:00.0 (14491148)|VARIABLE_ASSIGNMENT|[22]|this.PASSWORD|"password"|0x2b636723
18:12:00.0 (14495382)|STATEMENT_EXECUTE|[23]
18:12:00.0 (14497441)|HEAP_ALLOCATE|[23]|Bytes:9
18:12:00.0 (14502490)|VARIABLE_ASSIGNMENT|[23]|this.CLIENT_ID|"client_id"|0x2b636723
