52.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
18:24:01.0 (220183)|USER_INFO|[EXTERNAL]|0051N000008bAK9|contingenciafalabella@falabella.com.mx|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
18:24:01.0 (314073)|EXECUTION_STARTED
18:24:01.0 (344839)|CODE_UNIT_STARTED|[EXTERNAL]|01p3l00000EBsec|BatchUpdateCaseGestorBO
18:24:01.0 (1012130)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
18:24:01.0 (1082669)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
18:24:01.0 (1098678)|METHOD_ENTRY|[11]|01p3l00000EBsec|BatchUpdateCaseGestorBO.BatchUpdateCaseGestorBO()
18:24:01.0 (1108842)|STATEMENT_EXECUTE|[11]
18:24:01.0 (1116342)|STATEMENT_EXECUTE|[11]
18:24:01.0 (1122603)|METHOD_EXIT|[11]|BatchUpdateCaseGestorBO
18:24:01.0 (1128323)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
18:24:01.0 (1132118)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
18:24:01.0 (1153675)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16
18:24:01.0 (1162976)|VARIABLE_SCOPE_BEGIN|[42]|this|BatchUpdateCaseGestorBO|true|false
18:24:01.0 (1253764)|VARIABLE_ASSIGNMENT|[42]|this|{"idQueueFraudesCredito":"00G3l000004HYBREA4","intCallMSAttempts":3,"lstRecordTypesBO":"0x61848321","lstRequestsWithError":"0x4a6c1edf"}|0x3f4cb665
18:24:01.0 (1261617)|VARIABLE_SCOPE_BEGIN|[42]|BC|Database.BatchableContext|true|false
18:24:01.0 (1408081)|VARIABLE_ASSIGNMENT|[42]|BC|{"childJobId":"707RQ00001vVl2YYAS","jobId":"707RQ00001vVb6HYAS"}|0x78519f58
18:24:01.0 (1414247)|VARIABLE_SCOPE_BEGIN|[42]|scope|List<Case>|true|false
18:24:01.0 (1584886)|VARIABLE_ASSIGNMENT|[42]|scope|[{"Solicitud_Repetida__c":false,"Id":"500Qg00000Pq7BvIAJ","Total_a_Condonar__c":0.0,"ID_Solicitud__c":"300009231"},{"Solicitud_Repetida__c":false,"Id":"500Qg00000PqF6HIAV","Total_a_Condonar__c":0.0,"ID_Solicitud__c":"300009230"},{"Solicitud_Repetida__c":false,"Id":"500Qg00000QIQwPIAX","Total_a_Condonar__c":1.0,"ID_Solicitud__c":"306394479"}]|0x58bfdb72
18:24:01.0 (1603997)|STATEMENT_EXECUTE|[42]
18:24:01.0 (1605872)|STATEMENT_EXECUTE|[44]
18:24:01.0 (1617302)|HEAP_ALLOCATE|[44]|Bytes:4
18:24:01.0 (1688049)|VARIABLE_SCOPE_BEGIN|[44]|lstIdSolicitud|List<String>|true|false
18:24:01.0 (1718939)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
18:24:01.0 (1726976)|VARIABLE_ASSIGNMENT|[44]|lstIdSolicitud|[]|0x1de7c6cf
18:24:01.0 (1732196)|STATEMENT_EXECUTE|[46]
18:24:01.0 (5786984)|HEAP_ALLOCATE|[46]|Bytes:4
18:24:01.0 (5844086)|VARIABLE_SCOPE_BEGIN|[46]|mapResponseGestor|Map<String,SolicitudGestorJSON>|true|false
18:24:01.0 (5872286)|VARIABLE_ASSIGNMENT|[46]|mapResponseGestor|{}|0x99947dc
18:24:01.0 (5882061)|STATEMENT_EXECUTE|[47]
18:24:01.0 (5891721)|HEAP_ALLOCATE|[47]|Bytes:4
18:24:01.0 (5899278)|VARIABLE_SCOPE_BEGIN|[47]|mapSolicitudRepetida|Map<String,Boolean>|true|false
18:24:01.0 (5908197)|VARIABLE_ASSIGNMENT|[47]|mapSolicitudRepetida|{}|0x3793f95f
18:24:01.0 (5912361)|STATEMENT_EXECUTE|[49]
18:24:01.0 (6096440)|HEAP_ALLOCATE|[49]|Bytes:4
18:24:01.0 (6187025)|VARIABLE_SCOPE_BEGIN|[49]|lstErrorLog|List<Error_Log__c>|true|false
18:24:01.0 (6202426)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
18:24:01.0 (6213706)|VARIABLE_ASSIGNMENT|[49]|lstErrorLog|[]|0x7328e714
18:24:01.0 (6601403)|HEAP_ALLOCATE|[68]|Bytes:5
18:24:01.0 (6632221)|HEAP_ALLOCATE|[74]|Bytes:5
18:24:01.0 (6643672)|HEAP_ALLOCATE|[82]|Bytes:7
18:24:01.0 (6661256)|HEAP_ALLOCATE|[51]|Bytes:5
18:24:01.0 (6708956)|HEAP_ALLOCATE|[51]|Bytes:20
18:24:01.0 (6718318)|VARIABLE_SCOPE_BEGIN|[51]|caso|Case|true|false
18:24:01.0 (6814560)|VARIABLE_ASSIGNMENT|[51]|caso|{"Solicitud_Repetida__c":false,"Id":"500Qg00000Pq7BvIAJ","Total_a_Condonar__c":0.0,"ID_Solicitud__c":"300009231"}|0x4df10a79
18:24:01.0 (6825185)|STATEMENT_EXECUTE|[51]
18:24:01.0 (6827729)|STATEMENT_EXECUTE|[53]
18:24:01.0 (6936267)|HEAP_ALLOCATE|[53]|Bytes:12
18:24:01.0 (6942385)|HEAP_ALLOCATE|[53]|Bytes:17
18:24:01.0 (6953535)|METHOD_ENTRY|[13]|01p3l00000EBdkA|ActualizarRestanteTicketRiesgoGestor.ActualizarRestanteTicketRiesgoGestor()
18:24:01.0 (7005294)|STATEMENT_EXECUTE|[13]
18:24:01.0 (7011636)|STATEMENT_EXECUTE|[13]
18:24:01.0 (7016607)|METHOD_EXIT|[13]|ActualizarRestanteTicketRiesgoGestor
18:24:01.0 (10552873)|HEAP_ALLOCATE|[53]|Bytes:8
18:24:01.0 (10609807)|CONSTRUCTOR_ENTRY|[53]|01p3l00000EBdkA|<init>()|ActualizarRestanteTicketRiesgoGestor
18:24:01.0 (10654989)|VARIABLE_SCOPE_BEGIN|[17]|this|ActualizarRestanteTicketRiesgoGestor|true|false
18:24:01.0 (10706230)|VARIABLE_ASSIGNMENT|[17]|this|{}|0x6b2ac96e
18:24:01.0 (10716282)|STATEMENT_EXECUTE|[13]
18:24:01.0 (10718019)|STATEMENT_EXECUTE|[15]
18:24:01.0 (11963897)|STATEMENT_EXECUTE|[17]
18:24:01.0 (11967876)|STATEMENT_EXECUTE|[19]
18:24:01.0 (12081922)|HEAP_ALLOCATE|[19]|Bytes:51
18:24:01.0 (12113144)|HEAP_ALLOCATE|[19]|Bytes:51
18:24:01.0 (12121627)|HEAP_ALLOCATE|[19]|Bytes:1
18:24:01.0 (12149612)|HEAP_ALLOCATE|[19]|Bytes:36
18:24:01.0 (12158318)|VARIABLE_SCOPE_BEGIN|[19]|currentClassName|String|false|false
18:24:01.0 (12179037)|VARIABLE_ASSIGNMENT|[19]|currentClassName|"ActualizarRestanteTi (16 more) ..."
18:24:01.0 (12184228)|STATEMENT_EXECUTE|[20]
18:24:01.0 (12194047)|HEAP_ALLOCATE|[20]|Bytes:48
18:24:01.0 (12205288)|HEAP_ALLOCATE|[20]|Bytes:63
