52.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
18:27:01.0 (323670)|USER_INFO|[EXTERNAL]|0051N000008bAK9|contingenciafalabella@falabella.com.mx|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
18:27:01.0 (532597)|EXECUTION_STARTED
18:27:01.0 (566159)|CODE_UNIT_STARTED|[EXTERNAL]|01p3l00000EBsec|BatchUpdateCaseGestorBO
18:27:01.0 (1137340)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
18:27:01.0 (1229334)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
18:27:01.0 (1262592)|METHOD_ENTRY|[11]|01p3l00000EBsec|BatchUpdateCaseGestorBO.BatchUpdateCaseGestorBO()
18:27:01.0 (1280772)|STATEMENT_EXECUTE|[11]
18:27:01.0 (1299530)|STATEMENT_EXECUTE|[11]
18:27:01.0 (1309421)|METHOD_EXIT|[11]|BatchUpdateCaseGestorBO
18:27:01.0 (1316829)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
18:27:01.0 (1320559)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
18:27:01.0 (1345995)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16
18:27:01.0 (1361562)|VARIABLE_SCOPE_BEGIN|[42]|this|BatchUpdateCaseGestorBO|true|false
18:27:01.0 (1466037)|VARIABLE_ASSIGNMENT|[42]|this|{"idQueueFraudesCredito":"00G3l000004HYBREA4","intCallMSAttempts":3,"lstRecordTypesBO":"0x49427a88","lstRequestsWithError":"0x5fcef345"}|0x3f54d898
18:27:01.0 (1473300)|VARIABLE_SCOPE_BEGIN|[42]|BC|Database.BatchableContext|true|false
18:27:01.0 (1644902)|VARIABLE_ASSIGNMENT|[42]|BC|{"childJobId":"707RQ00001vVnKhYAK","jobId":"707RQ00001vVo3RYAS"}|0x85a3729
18:27:01.0 (1651563)|VARIABLE_SCOPE_BEGIN|[42]|scope|List<Case>|true|false
18:27:01.0 (1813215)|VARIABLE_ASSIGNMENT|[42]|scope|[{"Solicitud_Repetida__c":false,"Id":"500Qg00000Pq7BvIAJ","Total_a_Condonar__c":0.0,"ID_Solicitud__c":"300009231"},{"Solicitud_Repetida__c":false,"Id":"500Qg00000PqF6HIAV","Total_a_Condonar__c":0.0,"ID_Solicitud__c":"300009230"},{"Solicitud_Repetida__c":false,"Id":"500Qg00000QIQwPIAX","Total_a_Condonar__c":1.0,"ID_Solicitud__c":"306394479"}]|0x3a82fbcc
18:27:01.0 (1835306)|STATEMENT_EXECUTE|[42]
18:27:01.0 (1837733)|STATEMENT_EXECUTE|[44]
18:27:01.0 (1850548)|HEAP_ALLOCATE|[44]|Bytes:4
18:27:01.0 (2086740)|VARIABLE_SCOPE_BEGIN|[44]|lstIdSolicitud|List<String>|true|false
18:27:01.0 (2152105)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
18:27:01.0 (2165985)|VARIABLE_ASSIGNMENT|[44]|lstIdSolicitud|[]|0x604e402e
18:27:01.0 (2175179)|STATEMENT_EXECUTE|[46]
18:27:01.0 (7305533)|HEAP_ALLOCATE|[46]|Bytes:4
18:27:01.0 (7378595)|VARIABLE_SCOPE_BEGIN|[46]|mapResponseGestor|Map<String,SolicitudGestorJSON>|true|false
18:27:01.0 (7410669)|VARIABLE_ASSIGNMENT|[46]|mapResponseGestor|{}|0x53fd6048
18:27:01.0 (7431362)|STATEMENT_EXECUTE|[47]
18:27:01.0 (7442765)|HEAP_ALLOCATE|[47]|Bytes:4
18:27:01.0 (7450114)|VARIABLE_SCOPE_BEGIN|[47]|mapSolicitudRepetida|Map<String,Boolean>|true|false
18:27:01.0 (7458897)|VARIABLE_ASSIGNMENT|[47]|mapSolicitudRepetida|{}|0x41f35e01
18:27:01.0 (7464144)|STATEMENT_EXECUTE|[49]
18:27:01.0 (7673422)|HEAP_ALLOCATE|[49]|Bytes:4
18:27:01.0 (7767180)|VARIABLE_SCOPE_BEGIN|[49]|lstErrorLog|List<Error_Log__c>|true|false
18:27:01.0 (7807119)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
18:27:01.0 (7820813)|VARIABLE_ASSIGNMENT|[49]|lstErrorLog|[]|0x2a018eb7
18:27:01.0 (8371651)|HEAP_ALLOCATE|[68]|Bytes:5
18:27:01.0 (8410899)|HEAP_ALLOCATE|[74]|Bytes:5
18:27:01.0 (8422292)|HEAP_ALLOCATE|[82]|Bytes:7
18:27:01.0 (8530734)|HEAP_ALLOCATE|[51]|Bytes:5
18:27:01.0 (8591252)|HEAP_ALLOCATE|[51]|Bytes:20
18:27:01.0 (8602487)|VARIABLE_SCOPE_BEGIN|[51]|caso|Case|true|false
18:27:01.0 (8717842)|VARIABLE_ASSIGNMENT|[51]|caso|{"Solicitud_Repetida__c":false,"Id":"500Qg00000Pq7BvIAJ","Total_a_Condonar__c":0.0,"ID_Solicitud__c":"300009231"}|0x79379834
18:27:01.0 (8759144)|STATEMENT_EXECUTE|[51]
18:27:01.0 (8762601)|STATEMENT_EXECUTE|[53]
18:27:01.0 (8955532)|HEAP_ALLOCATE|[53]|Bytes:12
18:27:01.0 (8963737)|HEAP_ALLOCATE|[53]|Bytes:17
18:27:01.0 (9005121)|METHOD_ENTRY|[13]|01p3l00000EBdkA|ActualizarRestanteTicketRiesgoGestor.ActualizarRestanteTicketRiesgoGestor()
18:27:01.0 (9019444)|STATEMENT_EXECUTE|[13]
18:27:01.0 (9029817)|STATEMENT_EXECUTE|[13]
18:27:01.0 (9039791)|METHOD_EXIT|[13]|ActualizarRestanteTicketRiesgoGestor
18:27:01.0 (13414520)|HEAP_ALLOCATE|[53]|Bytes:8
18:27:01.0 (13459438)|CONSTRUCTOR_ENTRY|[53]|01p3l00000EBdkA|<init>()|ActualizarRestanteTicketRiesgoGestor
18:27:01.0 (13506236)|VARIABLE_SCOPE_BEGIN|[17]|this|ActualizarRestanteTicketRiesgoGestor|true|false
18:27:01.0 (13599279)|VARIABLE_ASSIGNMENT|[17]|this|{}|0x6dce8e35
18:27:01.0 (13618038)|STATEMENT_EXECUTE|[13]
18:27:01.0 (13620450)|STATEMENT_EXECUTE|[15]
18:27:01.0 (14679745)|STATEMENT_EXECUTE|[17]
18:27:01.0 (14684268)|STATEMENT_EXECUTE|[19]
18:27:01.0 (14870613)|HEAP_ALLOCATE|[19]|Bytes:51
18:27:01.0 (14901699)|HEAP_ALLOCATE|[19]|Bytes:51
18:27:01.0 (14911203)|HEAP_ALLOCATE|[19]|Bytes:1
18:27:01.0 (14937000)|HEAP_ALLOCATE|[19]|Bytes:36
18:27:01.0 (14944743)|VARIABLE_SCOPE_BEGIN|[19]|currentClassName|String|false|false
18:27:01.0 (14970847)|VARIABLE_ASSIGNMENT|[19]|currentClassName|"ActualizarRestanteTi (16 more) ..."
18:27:01.0 (14977780)|STATEMENT_EXECUTE|[20]
18:27:01.0 (15006872)|HEAP_ALLOCATE|[20]|Bytes:48
18:27:01.0 (15018985)|HEAP_ALLOCATE|[20]|Bytes:63
18:27:01.0 (15069131)|METHOD_ENTRY|[1]|01p3l00000EBdkF|ClienteMicroServiciosGestor.ClienteMicroServiciosGestor()
18:27:01.0 (15078368)|STATEMENT_EXECUTE|[1]
18:27:01.0 (15086363)|STATEMENT_EXECUTE|[1]
18:27:01.0 (15094465)|METHOD_EXIT|[1]|ClienteMicroServiciosGestor
18:27:01.0 (15195085)|HEAP_ALLOCATE|[20]|Bytes:104
18:27:01.0 (15219938)|CONSTRUCTOR_ENTRY|[20]|01p3l00000EBdkF|<init>()|ClienteMicroServiciosGestor
18:27:01.0 (15250189)|VARIABLE_SCOPE_BEGIN|[37]|this|ClienteMicroServiciosGestor|true|false
18:27:01.0 (15318671)|VARIABLE_ASSIGNMENT|[37]|this|{}|0x4d1bbf50
18:27:01.0 (15348948)|STATEMENT_EXECUTE|[1]
18:27:01.0 (15352050)|STATEMENT_EXECUTE|[2]
18:27:01.0 (15355416)|HEAP_ALLOCATE|[2]|Bytes:33
18:27:01.0 (15374435)|VARIABLE_ASSIGNMENT|[2]|this.BASE_URL|"https://cmr-mx-solic (13 more) ..."|0x4d1bbf50
18:27:01.0 (15380200)|STATEMENT_EXECUTE|[3]
18:27:01.0 (15382273)|HEAP_ALLOCATE|[3]|Bytes:10
18:27:01.0 (15390734)|VARIABLE_ASSIGNMENT|[3]|this.URI|".fif.tech/"|0x4d1bbf50
18:27:01.0 (15395645)|STATEMENT_EXECUTE|[6]
18:27:01.0 (15397777)|HEAP_ALLOCATE|[6]|Bytes:16
18:27:01.0 (15404325)|VARIABLE_ASSIGNMENT|[6]|this.APP_JSON|"application/json"|0x4d1bbf50
18:27:01.0 (15409238)|STATEMENT_EXECUTE|[7]
18:27:01.0 (15426371)|HEAP_ALLOCATE|[7]|Bytes:12
18:27:01.0 (15434663)|VARIABLE_ASSIGNMENT|[7]|this.CONT_TYPE|"Content-Type"|0x4d1bbf50
18:27:01.0 (15440118)|STATEMENT_EXECUTE|[8]
18:27:01.0 (15444563)|HEAP_ALLOCATE|[8]|Bytes:4
18:27:01.0 (15452620)|VARIABLE_ASSIGNMENT|[8]|this.TIME_OUT|120000|0x4d1bbf50
18:27:01.0 (15457405)|STATEMENT_EXECUTE|[9]
18:27:01.0 (15459423)|HEAP_ALLOCATE|[9]|Bytes:11
18:27:01.0 (15465814)|VARIABLE_ASSIGNMENT|[9]|this.endpoint|"solicitudes"|0x4d1bbf50
18:27:01.0 (15470311)|STATEMENT_EXECUTE|[10]
18:27:01.0 (15472250)|HEAP_ALLOCATE|[10]|Bytes:3
18:27:01.0 (15478623)|VARIABLE_ASSIGNMENT|[10]|this.method|"GET"|0x4d1bbf50
18:27:01.0 (15483502)|STATEMENT_EXECUTE|[11]
18:27:01.0 (15485153)|HEAP_ALLOCATE|[11]|Bytes:2
18:27:01.0 (15491802)|VARIABLE_ASSIGNMENT|[11]|this.version|"v1"|0x4d1bbf50
18:27:01.0 (15496653)|STATEMENT_EXECUTE|[12]
18:27:01.0 (15498785)|HEAP_ALLOCATE|[12]|Bytes:9
18:27:01.0 (15504882)|VARIABLE_ASSIGNMENT|[12]|this.MDW_CS_CHANNEL|"x-channel"|0x4d1bbf50
18:27:01.0 (15509848)|STATEMENT_EXECUTE|[13]
18:27:01.0 (15511643)|HEAP_ALLOCATE|[13]|Bytes:10
18:27:01.0 (15517687)|VARIABLE_ASSIGNMENT|[13]|this.MDW_CS_COMMERCE|"x-commerce"|0x4d1bbf50
18:27:01.0 (15522190)|STATEMENT_EXECUTE|[14]
18:27:01.0 (15524083)|HEAP_ALLOCATE|[14]|Bytes:9
18:27:01.0 (15529801)|VARIABLE_ASSIGNMENT|[14]|this.MDW_CS_COUNTRY|"x-country"|0x4d1bbf50
18:27:01.0 (15534273)|STATEMENT_EXECUTE|[15]
18:27:01.0 (15536057)|HEAP_ALLOCATE|[15]|Bytes:9
18:27:01.0 (15541845)|VARIABLE_ASSIGNMENT|[15]|this.API_KEY|"x-api-key"|0x4d1bbf50
18:27:01.0 (15546933)|STATEMENT_EXECUTE|[16]
18:27:01.0 (15548919)|STATEMENT_EXECUTE|[17]
18:27:01.0 (15550687)|HEAP_ALLOCATE|[17]|Bytes:23
18:27:01.0 (15558220)|VARIABLE_ASSIGNMENT|[17]|this.microServicio|"ConsultaSolicitudGes (3 more) ..."|0x4d1bbf50
18:27:01.0 (15563098)|STATEMENT_EXECUTE|[21]
18:27:01.0 (15565284)|HEAP_ALLOCATE|[21]|Bytes:10
18:27:01.0 (15571118)|VARIABLE_ASSIGNMENT|[21]|this.GRANT_TYPE|"grant_type"|0x4d1bbf50
18:27:01.0 (15576136)|STATEMENT_EXECUTE|[22]
18:27:01.0 (15577986)|HEAP_ALLOCATE|[22]|Bytes:8
18:27:01.0 (15584476)|VARIABLE_ASSIGNMENT|[22]|this.PASSWORD|"password"|0x4d1bbf50
18:27:01.0 (15588985)|STATEMENT_EXECUTE|[23]
18:27:01.0 (15590868)|HEAP_ALLOCATE|[23]|Bytes:9
18:27:01.0 (15597128)|VARIABLE_ASSIGNMENT|[23]|this.CLIENT_ID|"client_id"|0x4d1bbf50
18:27:01.0 (15601775)|STATEMENT_EXECUTE|[24]
18:27:01.0 (15603515)|HEAP_ALLOCATE|[24]|Bytes:13
18:27:01.0 (15609754)|VARIABLE_ASSIGNMENT|[24]|this.CLIENT_SECRET|"client_secret"|0x4d1bbf50
18:27:01.0 (15614427)|STATEMENT_EXECUTE|[25]
18:27:01.0 (15616617)|HEAP_ALLOCATE|[25]|Bytes:13
18:27:01.0 (15624728)|VARIABLE_ASSIGNMENT|[25]|this.PROVISION_KEY|"provision_key"|0x4d1bbf50
18:27:01.0 (15629523)|STATEMENT_EXECUTE|[26]
18:27:01.0 (15631203)|HEAP_ALLOCATE|[26]|Bytes:20
18:27:01.0 (15637663)|VARIABLE_ASSIGNMENT|[26]|this.AUTHENTICATED_USERID|"authenticated_userid"|0x4d1bbf50
18:27:01.0 (15642356)|STATEMENT_EXECUTE|[27]
18:27:01.0 (15643899)|HEAP_ALLOCATE|[27]|Bytes:12
18:27:01.0 (15649633)|VARIABLE_ASSIGNMENT|[27]|this.AT|"access_token"|0x4d1bbf50
18:27:01.0 (15654481)|STATEMENT_EXECUTE|[30]
18:27:01.0 (15656348)|HEAP_ALLOCATE|[30]|Bytes:13
18:27:01.0 (15662248)|VARIABLE_ASSIGNMENT|[30]|this.AUTH|"Authorization"|0x4d1bbf50
18:27:01.0 (15667066)|STATEMENT_EXECUTE|[31]
18:27:01.0 (15668790)|HEAP_ALLOCATE|[31]|Bytes:6
18:27:01.0 (15674409)|VARIABLE_ASSIGNMENT|[31]|this.BEARER|"Bearer"|0x4d1bbf50
18:27:01.0 (15678973)|STATEMENT_EXECUTE|[32]
18:27:01.0 (15681019)|HEAP_ALLOCATE|[32]|Bytes:12
18:27:01.0 (15687313)|VARIABLE_ASSIGNMENT|[32]|this.OAUTH|"oauth2/token"|0x4d1bbf50
18:27:01.0 (15692209)|STATEMENT_EXECUTE|[35]
18:27:01.0 (15697931)|VARIABLE_ASSIGNMENT|[35]|this.access_token|""|0x4d1bbf50
18:27:01.0 (15721563)|STATEMENT_EXECUTE|[37]
18:27:01.0 (15723619)|STATEMENT_EXECUTE|[38]
18:27:01.0 (15829548)|METHOD_ENTRY|[38]|01p3l00000EBdkF|ClienteMicroServiciosGestor.setMicroServicio(String)
18:27:01.0 (15915203)|VARIABLE_SCOPE_BEGIN|[55]|this|ClienteMicroServiciosGestor|true|false
