52.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
18:33:02.0 (168433)|USER_INFO|[EXTERNAL]|0051N000008bAK9|contingenciafalabella@falabella.com.mx|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
18:33:02.0 (245281)|EXECUTION_STARTED
18:33:02.0 (270472)|CODE_UNIT_STARTED|[EXTERNAL]|01p3l00000EBsec|BatchUpdateCaseGestorBO
18:33:02.0 (899618)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
18:33:02.0 (945034)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
18:33:02.0 (967890)|METHOD_ENTRY|[11]|01p3l00000EBsec|BatchUpdateCaseGestorBO.BatchUpdateCaseGestorBO()
18:33:02.0 (974818)|STATEMENT_EXECUTE|[11]
18:33:02.0 (989850)|STATEMENT_EXECUTE|[11]
18:33:02.0 (1053054)|METHOD_EXIT|[11]|BatchUpdateCaseGestorBO
18:33:02.0 (1062725)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
18:33:02.0 (1065379)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
18:33:02.0 (1083472)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16
18:33:02.0 (1095120)|VARIABLE_SCOPE_BEGIN|[42]|this|BatchUpdateCaseGestorBO|true|false
18:33:02.0 (1166394)|VARIABLE_ASSIGNMENT|[42]|this|{"idQueueFraudesCredito":"00G3l000004HYBREA4","intCallMSAttempts":3,"lstRecordTypesBO":"0x3da9d0ef","lstRequestsWithError":"0x110adb14"}|0x35007fe9
18:33:02.0 (1171012)|VARIABLE_SCOPE_BEGIN|[42]|BC|Database.BatchableContext|true|false
18:33:02.0 (1283216)|VARIABLE_ASSIGNMENT|[42]|BC|{"childJobId":"707RQ00001vVpYJYA0","jobId":"707RQ00001vVuBCYA0"}|0x55b7719a
18:33:02.0 (1287471)|VARIABLE_SCOPE_BEGIN|[42]|scope|List<Case>|true|false
