52.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
18:36:01.0 (198953)|USER_INFO|[EXTERNAL]|0051N000008bAK9|contingenciafalabella@falabella.com.mx|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
18:36:01.0 (275665)|EXECUTION_STARTED
18:36:01.0 (299825)|CODE_UNIT_STARTED|[EXTERNAL]|01p3l00000EBsec|BatchUpdateCaseGestorBO
18:36:01.0 (667702)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
18:36:01.0 (717295)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
18:36:01.0 (771773)|METHOD_ENTRY|[11]|01p3l00000EBsec|BatchUpdateCaseGestorBO.BatchUpdateCaseGestorBO()
18:36:01.0 (785715)|STATEMENT_EXECUTE|[11]
18:36:01.0 (800518)|STATEMENT_EXECUTE|[11]
18:36:01.0 (808575)|METHOD_EXIT|[11]|BatchUpdateCaseGestorBO
18:36:01.0 (812838)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
18:36:01.0 (819076)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
18:36:01.0 (836573)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16
18:36:01.0 (847882)|VARIABLE_SCOPE_BEGIN|[42]|this|BatchUpdateCaseGestorBO|true|false
18:36:01.0 (926648)|VARIABLE_ASSIGNMENT|[42]|this|{"idQueueFraudesCredito":"00G3l000004HYBREA4","intCallMSAttempts":3,"lstRecordTypesBO":"0x356c7a7","lstRequestsWithError":"0x70a0194"}|0xfcc3797
18:36:01.0 (930892)|VARIABLE_SCOPE_BEGIN|[42]|BC|Database.BatchableContext|true|false
18:36:01.0 (1050783)|VARIABLE_ASSIGNMENT|[42]|BC|{"childJobId":"707RQ00001vVqcZYAS","jobId":"707RQ00001vVkRKYA0"}|0x5460190a
18:36:01.0 (1055730)|VARIABLE_SCOPE_BEGIN|[42]|scope|List<Case>|true|false
18:36:01.0 (1198548)|VARIABLE_ASSIGNMENT|[42]|scope|[{"Solicitud_Repetida__c":false,"Id":"500Qg00000Pq7BvIAJ","Total_a_Condonar__c":0.0,"ID_Solicitud__c":"300009231"},{"Solicitud_Repetida__c":false,"Id":"500Qg00000PqF6HIAV","Total_a_Condonar__c":0.0,"ID_Solicitud__c":"300009230"},{"Solicitud_Repetida__c":false,"Id":"500Qg00000QIQwPIAX","Total_a_Condonar__c":1.0,"ID_Solicitud__c":"306394479"}]|0x33666668
18:36:01.0 (1217117)|STATEMENT_EXECUTE|[42]
18:36:01.0 (1218776)|STATEMENT_EXECUTE|[44]
18:36:01.0 (1228250)|HEAP_ALLOCATE|[44]|Bytes:4
18:36:01.0 (1294334)|VARIABLE_SCOPE_BEGIN|[44]|lstIdSolicitud|List<String>|true|false
18:36:01.0 (1314912)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
18:36:01.0 (1319794)|VARIABLE_ASSIGNMENT|[44]|lstIdSolicitud|[]|0x6b8e45c
18:36:01.0 (1323393)|STATEMENT_EXECUTE|[46]
18:36:01.0 (1417660)|HEAP_ALLOCATE|[46]|Bytes:4
18:36:01.0 (1447464)|VARIABLE_SCOPE_BEGIN|[46]|mapResponseGestor|Map<String,SolicitudGestorJSON>|true|false
18:36:01.0 (1458558)|VARIABLE_ASSIGNMENT|[46]|mapResponseGestor|{}|0x51e943be
18:36:01.0 (1462561)|STATEMENT_EXECUTE|[47]
18:36:01.0 (1468982)|HEAP_ALLOCATE|[47]|Bytes:4
18:36:01.0 (1473136)|VARIABLE_SCOPE_BEGIN|[47]|mapSolicitudRepetida|Map<String,Boolean>|true|false
18:36:01.0 (1477768)|VARIABLE_ASSIGNMENT|[47]|mapSolicitudRepetida|{}|0x3ff7b69b
18:36:01.0 (1480890)|STATEMENT_EXECUTE|[49]
18:36:01.0 (1606046)|HEAP_ALLOCATE|[49]|Bytes:4
18:36:01.0 (1648894)|VARIABLE_SCOPE_BEGIN|[49]|lstErrorLog|List<Error_Log__c>|true|false
18:36:01.0 (1654028)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
18:36:01.0 (1658988)|VARIABLE_ASSIGNMENT|[49]|lstErrorLog|[]|0x3f22c22b
18:36:01.0 (2066197)|HEAP_ALLOCATE|[68]|Bytes:5
18:36:01.0 (2094605)|HEAP_ALLOCATE|[74]|Bytes:5
18:36:01.0 (2101748)|HEAP_ALLOCATE|[82]|Bytes:7
18:36:01.0 (2122881)|HEAP_ALLOCATE|[51]|Bytes:5
18:36:01.0 (2160304)|HEAP_ALLOCATE|[51]|Bytes:20
18:36:01.0 (2166735)|VARIABLE_SCOPE_BEGIN|[51]|caso|Case|true|false
18:36:01.0 (2228881)|VARIABLE_ASSIGNMENT|[51]|caso|{"Solicitud_Repetida__c":false,"Id":"500Qg00000Pq7BvIAJ","Total_a_Condonar__c":0.0,"ID_Solicitud__c":"300009231"}|0x4ecd9749
18:36:01.0 (2240273)|STATEMENT_EXECUTE|[51]
18:36:01.0 (2242000)|STATEMENT_EXECUTE|[53]
18:36:01.0 (2314273)|HEAP_ALLOCATE|[53]|Bytes:12
18:36:01.0 (2318890)|HEAP_ALLOCATE|[53]|Bytes:17
18:36:01.0 (2337860)|METHOD_ENTRY|[13]|01p3l00000EBdkA|ActualizarRestanteTicketRiesgoGestor.ActualizarRestanteTicketRiesgoGestor()
18:36:01.0 (2346380)|STATEMENT_EXECUTE|[13]
18:36:01.0 (2352425)|STATEMENT_EXECUTE|[13]
18:36:01.0 (2358912)|METHOD_EXIT|[13]|ActualizarRestanteTicketRiesgoGestor
18:36:01.0 (2364633)|HEAP_ALLOCATE|[53]|Bytes:8
18:36:01.0 (2375538)|CONSTRUCTOR_ENTRY|[53]|01p3l00000EBdkA|<init>()|ActualizarRestanteTicketRiesgoGestor
18:36:01.0 (2398265)|VARIABLE_SCOPE_BEGIN|[17]|this|ActualizarRestanteTicketRiesgoGestor|true|false
18:36:01.0 (2427605)|VARIABLE_ASSIGNMENT|[17]|this|{}|0x7a5c48f4
18:36:01.0 (2434380)|STATEMENT_EXECUTE|[13]
18:36:01.0 (2436331)|STATEMENT_EXECUTE|[15]
18:36:01.0 (3286564)|STATEMENT_EXECUTE|[17]
18:36:01.0 (3289322)|STATEMENT_EXECUTE|[19]
18:36:01.0 (3366571)|HEAP_ALLOCATE|[19]|Bytes:51
18:36:01.0 (3382585)|HEAP_ALLOCATE|[19]|Bytes:51
18:36:01.0 (3387835)|HEAP_ALLOCATE|[19]|Bytes:1
18:36:01.0 (3405222)|HEAP_ALLOCATE|[19]|Bytes:36
18:36:01.0 (3409868)|VARIABLE_SCOPE_BEGIN|[19]|currentClassName|String|false|false
18:36:01.0 (3422000)|VARIABLE_ASSIGNMENT|[19]|currentClassName|"ActualizarRestanteTi (16 more) ..."
18:36:01.0 (3425132)|STATEMENT_EXECUTE|[20]
18:36:01.0 (3493781)|HEAP_ALLOCATE|[20]|Bytes:48
18:36:01.0 (3497930)|HEAP_ALLOCATE|[20]|Bytes:63
18:36:01.0 (3512651)|METHOD_ENTRY|[1]|01p3l00000EBdkF|ClienteMicroServiciosGestor.ClienteMicroServiciosGestor()
18:36:01.0 (3518395)|STATEMENT_EXECUTE|[1]
18:36:01.0 (3522230)|STATEMENT_EXECUTE|[1]
18:36:01.0 (3526539)|METHOD_EXIT|[1]|ClienteMicroServiciosGestor
18:36:01.0 (3532336)|HEAP_ALLOCATE|[20]|Bytes:104
18:36:01.0 (3542930)|CONSTRUCTOR_ENTRY|[20]|01p3l00000EBdkF|<init>()|ClienteMicroServiciosGestor
18:36:01.0 (3554823)|VARIABLE_SCOPE_BEGIN|[37]|this|ClienteMicroServiciosGestor|true|false
18:36:01.0 (3580240)|VARIABLE_ASSIGNMENT|[37]|this|{}|0x534926b4
18:36:01.0 (3584891)|STATEMENT_EXECUTE|[1]
18:36:01.0 (3586304)|STATEMENT_EXECUTE|[2]
18:36:01.0 (3588179)|HEAP_ALLOCATE|[2]|Bytes:33
18:36:01.0 (3598905)|VARIABLE_ASSIGNMENT|[2]|this.BASE_URL|"https://cmr-mx-solic (13 more) ..."|0x534926b4
18:36:01.0 (3602151)|STATEMENT_EXECUTE|[3]
18:36:01.0 (3603914)|HEAP_ALLOCATE|[3]|Bytes:10
18:36:01.0 (3608201)|VARIABLE_ASSIGNMENT|[3]|this.URI|".fif.tech/"|0x534926b4
18:36:01.0 (3611450)|STATEMENT_EXECUTE|[6]
18:36:01.0 (3612886)|HEAP_ALLOCATE|[6]|Bytes:16
18:36:01.0 (3616301)|VARIABLE_ASSIGNMENT|[6]|this.APP_JSON|"application/json"|0x534926b4
18:36:01.0 (3619179)|STATEMENT_EXECUTE|[7]
18:36:01.0 (3620336)|HEAP_ALLOCATE|[7]|Bytes:12
18:36:01.0 (3623817)|VARIABLE_ASSIGNMENT|[7]|this.CONT_TYPE|"Content-Type"|0x534926b4
18:36:01.0 (3626499)|STATEMENT_EXECUTE|[8]
18:36:01.0 (3629171)|HEAP_ALLOCATE|[8]|Bytes:4
18:36:01.0 (3634164)|VARIABLE_ASSIGNMENT|[8]|this.TIME_OUT|120000|0x534926b4
18:36:01.0 (3637236)|STATEMENT_EXECUTE|[9]
18:36:01.0 (3638486)|HEAP_ALLOCATE|[9]|Bytes:11
18:36:01.0 (3642061)|VARIABLE_ASSIGNMENT|[9]|this.endpoint|"solicitudes"|0x534926b4
18:36:01.0 (3644804)|STATEMENT_EXECUTE|[10]
18:36:01.0 (3646026)|HEAP_ALLOCATE|[10]|Bytes:3
18:36:01.0 (3649556)|VARIABLE_ASSIGNMENT|[10]|this.method|"GET"|0x534926b4
18:36:01.0 (3652599)|STATEMENT_EXECUTE|[11]
18:36:01.0 (3653721)|HEAP_ALLOCATE|[11]|Bytes:2
18:36:01.0 (3657339)|VARIABLE_ASSIGNMENT|[11]|this.version|"v1"|0x534926b4
18:36:01.0 (3660043)|STATEMENT_EXECUTE|[12]
18:36:01.0 (3661617)|HEAP_ALLOCATE|[12]|Bytes:9
18:36:01.0 (3664958)|VARIABLE_ASSIGNMENT|[12]|this.MDW_CS_CHANNEL|"x-channel"|0x534926b4
18:36:01.0 (3672316)|STATEMENT_EXECUTE|[13]
18:36:01.0 (3673821)|HEAP_ALLOCATE|[13]|Bytes:10
18:36:01.0 (3677232)|VARIABLE_ASSIGNMENT|[13]|this.MDW_CS_COMMERCE|"x-commerce"|0x534926b4
18:36:01.0 (3680131)|STATEMENT_EXECUTE|[14]
