52.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
10:18:01.0 (257451)|USER_INFO|[EXTERNAL]|0051N000008bAK9|contingenciafalabella@falabella.com.mx|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
10:18:01.0 (366024)|EXECUTION_STARTED
10:18:01.0 (385521)|CODE_UNIT_STARTED|[EXTERNAL]|01p3l00000EBsec|BatchUpdateCaseGestorBO
10:18:01.0 (1059638)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
10:18:01.0 (1127411)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
10:18:01.0 (1148408)|METHOD_ENTRY|[11]|01p3l00000EBsec|BatchUpdateCaseGestorBO.BatchUpdateCaseGestorBO()
10:18:01.0 (1162084)|STATEMENT_EXECUTE|[11]
10:18:01.0 (1185199)|STATEMENT_EXECUTE|[11]
10:18:01.0 (1195528)|METHOD_EXIT|[11]|BatchUpdateCaseGestorBO
10:18:01.0 (1204173)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
10:18:01.0 (1208291)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
10:18:01.0 (1240789)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16
10:18:01.0 (1259345)|VARIABLE_SCOPE_BEGIN|[42]|this|BatchUpdateCaseGestorBO|true|false
10:18:01.0 (1426387)|VARIABLE_ASSIGNMENT|[42]|this|{"idQueueFraudesCredito":"00G3l000004HYBREA4","intCallMSAttempts":3,"lstRecordTypesBO":"0x48fd8fb9","lstRequestsWithError":"0xdd8931a"}|0x690299b4
10:18:01.0 (1437769)|VARIABLE_SCOPE_BEGIN|[42]|BC|Database.BatchableContext|true|false
10:18:01.0 (1671770)|VARIABLE_ASSIGNMENT|[42]|BC|{"childJobId":"707RQ00002CSJUQYA5","jobId":"707RQ00002CRoYcYAL"}|0xab5fe78
10:18:01.0 (1681251)|VARIABLE_SCOPE_BEGIN|[42]|scope|List<Case>|true|false
10:18:01.0 (1900457)|VARIABLE_ASSIGNMENT|[42]|scope|[{"Solicitud_Repetida__c":false,"Id":"500Qg00000Pq7BvIAJ","Total_a_Condonar__c":0.0,"ID_Solicitud__c":"300009231"},{"Solicitud_Repetida__c":false,"Id":"500Qg00000PqF6HIAV","Total_a_Condonar__c":0.0,"ID_Solicitud__c":"300009230"},{"Solicitud_Repetida__c":false,"Id":"500Qg00000QIQwPIAX","Total_a_Condonar__c":1.0,"ID_Solicitud__c":"306394479"}]|0x24477374
10:18:01.0 (1932816)|STATEMENT_EXECUTE|[42]
10:18:01.0 (1935412)|STATEMENT_EXECUTE|[44]
10:18:01.0 (1956276)|HEAP_ALLOCATE|[44]|Bytes:4
10:18:01.0 (2054001)|VARIABLE_SCOPE_BEGIN|[44]|lstIdSolicitud|List<String>|true|false
10:18:01.0 (2094669)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
10:18:01.0 (2108477)|VARIABLE_ASSIGNMENT|[44]|lstIdSolicitud|[]|0x63b002
10:18:01.0 (2112729)|STATEMENT_EXECUTE|[46]
10:18:01.0 (5967271)|HEAP_ALLOCATE|[46]|Bytes:4
10:18:01.0 (6047236)|VARIABLE_SCOPE_BEGIN|[46]|mapResponseGestor|Map<String,SolicitudGestorJSON>|true|false
10:18:01.0 (6113170)|VARIABLE_ASSIGNMENT|[46]|mapResponseGestor|{}|0x7b28c1da
10:18:01.0 (6129190)|STATEMENT_EXECUTE|[47]
10:18:01.0 (6143392)|HEAP_ALLOCATE|[47]|Bytes:4
10:18:01.0 (6154275)|VARIABLE_SCOPE_BEGIN|[47]|mapSolicitudRepetida|Map<String,Boolean>|true|false
10:18:01.0 (6168348)|VARIABLE_ASSIGNMENT|[47]|mapSolicitudRepetida|{}|0x32822724
10:18:01.0 (6172650)|STATEMENT_EXECUTE|[49]
10:18:01.0 (6386620)|HEAP_ALLOCATE|[49]|Bytes:4
10:18:01.0 (6474285)|VARIABLE_SCOPE_BEGIN|[49]|lstErrorLog|List<Error_Log__c>|true|false
10:18:01.0 (6483881)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
10:18:01.0 (6499410)|VARIABLE_ASSIGNMENT|[49]|lstErrorLog|[]|0x27e06fb6
10:18:01.0 (6983679)|HEAP_ALLOCATE|[68]|Bytes:5
10:18:01.0 (7031329)|HEAP_ALLOCATE|[74]|Bytes:5
10:18:01.0 (7044071)|HEAP_ALLOCATE|[82]|Bytes:7
10:18:01.0 (7066758)|HEAP_ALLOCATE|[51]|Bytes:5
10:18:01.0 (7122133)|HEAP_ALLOCATE|[51]|Bytes:20
10:18:01.0 (7134789)|VARIABLE_SCOPE_BEGIN|[51]|caso|Case|true|false
10:18:01.0 (7250563)|VARIABLE_ASSIGNMENT|[51]|caso|{"Solicitud_Repetida__c":false,"Id":"500Qg00000Pq7BvIAJ","Total_a_Condonar__c":0.0,"ID_Solicitud__c":"300009231"}|0x13c9f8b0
10:18:01.0 (7261475)|STATEMENT_EXECUTE|[51]
10:18:01.0 (7264129)|STATEMENT_EXECUTE|[53]
10:18:01.0 (8169684)|HEAP_ALLOCATE|[53]|Bytes:12
10:18:01.0 (8191409)|HEAP_ALLOCATE|[53]|Bytes:17
10:18:01.0 (8208277)|METHOD_ENTRY|[13]|01p3l00000EBdkA|ActualizarRestanteTicketRiesgoGestor.ActualizarRestanteTicketRiesgoGestor()
10:18:01.0 (8221099)|STATEMENT_EXECUTE|[13]
10:18:01.0 (8229994)|STATEMENT_EXECUTE|[13]
10:18:01.0 (8237375)|METHOD_EXIT|[13]|ActualizarRestanteTicketRiesgoGestor
10:18:01.0 (11817609)|HEAP_ALLOCATE|[53]|Bytes:8
10:18:01.0 (11877029)|CONSTRUCTOR_ENTRY|[53]|01p3l00000EBdkA|<init>()|ActualizarRestanteTicketRiesgoGestor
10:18:01.0 (11930787)|VARIABLE_SCOPE_BEGIN|[17]|this|ActualizarRestanteTicketRiesgoGestor|true|false
10:18:01.0 (12010486)|VARIABLE_ASSIGNMENT|[17]|this|{}|0x4f2650eb
10:18:01.0 (12023548)|STATEMENT_EXECUTE|[13]
10:18:01.0 (12025119)|STATEMENT_EXECUTE|[15]
10:18:01.0 (13129240)|STATEMENT_EXECUTE|[17]
10:18:01.0 (13133643)|STATEMENT_EXECUTE|[19]
10:18:01.0 (13260500)|HEAP_ALLOCATE|[19]|Bytes:51
10:18:01.0 (13292755)|HEAP_ALLOCATE|[19]|Bytes:51
10:18:01.0 (13298505)|HEAP_ALLOCATE|[19]|Bytes:1
10:18:01.0 (13319544)|HEAP_ALLOCATE|[19]|Bytes:36
10:18:01.0 (13328596)|VARIABLE_SCOPE_BEGIN|[19]|currentClassName|String|false|false
10:18:01.0 (13363656)|VARIABLE_ASSIGNMENT|[19]|currentClassName|"ActualizarRestanteTi (16 more) ..."
10:18:01.0 (13368113)|STATEMENT_EXECUTE|[20]
10:18:01.0 (13378276)|HEAP_ALLOCATE|[20]|Bytes:48
10:18:01.0 (13386729)|HEAP_ALLOCATE|[20]|Bytes:63
10:18:01.0 (13411414)|METHOD_ENTRY|[1]|01p3l00000EBdkF|ClienteMicroServiciosGestor.ClienteMicroServiciosGestor()
10:18:01.0 (13415106)|STATEMENT_EXECUTE|[1]
10:18:01.0 (13419292)|STATEMENT_EXECUTE|[1]
10:18:01.0 (13423504)|METHOD_EXIT|[1]|ClienteMicroServiciosGestor
