52.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
10:15:09.0 (299927)|USER_INFO|[EXTERNAL]|0051N000008bAK9|contingenciafalabella@falabella.com.mx|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
10:15:09.0 (392084)|EXECUTION_STARTED
10:15:09.0 (420137)|CODE_UNIT_STARTED|[EXTERNAL]|01p3l00000EBsec|BatchUpdateCaseGestorBO
10:15:09.0 (1726666)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
10:15:09.0 (1792832)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
10:15:09.0 (1822843)|METHOD_ENTRY|[11]|01p3l00000EBsec|BatchUpdateCaseGestorBO.BatchUpdateCaseGestorBO()
10:15:09.0 (1870697)|STATEMENT_EXECUTE|[11]
10:15:09.0 (1897901)|STATEMENT_EXECUTE|[11]
10:15:09.0 (1905775)|METHOD_EXIT|[11]|BatchUpdateCaseGestorBO
10:15:09.0 (1911784)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
10:15:09.0 (1914583)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
10:15:09.0 (1933722)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16
10:15:09.0 (1941313)|VARIABLE_SCOPE_BEGIN|[42]|this|BatchUpdateCaseGestorBO|true|false
10:15:09.0 (2034838)|VARIABLE_ASSIGNMENT|[42]|this|{"idQueueFraudesCredito":"00G3l000004HYBREA4","intCallMSAttempts":3,"lstRecordTypesBO":"0x1ff6f29f","lstRequestsWithError":"0x45b15399"}|0x2fe7afe
10:15:09.0 (2039956)|VARIABLE_SCOPE_BEGIN|[42]|BC|Database.BatchableContext|true|false
10:15:09.0 (2189250)|VARIABLE_ASSIGNMENT|[42]|BC|{"childJobId":"707RQ00002CRcDlYAL","jobId":"707RQ00002CRz8RYAT"}|0x3d893174
10:15:09.0 (2193870)|VARIABLE_SCOPE_BEGIN|[42]|scope|List<Case>|true|false
10:15:09.0 (2320257)|VARIABLE_ASSIGNMENT|[42]|scope|[{"Solicitud_Repetida__c":false,"Id":"500Qg00000Pq7BvIAJ","Total_a_Condonar__c":0.0,"ID_Solicitud__c":"300009231"},{"Solicitud_Repetida__c":false,"Id":"500Qg00000PqF6HIAV","Total_a_Condonar__c":0.0,"ID_Solicitud__c":"300009230"},{"Solicitud_Repetida__c":false,"Id":"500Qg00000QIQwPIAX","Total_a_Condonar__c":1.0,"ID_Solicitud__c":"306394479"}]|0x52573de3
10:15:09.0 (2351737)|STATEMENT_EXECUTE|[42]
10:15:09.0 (2355124)|STATEMENT_EXECUTE|[44]
10:15:09.0 (2365969)|HEAP_ALLOCATE|[44]|Bytes:4
10:15:09.0 (2503874)|VARIABLE_SCOPE_BEGIN|[44]|lstIdSolicitud|List<String>|true|false
10:15:09.0 (2526994)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
10:15:09.0 (2534063)|VARIABLE_ASSIGNMENT|[44]|lstIdSolicitud|[]|0x7a9d4f3c
10:15:09.0 (2541174)|STATEMENT_EXECUTE|[46]
10:15:09.0 (7604848)|HEAP_ALLOCATE|[46]|Bytes:4
