56.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
14:30:00.0 (191145)|USER_INFO|[EXTERNAL]|0051N000005gvau|etrevinofalabella@izeicg.com.uat|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
14:30:00.0 (238450)|EXECUTION_STARTED
14:30:00.0 (248926)|CODE_UNIT_STARTED|[EXTERNAL]|01pDK00000AKh3n|BatchUpdateCasesEmboce
14:30:00.0 (1005717)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
14:30:00.0 (1057152)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
14:30:00.0 (1070303)|METHOD_ENTRY|[11]|01pDK00000AKh3n|BatchUpdateCasesEmboce.BatchUpdateCasesEmboce()
14:30:00.0 (1075837)|STATEMENT_EXECUTE|[11]
14:30:00.0 (1083825)|STATEMENT_EXECUTE|[11]
14:30:00.0 (1089699)|METHOD_EXIT|[11]|BatchUpdateCasesEmboce
14:30:00.0 (1095358)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:24
14:30:00.0 (1097901)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
14:30:00.0 (1116750)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:32
14:30:00.0 (1127275)|VARIABLE_SCOPE_BEGIN|[52]|this|BatchUpdateCasesEmboce|true|false
14:30:00.0 (1207069)|VARIABLE_ASSIGNMENT|[52]|this|{"estatus":"CONFIRMADO","lstReturns":"0x75c57818","lstStatusCanceledCases":"0x35f6c8d0","lstStatusClosedCases":"0xf9380c0","mapErrors":"0x1621510e"}|0x5a5f9e77
14:30:00.0 (1211683)|VARIABLE_SCOPE_BEGIN|[52]|BC|Database.BatchableContext|true|false
14:30:00.0 (1356477)|VARIABLE_ASSIGNMENT|[52]|BC|{"childJobId":"707Rt00001r8YtvIAE","jobId":"707Rt00001r8kWjIAI"}|0x522b3267
14:30:00.0 (1363165)|VARIABLE_SCOPE_BEGIN|[52]|scope|List<Case>|true|false
14:30:00.0 (1377896)|VARIABLE_ASSIGNMENT|[52]|scope|"List of size 7 too large to display"|0x1b322806
14:30:00.0 (1392440)|STATEMENT_EXECUTE|[52]
14:30:00.0 (1394333)|STATEMENT_EXECUTE|[54]
14:30:00.0 (1410634)|HEAP_ALLOCATE|[54]|Bytes:4
14:30:00.0 (1426201)|VARIABLE_SCOPE_BEGIN|[54]|mapCaseIdWayBill|Map<String,String>|true|false
14:30:00.0 (1441307)|VARIABLE_ASSIGNMENT|[54]|mapCaseIdWayBill|{}|0x49cde081
14:30:00.0 (1444497)|STATEMENT_EXECUTE|[55]
14:30:00.0 (1447022)|HEAP_ALLOCATE|[55]|Bytes:4
14:30:00.0 (1449537)|VARIABLE_SCOPE_BEGIN|[55]|mapWayBillStatusSPA|Map<String,String>|true|false
14:30:00.0 (1454243)|VARIABLE_ASSIGNMENT|[55]|mapWayBillStatusSPA|{}|0xd3650da
14:30:00.0 (1457145)|STATEMENT_EXECUTE|[57]
14:30:00.0 (1459256)|HEAP_ALLOCATE|[57]|Bytes:4
14:30:00.0 (1461768)|VARIABLE_SCOPE_BEGIN|[57]|mapWayBillReceiverName|Map<String,String>|true|false
14:30:00.0 (1466121)|VARIABLE_ASSIGNMENT|[57]|mapWayBillReceiverName|{}|0x2bbcdb2d
14:30:00.0 (1882086)|HEAP_ALLOCATE|[68]|Bytes:5
14:30:00.0 (1912056)|HEAP_ALLOCATE|[74]|Bytes:5
14:30:00.0 (1921434)|HEAP_ALLOCATE|[82]|Bytes:7
14:30:00.0 (1941300)|HEAP_ALLOCATE|[59]|Bytes:5
14:30:00.0 (1993205)|HEAP_ALLOCATE|[59]|Bytes:20
14:30:00.0 (2005815)|VARIABLE_SCOPE_BEGIN|[59]|caseEmboce|Case|true|false
14:30:00.0 (2119293)|VARIABLE_ASSIGNMENT|[59]|caseEmboce|{"Status":"Asignada","Num_Folio_a_Consultar__c":"80559033806117086383 (2 more) ...","Id":"500DK000008REIZYA4","Estatus_final_de_tarjeta__c":"EN_TRANSITO"}|0x716e8c41
14:30:00.0 (2125601)|STATEMENT_EXECUTE|[59]
14:30:00.0 (2202463)|STATEMENT_EXECUTE|[61]
14:30:00.0 (2203835)|STATEMENT_EXECUTE|[63]
14:30:00.0 (2274984)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
14:30:00.0 (2288757)|HEAP_ALLOCATE|[59]|Bytes:5
14:30:00.0 (2296474)|HEAP_ALLOCATE|[59]|Bytes:20
14:30:00.0 (2300168)|VARIABLE_SCOPE_BEGIN|[59]|caseEmboce|Case|true|false
14:30:00.0 (2329620)|VARIABLE_ASSIGNMENT|[59]|caseEmboce|{"Status":"Asignada","Num_Folio_a_Consultar__c":"20559033806117086366 (2 more) ...","Id":"500DK000008REr7YAG","Estatus_final_de_tarjeta__c":"EN_TRANSITO"}|0x37a2c5c9
14:30:00.0 (2333875)|STATEMENT_EXECUTE|[59]
14:30:00.0 (2345020)|STATEMENT_EXECUTE|[61]
14:30:00.0 (2346102)|STATEMENT_EXECUTE|[63]
14:30:00.0 (2353723)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
14:30:00.0 (2359784)|HEAP_ALLOCATE|[59]|Bytes:5
14:30:00.0 (2364305)|HEAP_ALLOCATE|[59]|Bytes:20
14:30:00.0 (2366970)|VARIABLE_SCOPE_BEGIN|[59]|caseEmboce|Case|true|false
14:30:00.0 (2384680)|VARIABLE_ASSIGNMENT|[59]|caseEmboce|{"Status":"Asignada","Num_Folio_a_Consultar__c":"90559033806117086377 (2 more) ...","Id":"500DK000008RErCYAW","Estatus_final_de_tarjeta__c":"EN_TRANSITO"}|0x21392eed
14:30:00.0 (2388431)|STATEMENT_EXECUTE|[59]
14:30:00.0 (2396349)|STATEMENT_EXECUTE|[61]
14:30:00.0 (2397251)|STATEMENT_EXECUTE|[63]
