52.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
14:30:03.0 (173653)|USER_INFO|[EXTERNAL]|0051N000005gvau|etrevinofalabella@izeicg.com.uat|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
14:30:03.0 (222294)|EXECUTION_STARTED
14:30:03.0 (231740)|CODE_UNIT_STARTED|[EXTERNAL]|01p0v000003h7p3|BatchUpdateCaseGestorBO
14:30:03.0 (1141205)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
14:30:03.0 (1303402)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
14:30:03.0 (1327328)|METHOD_ENTRY|[11]|01p0v000003h7p3|BatchUpdateCaseGestorBO.BatchUpdateCaseGestorBO()
14:30:03.0 (1334463)|STATEMENT_EXECUTE|[11]
14:30:03.0 (1345655)|STATEMENT_EXECUTE|[11]
14:30:03.0 (1353211)|METHOD_EXIT|[11]|BatchUpdateCaseGestorBO
14:30:03.0 (1358111)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
14:30:03.0 (1362162)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
14:30:03.0 (1384140)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:24
14:30:03.0 (1392519)|VARIABLE_SCOPE_BEGIN|[42]|this|BatchUpdateCaseGestorBO|true|false
14:30:03.0 (1488380)|VARIABLE_ASSIGNMENT|[42]|this|{"idQueueFraudesCredito":"00G0v000002erN3EAI","intCallMSAttempts":3,"lstRecordTypesBO":"0x4bd9d77a","lstRequestsWithError":"0x4b5a8f3b"}|0x53cef16
14:30:03.0 (1494507)|VARIABLE_SCOPE_BEGIN|[42]|BC|Database.BatchableContext|true|false
