66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
14:50:37.0 (132503)|USER_INFO|[EXTERNAL]|0051N000005gvau|etrevinofalabella@izeicg.com.uat|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
14:50:37.0 (169059)|EXECUTION_STARTED
14:50:37.0 (178807)|CODE_UNIT_STARTED|[EXTERNAL]|apex://MicroServicioCustomerData/ACTION$consulta_Customer_Data
14:50:37.0 (1010763)|CODE_UNIT_STARTED|[EXTERNAL]|01p0v000003GxUV|MicroServicioCustomerData.consulta_Customer_Data(String)
14:50:37.0 (1176652)|HEAP_ALLOCATE|[95]|Bytes:3
14:50:37.0 (1247182)|HEAP_ALLOCATE|[100]|Bytes:152
14:50:37.0 (1262902)|HEAP_ALLOCATE|[417]|Bytes:408
14:50:37.0 (1273954)|HEAP_ALLOCATE|[430]|Bytes:408
14:50:37.0 (1292942)|HEAP_ALLOCATE|[317]|Bytes:6
14:50:37.0 (1312102)|VARIABLE_SCOPE_BEGIN|[20]|MicroServicioCustomerData.GETDATA|String|false|true
14:50:37.0 (1316058)|VARIABLE_SCOPE_BEGIN|[18]|MicroServicioCustomerData.POST|String|false|true
14:50:37.0 (1353937)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
14:50:37.0 (1357249)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
14:50:37.0 (1359220)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:15
14:50:37.0 (1393126)|VARIABLE_ASSIGNMENT|[EXTERNAL]|MicroServicioCustomerData.GETDATA|"client/get/data"
14:50:37.0 (1395693)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:50:37.0 (1399337)|VARIABLE_ASSIGNMENT|[EXTERNAL]|MicroServicioCustomerData.POST|"POST"
14:50:37.0 (1406980)|METHOD_ENTRY|[14]|01p0v000003GxUV|MicroServicioCustomerData.MicroServicioCustomerData()
14:50:37.0 (1411949)|STATEMENT_EXECUTE|[14]
14:50:37.0 (1417386)|STATEMENT_EXECUTE|[14]
14:50:37.0 (1420469)|METHOD_EXIT|[14]|MicroServicioCustomerData
14:50:37.0 (1423909)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:18
14:50:37.0 (1429376)|VARIABLE_SCOPE_BEGIN|[67]|numeroDocumento|String|false|false
14:50:37.0 (1436768)|VARIABLE_ASSIGNMENT|[67]|numeroDocumento|"FERM900101MASRDI09"
14:50:37.0 (1442954)|STATEMENT_EXECUTE|[67]
14:50:37.0 (1444001)|STATEMENT_EXECUTE|[69]
14:50:37.0 (1458233)|HEAP_ALLOCATE|[69]|Bytes:4
14:50:37.0 (1468027)|VARIABLE_SCOPE_BEGIN|[69]|result|Map<String,ANY>|true|false
14:50:37.0 (1485936)|VARIABLE_ASSIGNMENT|[69]|result|{}|0x78c68d7c
14:50:37.0 (1488873)|STATEMENT_EXECUTE|[71]
14:50:37.0 (1506266)|HEAP_ALLOCATE|[68]|Bytes:5
14:50:37.0 (1524987)|HEAP_ALLOCATE|[74]|Bytes:5
14:50:37.0 (1529704)|HEAP_ALLOCATE|[82]|Bytes:7
14:50:37.0 (1535562)|VARIABLE_SCOPE_BEGIN|[71]|success|Boolean|false|false
14:50:37.0 (1549453)|HEAP_ALLOCATE|[71]|Bytes:5
14:50:37.0 (1553798)|VARIABLE_ASSIGNMENT|[71]|success|false
14:50:37.0 (1556302)|STATEMENT_EXECUTE|[73]
14:50:37.0 (1561511)|HEAP_ALLOCATE|[73]|Bytes:4
14:50:37.0 (1565158)|VARIABLE_SCOPE_BEGIN|[73]|params|Map<String,String>|true|false
14:50:37.0 (1570382)|VARIABLE_ASSIGNMENT|[73]|params|{}|0x18279416
14:50:37.0 (1573202)|STATEMENT_EXECUTE|[74]
14:50:37.0 (1574406)|HEAP_ALLOCATE|[74]|Bytes:15
14:50:37.0 (1619721)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
14:50:37.0 (1625763)|STATEMENT_EXECUTE|[75]
14:50:37.0 (1627073)|HEAP_ALLOCATE|[75]|Bytes:39
14:50:37.0 (1637406)|HEAP_ALLOCATE|[75]|Bytes:57
14:50:37.0 (1664490)|USER_DEBUG|[75]|DEBUG|Consulta CustomerData numeroDocumento: FERM900101MASRDI09
14:50:37.0 (1669167)|STATEMENT_EXECUTE|[77]
14:50:37.0 (1671615)|HEAP_ALLOCATE|[77]|Bytes:8
14:50:37.0 (1678731)|CONSTRUCTOR_ENTRY|[77]|01p0v000003GxUV|<init>()|MicroServicioCustomerData
14:50:37.0 (1689105)|VARIABLE_SCOPE_BEGIN|[22]|this|MicroServicioCustomerData|true|false
14:50:37.0 (1714905)|VARIABLE_ASSIGNMENT|[22]|this|{}|0x69e461a3
14:50:37.0 (1718463)|STATEMENT_EXECUTE|[14]
14:50:37.0 (1719494)|STATEMENT_EXECUTE|[16]
14:50:37.0 (1722075)|HEAP_ALLOCATE|[24]|Bytes:6
14:50:37.0 (3781753)|STATEMENT_EXECUTE|[22]
14:50:37.0 (3784733)|STATEMENT_EXECUTE|[24]
14:50:37.0 (3851935)|HEAP_ALLOCATE|[24]|Bytes:76
14:50:37.0 (3870367)|HEAP_ALLOCATE|[24]|Bytes:76
14:50:37.0 (3875415)|HEAP_ALLOCATE|[24]|Bytes:1
14:50:37.0 (3890931)|HEAP_ALLOCATE|[24]|Bytes:25
14:50:37.0 (3895948)|VARIABLE_SCOPE_BEGIN|[24]|currentClassName|String|false|false
14:50:37.0 (3907683)|VARIABLE_ASSIGNMENT|[24]|currentClassName|"MicroServicioCustome (5 more) ..."
14:50:37.0 (3910548)|STATEMENT_EXECUTE|[26]
14:50:37.0 (3969321)|HEAP_ALLOCATE|[26]|Bytes:61
14:50:37.0 (3973651)|HEAP_ALLOCATE|[26]|Bytes:31
14:50:37.0 (3980720)|METHOD_ENTRY|[12]|01p0v000002OV5X|ClienteMicroServicios.ClienteMicroServicios()
14:50:37.0 (3983276)|STATEMENT_EXECUTE|[12]
14:50:37.0 (3986738)|STATEMENT_EXECUTE|[12]
14:50:37.0 (3989262)|METHOD_EXIT|[12]|ClienteMicroServicios
14:50:37.0 (3993994)|HEAP_ALLOCATE|[26]|Bytes:124
14:50:37.0 (4001774)|CONSTRUCTOR_ENTRY|[26]|01p0v000002OV5X|<init>()|ClienteMicroServicios
14:50:37.0 (4012477)|VARIABLE_SCOPE_BEGIN|[54]|this|ClienteMicroServicios|true|false
14:50:37.0 (4040916)|VARIABLE_ASSIGNMENT|[54]|this|{}|0x57a36b69
14:50:37.0 (4044731)|STATEMENT_EXECUTE|[12]
14:50:37.0 (4045684)|STATEMENT_EXECUTE|[14]
14:50:37.0 (4047577)|HEAP_ALLOCATE|[14]|Bytes:23
14:50:37.0 (4056674)|VARIABLE_ASSIGNMENT|[14]|this.BASE_URL|"https://cmr-mx-busin (3 more) ..."|0x57a36b69
14:50:37.0 (4059538)|STATEMENT_EXECUTE|[15]
14:50:37.0 (4060806)|HEAP_ALLOCATE|[15]|Bytes:23
14:50:37.0 (4065774)|VARIABLE_ASSIGNMENT|[15]|this.URI|".fif.tech/api/busine (3 more) ..."|0x57a36b69
14:50:37.0 (4068368)|STATEMENT_EXECUTE|[17]
