66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
14:50:40.0 (136087)|USER_INFO|[EXTERNAL]|0051N000005gvau|etrevinofalabella@izeicg.com.uat|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
14:50:40.0 (171030)|EXECUTION_STARTED
14:50:40.0 (180630)|CODE_UNIT_STARTED|[EXTERNAL]|apex://MicroServicioCustomerData/ACTION$consulta_Customer_Data
14:50:40.0 (1364963)|CODE_UNIT_STARTED|[EXTERNAL]|01p0v000003GxUV|MicroServicioCustomerData.consulta_Customer_Data(String)
14:50:40.0 (1544639)|HEAP_ALLOCATE|[95]|Bytes:3
14:50:40.0 (1618569)|HEAP_ALLOCATE|[100]|Bytes:152
14:50:40.0 (1634032)|HEAP_ALLOCATE|[417]|Bytes:408
14:50:40.0 (1645188)|HEAP_ALLOCATE|[430]|Bytes:408
14:50:40.0 (1666032)|HEAP_ALLOCATE|[317]|Bytes:6
14:50:40.0 (1686994)|VARIABLE_SCOPE_BEGIN|[20]|MicroServicioCustomerData.GETDATA|String|false|true
14:50:40.0 (1691859)|VARIABLE_SCOPE_BEGIN|[18]|MicroServicioCustomerData.POST|String|false|true
14:50:40.0 (1729637)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
14:50:40.0 (1732732)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
14:50:40.0 (1734616)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:15
14:50:40.0 (1769866)|VARIABLE_ASSIGNMENT|[EXTERNAL]|MicroServicioCustomerData.GETDATA|"client/get/data"
14:50:40.0 (1772837)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:50:40.0 (1776039)|VARIABLE_ASSIGNMENT|[EXTERNAL]|MicroServicioCustomerData.POST|"POST"
14:50:40.0 (1783581)|METHOD_ENTRY|[14]|01p0v000003GxUV|MicroServicioCustomerData.MicroServicioCustomerData()
14:50:40.0 (1789276)|STATEMENT_EXECUTE|[14]
14:50:40.0 (1795348)|STATEMENT_EXECUTE|[14]
14:50:40.0 (1798278)|METHOD_EXIT|[14]|MicroServicioCustomerData
14:50:40.0 (1801476)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:18
14:50:40.0 (1806976)|VARIABLE_SCOPE_BEGIN|[67]|numeroDocumento|String|false|false
14:50:40.0 (1813438)|VARIABLE_ASSIGNMENT|[67]|numeroDocumento|"FERM900101MASRDI09"
14:50:40.0 (1821017)|STATEMENT_EXECUTE|[67]
14:50:40.0 (1822107)|STATEMENT_EXECUTE|[69]
14:50:40.0 (1840383)|HEAP_ALLOCATE|[69]|Bytes:4
14:50:40.0 (1852726)|VARIABLE_SCOPE_BEGIN|[69]|result|Map<String,ANY>|true|false
14:50:40.0 (1873288)|VARIABLE_ASSIGNMENT|[69]|result|{}|0x4c51f7b1
14:50:40.0 (1876521)|STATEMENT_EXECUTE|[71]
