66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
11:22:02.0 (222545)|USER_INFO|[EXTERNAL]|0050v0000034lag|albeltransa@falabella.com.mx.admin.uat|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
11:22:02.0 (273816)|EXECUTION_STARTED
11:22:02.0 (286986)|CODE_UNIT_STARTED|[EXTERNAL]|apex://AuthenticateCustomerController/ACTION$obtenerProductosCliente
11:22:02.0 (5080653)|CODE_UNIT_STARTED|[EXTERNAL]|01p1N00000DazLB|AuthenticateCustomerController.obtenerProductosCliente(String)
11:22:02.0 (5317128)|HEAP_ALLOCATE|[95]|Bytes:3
11:22:02.0 (5401357)|HEAP_ALLOCATE|[100]|Bytes:152
11:22:02.0 (5416991)|HEAP_ALLOCATE|[417]|Bytes:408
11:22:02.0 (5428099)|HEAP_ALLOCATE|[430]|Bytes:408
11:22:02.0 (5449764)|HEAP_ALLOCATE|[317]|Bytes:6
11:22:02.0 (5467361)|VARIABLE_SCOPE_BEGIN|[19]|AuthenticateCustomerController.BE|String|false|true
11:22:02.0 (5517242)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:13
11:22:02.0 (5520897)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:70
11:22:02.0 (5522880)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:88
11:22:02.0 (5525112)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:2
11:22:02.0 (5582764)|VARIABLE_ASSIGNMENT|[EXTERNAL]|AuthenticateCustomerController.BE|"BE"
11:22:02.0 (5602037)|METHOD_ENTRY|[17]|01p1N00000DazLB|AuthenticateCustomerController.AuthenticateCustomerController()
11:22:02.0 (5607594)|STATEMENT_EXECUTE|[17]
11:22:02.0 (5614079)|STATEMENT_EXECUTE|[17]
