52.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
11:30:03.0 (140608)|USER_INFO|[EXTERNAL]|0051N000005gvau|etrevinofalabella@izeicg.com.uat|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
11:30:03.0 (177105)|EXECUTION_STARTED
11:30:03.0 (188412)|CODE_UNIT_STARTED|[EXTERNAL]|01p0v000003h7p3|BatchUpdateCaseGestorBO
11:30:03.0 (1169658)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
11:30:03.0 (1217017)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
11:30:03.0 (1232019)|METHOD_ENTRY|[11]|01p0v000003h7p3|BatchUpdateCaseGestorBO.BatchUpdateCaseGestorBO()
11:30:03.0 (1237363)|STATEMENT_EXECUTE|[11]
11:30:03.0 (1245063)|STATEMENT_EXECUTE|[11]
11:30:03.0 (1249973)|METHOD_EXIT|[11]|BatchUpdateCaseGestorBO
11:30:03.0 (1254023)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
11:30:03.0 (1256662)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
11:30:03.0 (1274297)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:24
11:30:03.0 (1281414)|VARIABLE_SCOPE_BEGIN|[42]|this|BatchUpdateCaseGestorBO|true|false
11:30:03.0 (1357489)|VARIABLE_ASSIGNMENT|[42]|this|{"idQueueFraudesCredito":"00G0v000002erN3EAI","intCallMSAttempts":3,"lstRecordTypesBO":"0x6d4fb8f1","lstRequestsWithError":"0x6232193f"}|0x17de305
11:30:03.0 (1363115)|VARIABLE_SCOPE_BEGIN|[42]|BC|Database.BatchableContext|true|false
11:30:03.0 (1471570)|VARIABLE_ASSIGNMENT|[42]|BC|{"childJobId":"707Rt00001wUcNJIA0","jobId":"707Rt00001wUKtQIAW"}|0x75c2940b
11:30:03.0 (1475873)|VARIABLE_SCOPE_BEGIN|[42]|scope|List<Case>|true|false
11:30:03.0 (1691166)|VARIABLE_ASSIGNMENT|[42]|scope|[{"Solicitud_Repetida__c":true,"Id":"5000v000007ccTDAAY","Total_a_Condonar__c":0.0,"ID_Solicitud__c":"300001111"},{"Solicitud_Repetida__c":true,"Id":"5000v000007eeByAAI","Total_a_Condonar__c":0.0,"ID_Solicitud__c":"300001739"},{"ID_Solicitud__c":"300001720","Solicitud_Repetida__c":false,"Id":"5000v000007eiy1AAA"},{"Solicitud_Repetida__c":false,"Id":"500DK000008RyrCYAS","Total_a_Condonar__c":0.0,"ID_Solicitud__c":"566"},{"Solicitud_Repetida__c":false,"Id":"500Rt000006FdBnIAK","Total_a_Condonar__c":0.0,"ID_Solicitud__c":"300000503"}]|0x58c1cab7
11:30:03.0 (1707119)|STATEMENT_EXECUTE|[42]
11:30:03.0 (1708508)|STATEMENT_EXECUTE|[44]
11:30:03.0 (1718154)|HEAP_ALLOCATE|[44]|Bytes:4
11:30:03.0 (1760123)|VARIABLE_SCOPE_BEGIN|[44]|lstIdSolicitud|List<String>|true|false
11:30:03.0 (1780658)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
11:30:03.0 (1786165)|VARIABLE_ASSIGNMENT|[44]|lstIdSolicitud|[]|0x4859696e
11:30:03.0 (1789480)|STATEMENT_EXECUTE|[46]
11:30:03.0 (5891191)|HEAP_ALLOCATE|[46]|Bytes:4
11:30:03.0 (5946237)|VARIABLE_SCOPE_BEGIN|[46]|mapResponseGestor|Map<String,SolicitudGestorJSON>|true|false
11:30:03.0 (5969651)|VARIABLE_ASSIGNMENT|[46]|mapResponseGestor|{}|0x6d44b820
11:30:03.0 (5976548)|STATEMENT_EXECUTE|[47]
11:30:03.0 (5984896)|HEAP_ALLOCATE|[47]|Bytes:4
11:30:03.0 (5989705)|VARIABLE_SCOPE_BEGIN|[47]|mapSolicitudRepetida|Map<String,Boolean>|true|false
11:30:03.0 (5994477)|VARIABLE_ASSIGNMENT|[47]|mapSolicitudRepetida|{}|0x59667e8c
11:30:03.0 (5997062)|STATEMENT_EXECUTE|[49]
11:30:03.0 (6194522)|HEAP_ALLOCATE|[49]|Bytes:4
11:30:03.0 (6255751)|VARIABLE_SCOPE_BEGIN|[49]|lstErrorLog|List<Error_Log__c>|true|false
11:30:03.0 (6261848)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
11:30:03.0 (6270312)|VARIABLE_ASSIGNMENT|[49]|lstErrorLog|[]|0x2b37262f
11:30:03.0 (6568071)|HEAP_ALLOCATE|[68]|Bytes:5
11:30:03.0 (6590026)|HEAP_ALLOCATE|[74]|Bytes:5
11:30:03.0 (6598171)|HEAP_ALLOCATE|[82]|Bytes:7
11:30:03.0 (6612346)|HEAP_ALLOCATE|[51]|Bytes:5
11:30:03.0 (6647468)|HEAP_ALLOCATE|[51]|Bytes:20
11:30:03.0 (6653636)|VARIABLE_SCOPE_BEGIN|[51]|caso|Case|true|false
11:30:03.0 (6728046)|VARIABLE_ASSIGNMENT|[51]|caso|{"Solicitud_Repetida__c":true,"Id":"5000v000007ccTDAAY","Total_a_Condonar__c":0.0,"ID_Solicitud__c":"300001111"}|0x34f31add
11:30:03.0 (6734082)|STATEMENT_EXECUTE|[51]
11:30:03.0 (6735607)|STATEMENT_EXECUTE|[53]
11:30:03.0 (7803480)|HEAP_ALLOCATE|[53]|Bytes:12
11:30:03.0 (7812432)|HEAP_ALLOCATE|[53]|Bytes:17
11:30:03.0 (7824651)|METHOD_ENTRY|[13]|01p0v000003adbT|ActualizarRestanteTicketRiesgoGestor.ActualizarRestanteTicketRiesgoGestor()
11:30:03.0 (7828631)|STATEMENT_EXECUTE|[13]
11:30:03.0 (7834352)|STATEMENT_EXECUTE|[13]
11:30:03.0 (7838322)|METHOD_EXIT|[13]|ActualizarRestanteTicketRiesgoGestor
11:30:03.0 (7843100)|HEAP_ALLOCATE|[53]|Bytes:8
11:30:03.0 (7853655)|CONSTRUCTOR_ENTRY|[53]|01p0v000003adbT|<init>()|ActualizarRestanteTicketRiesgoGestor
11:30:03.0 (7885210)|VARIABLE_SCOPE_BEGIN|[17]|this|ActualizarRestanteTicketRiesgoGestor|true|false
11:30:03.0 (11266740)|VARIABLE_ASSIGNMENT|[17]|this|{}|0x2b788fe2
11:30:03.0 (11288036)|STATEMENT_EXECUTE|[13]
11:30:03.0 (11289961)|STATEMENT_EXECUTE|[15]
11:30:03.0 (12775913)|STATEMENT_EXECUTE|[17]
11:30:03.0 (12778329)|STATEMENT_EXECUTE|[19]
11:30:03.0 (12868017)|HEAP_ALLOCATE|[19]|Bytes:51
11:30:03.0 (12887568)|HEAP_ALLOCATE|[19]|Bytes:51
11:30:03.0 (12892609)|HEAP_ALLOCATE|[19]|Bytes:1
11:30:03.0 (12911609)|HEAP_ALLOCATE|[19]|Bytes:36
11:30:03.0 (12917450)|VARIABLE_SCOPE_BEGIN|[19]|currentClassName|String|false|false
11:30:03.0 (12934159)|VARIABLE_ASSIGNMENT|[19]|currentClassName|"ActualizarRestanteTi (16 more) ..."
11:30:03.0 (12937596)|STATEMENT_EXECUTE|[20]
11:30:03.0 (12943149)|HEAP_ALLOCATE|[20]|Bytes:48
11:30:03.0 (12949328)|HEAP_ALLOCATE|[20]|Bytes:63
11:30:03.0 (12969799)|METHOD_ENTRY|[1]|01p0v000003adbY|ClienteMicroServiciosGestor.ClienteMicroServiciosGestor()
11:30:03.0 (12973229)|STATEMENT_EXECUTE|[1]
11:30:03.0 (12977323)|STATEMENT_EXECUTE|[1]
11:30:03.0 (12980895)|METHOD_EXIT|[1]|ClienteMicroServiciosGestor
11:30:03.0 (13059628)|HEAP_ALLOCATE|[20]|Bytes:104
11:30:03.0 (13098975)|CONSTRUCTOR_ENTRY|[20]|01p0v000003adbY|<init>()|ClienteMicroServiciosGestor
11:30:03.0 (13130028)|VARIABLE_SCOPE_BEGIN|[37]|this|ClienteMicroServiciosGestor|true|false
11:30:03.0 (13200343)|VARIABLE_ASSIGNMENT|[37]|this|{}|0x55111d67
11:30:03.0 (13208194)|STATEMENT_EXECUTE|[1]
11:30:03.0 (13209905)|STATEMENT_EXECUTE|[2]
11:30:03.0 (13212835)|HEAP_ALLOCATE|[2]|Bytes:33
11:30:03.0 (13227188)|VARIABLE_ASSIGNMENT|[2]|this.BASE_URL|"https://cmr-mx-solic (13 more) ..."|0x55111d67
11:30:03.0 (13231566)|STATEMENT_EXECUTE|[3]
11:30:03.0 (13233107)|HEAP_ALLOCATE|[3]|Bytes:10
11:30:03.0 (13239087)|VARIABLE_ASSIGNMENT|[3]|this.URI|".fif.tech/"|0x55111d67
11:30:03.0 (13243155)|STATEMENT_EXECUTE|[6]
11:30:03.0 (13244703)|HEAP_ALLOCATE|[6]|Bytes:16
11:30:03.0 (13250306)|VARIABLE_ASSIGNMENT|[6]|this.APP_JSON|"application/json"|0x55111d67
11:30:03.0 (13254151)|STATEMENT_EXECUTE|[7]
11:30:03.0 (13255615)|HEAP_ALLOCATE|[7]|Bytes:12
11:30:03.0 (13260484)|VARIABLE_ASSIGNMENT|[7]|this.CONT_TYPE|"Content-Type"|0x55111d67
11:30:03.0 (13263781)|STATEMENT_EXECUTE|[8]
11:30:03.0 (13267050)|HEAP_ALLOCATE|[8]|Bytes:4
11:30:03.0 (13274560)|VARIABLE_ASSIGNMENT|[8]|this.TIME_OUT|120000|0x55111d67
11:30:03.0 (13277105)|STATEMENT_EXECUTE|[9]
11:30:03.0 (13278183)|HEAP_ALLOCATE|[9]|Bytes:11
11:30:03.0 (13281656)|VARIABLE_ASSIGNMENT|[9]|this.endpoint|"solicitudes"|0x55111d67
11:30:03.0 (13283965)|STATEMENT_EXECUTE|[10]
11:30:03.0 (13285382)|HEAP_ALLOCATE|[10]|Bytes:3
11:30:03.0 (13288920)|VARIABLE_ASSIGNMENT|[10]|this.method|"GET"|0x55111d67
11:30:03.0 (13291293)|STATEMENT_EXECUTE|[11]
11:30:03.0 (13292311)|HEAP_ALLOCATE|[11]|Bytes:2
11:30:03.0 (13295752)|VARIABLE_ASSIGNMENT|[11]|this.version|"v1"|0x55111d67
11:30:03.0 (13298221)|STATEMENT_EXECUTE|[12]
11:30:03.0 (13299125)|HEAP_ALLOCATE|[12]|Bytes:9
11:30:03.0 (13302493)|VARIABLE_ASSIGNMENT|[12]|this.MDW_CS_CHANNEL|"x-channel"|0x55111d67
11:30:03.0 (13304831)|STATEMENT_EXECUTE|[13]
11:30:03.0 (13305768)|HEAP_ALLOCATE|[13]|Bytes:10
