56.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
11:30:00.0 (147742)|USER_INFO|[EXTERNAL]|0051N000005gvau|etrevinofalabella@izeicg.com.uat|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
11:30:00.0 (184069)|EXECUTION_STARTED
11:30:00.0 (196102)|CODE_UNIT_STARTED|[EXTERNAL]|01pDK00000AKh3n|BatchUpdateCasesEmboce
11:30:00.0 (1504319)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
11:30:00.0 (1581620)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
11:30:00.0 (1601079)|METHOD_ENTRY|[11]|01pDK00000AKh3n|BatchUpdateCasesEmboce.BatchUpdateCasesEmboce()
11:30:00.0 (1609170)|STATEMENT_EXECUTE|[11]
11:30:00.0 (1627107)|STATEMENT_EXECUTE|[11]
11:30:00.0 (1634317)|METHOD_EXIT|[11]|BatchUpdateCasesEmboce
11:30:00.0 (1640643)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:24
11:30:00.0 (1644042)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
11:30:00.0 (1674215)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:32
11:30:00.0 (1683990)|VARIABLE_SCOPE_BEGIN|[52]|this|BatchUpdateCasesEmboce|true|false
11:30:00.0 (1799929)|VARIABLE_ASSIGNMENT|[52]|this|{"estatus":"CONFIRMADO","lstReturns":"0x5247b18e","lstStatusCanceledCases":"0x213aff97","lstStatusClosedCases":"0xfa8eed9","mapErrors":"0x15727197"}|0x52f65f57
11:30:00.0 (1809564)|VARIABLE_SCOPE_BEGIN|[52]|BC|Database.BatchableContext|true|false
11:30:00.0 (1936723)|VARIABLE_ASSIGNMENT|[52]|BC|{"childJobId":"707Rt00001wUSdwIAG","jobId":"707Rt00001wUbi5IAC"}|0x4f671de9
11:30:00.0 (1941679)|VARIABLE_SCOPE_BEGIN|[52]|scope|List<Case>|true|false
11:30:00.0 (1952088)|VARIABLE_ASSIGNMENT|[52]|scope|"List of size 7 too large to display"|0x24cfeb9e
11:30:00.0 (1962185)|STATEMENT_EXECUTE|[52]
11:30:00.0 (1963617)|STATEMENT_EXECUTE|[54]
11:30:00.0 (1977602)|HEAP_ALLOCATE|[54]|Bytes:4
11:30:00.0 (1991869)|VARIABLE_SCOPE_BEGIN|[54]|mapCaseIdWayBill|Map<String,String>|true|false
11:30:00.0 (2005513)|VARIABLE_ASSIGNMENT|[54]|mapCaseIdWayBill|{}|0x38a27512
11:30:00.0 (2009023)|STATEMENT_EXECUTE|[55]
11:30:00.0 (2039065)|HEAP_ALLOCATE|[55]|Bytes:4
11:30:00.0 (2042829)|VARIABLE_SCOPE_BEGIN|[55]|mapWayBillStatusSPA|Map<String,String>|true|false
11:30:00.0 (2047588)|VARIABLE_ASSIGNMENT|[55]|mapWayBillStatusSPA|{}|0x6a411c4a
11:30:00.0 (2050137)|STATEMENT_EXECUTE|[57]
11:30:00.0 (2053053)|HEAP_ALLOCATE|[57]|Bytes:4
11:30:00.0 (2069228)|VARIABLE_SCOPE_BEGIN|[57]|mapWayBillReceiverName|Map<String,String>|true|false
11:30:00.0 (2074320)|VARIABLE_ASSIGNMENT|[57]|mapWayBillReceiverName|{}|0xaadeab2
11:30:00.0 (2561360)|HEAP_ALLOCATE|[68]|Bytes:5
11:30:00.0 (2583969)|HEAP_ALLOCATE|[74]|Bytes:5
11:30:00.0 (2591300)|HEAP_ALLOCATE|[82]|Bytes:7
11:30:00.0 (2602065)|HEAP_ALLOCATE|[59]|Bytes:5
11:30:00.0 (2666499)|HEAP_ALLOCATE|[59]|Bytes:20
11:30:00.0 (2675349)|VARIABLE_SCOPE_BEGIN|[59]|caseEmboce|Case|true|false
11:30:00.0 (2787326)|VARIABLE_ASSIGNMENT|[59]|caseEmboce|{"Status":"Asignada","Num_Folio_a_Consultar__c":"80559033806117086383 (2 more) ...","Id":"500DK000008REIZYA4","Estatus_final_de_tarjeta__c":"EN_TRANSITO"}|0x7d98f73f
11:30:00.0 (2794544)|STATEMENT_EXECUTE|[59]
11:30:00.0 (2873417)|STATEMENT_EXECUTE|[61]
11:30:00.0 (2874606)|STATEMENT_EXECUTE|[63]
11:30:00.0 (2940323)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
11:30:00.0 (2971457)|HEAP_ALLOCATE|[59]|Bytes:5
11:30:00.0 (2979592)|HEAP_ALLOCATE|[59]|Bytes:20
11:30:00.0 (2984012)|VARIABLE_SCOPE_BEGIN|[59]|caseEmboce|Case|true|false
11:30:00.0 (3011073)|VARIABLE_ASSIGNMENT|[59]|caseEmboce|{"Status":"Asignada","Num_Folio_a_Consultar__c":"20559033806117086366 (2 more) ...","Id":"500DK000008REr7YAG","Estatus_final_de_tarjeta__c":"EN_TRANSITO"}|0x59b3ca99
11:30:00.0 (3017821)|STATEMENT_EXECUTE|[59]
11:30:00.0 (3039763)|STATEMENT_EXECUTE|[61]
11:30:00.0 (3041541)|STATEMENT_EXECUTE|[63]
11:30:00.0 (3053198)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
11:30:00.0 (3062775)|HEAP_ALLOCATE|[59]|Bytes:5
11:30:00.0 (3069887)|HEAP_ALLOCATE|[59]|Bytes:20
11:30:00.0 (3074101)|VARIABLE_SCOPE_BEGIN|[59]|caseEmboce|Case|true|false
11:30:00.0 (3102205)|VARIABLE_ASSIGNMENT|[59]|caseEmboce|{"Status":"Asignada","Num_Folio_a_Consultar__c":"90559033806117086377 (2 more) ...","Id":"500DK000008RErCYAW","Estatus_final_de_tarjeta__c":"EN_TRANSITO"}|0x6a323d86
11:30:00.0 (3108165)|STATEMENT_EXECUTE|[59]
11:30:00.0 (3129049)|STATEMENT_EXECUTE|[61]
11:30:00.0 (3130556)|STATEMENT_EXECUTE|[63]
11:30:00.0 (3140956)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
11:30:00.0 (3150262)|HEAP_ALLOCATE|[59]|Bytes:5
11:30:00.0 (3156988)|HEAP_ALLOCATE|[59]|Bytes:20
11:30:00.0 (3161421)|VARIABLE_SCOPE_BEGIN|[59]|caseEmboce|Case|true|false
11:30:00.0 (3212596)|VARIABLE_ASSIGNMENT|[59]|caseEmboce|{"Status":"Asignada","Num_Folio_a_Consultar__c":"90559033806117086400 (2 more) ...","Id":"500DK000008REtNYAW","Estatus_final_de_tarjeta__c":"EN_TRANSITO"}|0x50291ef0
11:30:00.0 (3219735)|STATEMENT_EXECUTE|[59]
11:30:00.0 (3234920)|STATEMENT_EXECUTE|[61]
11:30:00.0 (3236232)|STATEMENT_EXECUTE|[63]
11:30:00.0 (3245447)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
11:30:00.0 (3254313)|HEAP_ALLOCATE|[59]|Bytes:5
11:30:00.0 (3261359)|HEAP_ALLOCATE|[59]|Bytes:20
11:30:00.0 (3265695)|VARIABLE_SCOPE_BEGIN|[59]|caseEmboce|Case|true|false
