66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
14:45:56.0 (181252)|USER_INFO|[EXTERNAL]|0051N000005gvau|etrevinofalabella@izeicg.com.uat|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
14:45:56.0 (216639)|EXECUTION_STARTED
14:45:56.0 (225691)|CODE_UNIT_STARTED|[EXTERNAL]|apex://MicroServicioCustomerData/ACTION$consulta_Customer_Data
14:45:56.0 (1645869)|CODE_UNIT_STARTED|[EXTERNAL]|01p0v000003GxUV|MicroServicioCustomerData.consulta_Customer_Data(String)
14:45:56.0 (1840289)|HEAP_ALLOCATE|[95]|Bytes:3
14:45:56.0 (2036989)|HEAP_ALLOCATE|[100]|Bytes:152
14:45:56.0 (2055000)|HEAP_ALLOCATE|[417]|Bytes:408
14:45:56.0 (2066466)|HEAP_ALLOCATE|[430]|Bytes:408
14:45:56.0 (2087349)|HEAP_ALLOCATE|[317]|Bytes:6
14:45:56.0 (2104486)|VARIABLE_SCOPE_BEGIN|[20]|MicroServicioCustomerData.GETDATA|String|false|true
14:45:56.0 (2108926)|VARIABLE_SCOPE_BEGIN|[18]|MicroServicioCustomerData.POST|String|false|true
14:45:56.0 (2147442)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
14:45:56.0 (2150253)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
14:45:56.0 (2152059)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:15
14:45:56.0 (2213255)|VARIABLE_ASSIGNMENT|[EXTERNAL]|MicroServicioCustomerData.GETDATA|"client/get/data"
14:45:56.0 (2216879)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:45:56.0 (2220917)|VARIABLE_ASSIGNMENT|[EXTERNAL]|MicroServicioCustomerData.POST|"POST"
14:45:56.0 (2230032)|METHOD_ENTRY|[14]|01p0v000003GxUV|MicroServicioCustomerData.MicroServicioCustomerData()
14:45:56.0 (2235090)|STATEMENT_EXECUTE|[14]
14:45:56.0 (2241239)|STATEMENT_EXECUTE|[14]
14:45:56.0 (2244897)|METHOD_EXIT|[14]|MicroServicioCustomerData
14:45:56.0 (2248878)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:18
14:45:56.0 (2254905)|VARIABLE_SCOPE_BEGIN|[67]|numeroDocumento|String|false|false
14:45:56.0 (2261425)|VARIABLE_ASSIGNMENT|[67]|numeroDocumento|"MONJ660623HNLNVN06"
14:45:56.0 (2268087)|STATEMENT_EXECUTE|[67]
14:45:56.0 (2269042)|STATEMENT_EXECUTE|[69]
14:45:56.0 (2288646)|HEAP_ALLOCATE|[69]|Bytes:4
14:45:56.0 (2300364)|VARIABLE_SCOPE_BEGIN|[69]|result|Map<String,ANY>|true|false
14:45:56.0 (2319302)|VARIABLE_ASSIGNMENT|[69]|result|{}|0x283b035d
14:45:56.0 (2322010)|STATEMENT_EXECUTE|[71]
14:45:56.0 (2339658)|HEAP_ALLOCATE|[68]|Bytes:5
14:45:56.0 (2363531)|HEAP_ALLOCATE|[74]|Bytes:5
14:45:56.0 (2368003)|HEAP_ALLOCATE|[82]|Bytes:7
14:45:56.0 (2373699)|VARIABLE_SCOPE_BEGIN|[71]|success|Boolean|false|false
14:45:56.0 (2518482)|HEAP_ALLOCATE|[71]|Bytes:5
14:45:56.0 (2524208)|VARIABLE_ASSIGNMENT|[71]|success|false
14:45:56.0 (2526857)|STATEMENT_EXECUTE|[73]
14:45:56.0 (2531852)|HEAP_ALLOCATE|[73]|Bytes:4
14:45:56.0 (2536630)|VARIABLE_SCOPE_BEGIN|[73]|params|Map<String,String>|true|false
14:45:56.0 (2542963)|VARIABLE_ASSIGNMENT|[73]|params|{}|0x46359f37
14:45:56.0 (2545735)|STATEMENT_EXECUTE|[74]
14:45:56.0 (2547295)|HEAP_ALLOCATE|[74]|Bytes:15
14:45:56.0 (2652132)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
14:45:56.0 (2660680)|STATEMENT_EXECUTE|[75]
14:45:56.0 (2661879)|HEAP_ALLOCATE|[75]|Bytes:39
14:45:56.0 (2675685)|HEAP_ALLOCATE|[75]|Bytes:57
14:45:56.0 (2719773)|USER_DEBUG|[75]|DEBUG|Consulta CustomerData numeroDocumento: MONJ660623HNLNVN06
14:45:56.0 (2726136)|STATEMENT_EXECUTE|[77]
14:45:56.0 (2729259)|HEAP_ALLOCATE|[77]|Bytes:8
14:45:56.0 (2736743)|CONSTRUCTOR_ENTRY|[77]|01p0v000003GxUV|<init>()|MicroServicioCustomerData
14:45:56.0 (2749733)|VARIABLE_SCOPE_BEGIN|[22]|this|MicroServicioCustomerData|true|false
14:45:56.0 (2780135)|VARIABLE_ASSIGNMENT|[22]|this|{}|0x3480d1a3
14:45:56.0 (2784238)|STATEMENT_EXECUTE|[14]
14:45:56.0 (2785143)|STATEMENT_EXECUTE|[16]
14:45:56.0 (2788866)|HEAP_ALLOCATE|[24]|Bytes:6
14:45:56.0 (4581133)|STATEMENT_EXECUTE|[22]
14:45:56.0 (4583819)|STATEMENT_EXECUTE|[24]
14:45:56.0 (4657632)|HEAP_ALLOCATE|[24]|Bytes:76
14:45:56.0 (4676676)|HEAP_ALLOCATE|[24]|Bytes:76
14:45:56.0 (4681696)|HEAP_ALLOCATE|[24]|Bytes:1
14:45:56.0 (4698726)|HEAP_ALLOCATE|[24]|Bytes:25
14:45:56.0 (4703892)|VARIABLE_SCOPE_BEGIN|[24]|currentClassName|String|false|false
14:45:56.0 (4717966)|VARIABLE_ASSIGNMENT|[24]|currentClassName|"MicroServicioCustome (5 more) ..."
14:45:56.0 (4720827)|STATEMENT_EXECUTE|[26]
14:45:56.0 (4803730)|HEAP_ALLOCATE|[26]|Bytes:61
14:45:56.0 (4807561)|HEAP_ALLOCATE|[26]|Bytes:31
14:45:56.0 (4815446)|METHOD_ENTRY|[12]|01p0v000002OV5X|ClienteMicroServicios.ClienteMicroServicios()
14:45:56.0 (4818656)|STATEMENT_EXECUTE|[12]
14:45:56.0 (4821866)|STATEMENT_EXECUTE|[12]
14:45:56.0 (4825170)|METHOD_EXIT|[12]|ClienteMicroServicios
14:45:56.0 (4831011)|HEAP_ALLOCATE|[26]|Bytes:124
14:45:56.0 (4837911)|CONSTRUCTOR_ENTRY|[26]|01p0v000002OV5X|<init>()|ClienteMicroServicios
14:45:56.0 (4851987)|VARIABLE_SCOPE_BEGIN|[54]|this|ClienteMicroServicios|true|false
14:45:56.0 (4881672)|VARIABLE_ASSIGNMENT|[54]|this|{}|0x6db2b391
14:45:56.0 (4886224)|STATEMENT_EXECUTE|[12]
14:45:56.0 (4887209)|STATEMENT_EXECUTE|[14]
14:45:56.0 (4888658)|HEAP_ALLOCATE|[14]|Bytes:23
14:45:56.0 (4898916)|VARIABLE_ASSIGNMENT|[14]|this.BASE_URL|"https://cmr-mx-busin (3 more) ..."|0x6db2b391
14:45:56.0 (4902331)|STATEMENT_EXECUTE|[15]
14:45:56.0 (4903661)|HEAP_ALLOCATE|[15]|Bytes:23
14:45:56.0 (4908200)|VARIABLE_ASSIGNMENT|[15]|this.URI|".fif.tech/api/busine (3 more) ..."|0x6db2b391
14:45:56.0 (4910886)|STATEMENT_EXECUTE|[17]
14:45:56.0 (4911982)|HEAP_ALLOCATE|[17]|Bytes:7
14:45:56.0 (4915189)|VARIABLE_ASSIGNMENT|[17]|this.BACKEND|"backend"|0x6db2b391
14:45:56.0 (4917736)|STATEMENT_EXECUTE|[19]
