52.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
14:40:07.0 (132646)|USER_INFO|[EXTERNAL]|0051N000005gvau|etrevinofalabella@izeicg.com.uat|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
14:40:07.0 (160513)|EXECUTION_STARTED
14:40:07.0 (169900)|CODE_UNIT_STARTED|[EXTERNAL]|01p0v000003h7p3|BatchUpdateCaseGestorBO
14:40:07.0 (538768)|HEAP_ALLOCATE|[95]|Bytes:3
14:40:07.0 (604263)|HEAP_ALLOCATE|[100]|Bytes:152
14:40:07.0 (618226)|HEAP_ALLOCATE|[417]|Bytes:408
14:40:07.0 (629016)|HEAP_ALLOCATE|[430]|Bytes:408
14:40:07.0 (649387)|HEAP_ALLOCATE|[317]|Bytes:6
14:40:07.0 (670646)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
14:40:07.0 (673181)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
14:40:07.0 (682183)|METHOD_ENTRY|[11]|01p0v000003h7p3|BatchUpdateCaseGestorBO.BatchUpdateCaseGestorBO()
14:40:07.0 (688192)|STATEMENT_EXECUTE|[11]
14:40:07.0 (692844)|STATEMENT_EXECUTE|[11]
14:40:07.0 (696907)|METHOD_EXIT|[11]|BatchUpdateCaseGestorBO
14:40:07.0 (700780)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
14:40:07.0 (706650)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
14:40:07.0 (710428)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
14:40:07.0 (712070)|STATEMENT_EXECUTE|[15]
14:40:07.0 (716366)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
14:40:07.0 (718030)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
14:40:07.0 (744960)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
14:40:07.0 (750940)|VARIABLE_SCOPE_BEGIN|[42]|this|BatchUpdateCaseGestorBO|true|false
