46.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
14:53:19.1 (1003034)|USER_INFO|[EXTERNAL]|0051N000005gvau|etrevinofalabella@izeicg.com.uat|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
14:53:19.1 (1083912)|EXECUTION_STARTED
14:53:19.1 (1100902)|CODE_UNIT_STARTED|[EXTERNAL]|FutureHandler - state load
14:53:19.1 (1661523)|CODE_UNIT_FINISHED|FutureHandler - state load
14:53:19.1 (1673657)|EXECUTION_FINISHED
14:53:19.13 (13732163)|USER_INFO|[EXTERNAL]|0051N000005gvau|etrevinofalabella@izeicg.com.uat|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
14:53:19.13 (13752228)|EXECUTION_STARTED
14:53:19.13 (13768530)|CODE_UNIT_STARTED|[EXTERNAL]|01p0v000003GxUX|MicroServicioSendNotification.send_notification_future(String, String, String, String, String, String)
14:53:19.13 (13884264)|VARIABLE_SCOPE_BEGIN|[130]|MicroServicioSendNotification.GETDATA|String|false|true
14:53:19.13 (13934430)|VARIABLE_SCOPE_BEGIN|[128]|MicroServicioSendNotification.POST|String|false|true
14:53:19.13 (14080264)|HEAP_ALLOCATE|[95]|Bytes:3
14:53:19.13 (14133568)|HEAP_ALLOCATE|[100]|Bytes:152
14:53:19.13 (14147589)|HEAP_ALLOCATE|[417]|Bytes:408
14:53:19.13 (14159026)|HEAP_ALLOCATE|[430]|Bytes:408
14:53:19.13 (14177877)|HEAP_ALLOCATE|[317]|Bytes:6
14:53:19.13 (14189988)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
14:53:19.13 (14193676)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:16
14:53:19.13 (14195532)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:49
14:53:19.13 (14197888)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:19
14:53:19.13 (14273587)|VARIABLE_ASSIGNMENT|[EXTERNAL]|MicroServicioSendNotification.GETDATA|"client/send/message"
14:53:19.13 (14276867)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:53:19.13 (14280891)|VARIABLE_ASSIGNMENT|[EXTERNAL]|MicroServicioSendNotification.POST|"POST"
14:53:19.13 (14303088)|METHOD_ENTRY|[14]|01p0v000003GxUX|MicroServicioSendNotification.MicroServicioSendNotification()
14:53:19.13 (14313203)|STATEMENT_EXECUTE|[14]
14:53:19.13 (14319868)|STATEMENT_EXECUTE|[14]
14:53:19.13 (14340456)|HEAP_ALLOCATE|[68]|Bytes:5
14:53:19.13 (14371788)|HEAP_ALLOCATE|[74]|Bytes:5
14:53:19.13 (14376966)|HEAP_ALLOCATE|[82]|Bytes:7
