66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
11:21:45.0 (180983)|USER_INFO|[EXTERNAL]|0050v0000034lag|albeltransa@falabella.com.mx.admin.uat|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
11:21:45.0 (216208)|EXECUTION_STARTED
11:21:45.0 (226068)|CODE_UNIT_STARTED|[EXTERNAL]|apex://MicroServicioGetUser/ACTION$consulta_Get_User
11:21:45.0 (3887191)|CODE_UNIT_STARTED|[EXTERNAL]|01p0v000003Gv5s|MicroServicioGetUser.consulta_Get_User(String, String)
11:21:45.0 (4069249)|VARIABLE_SCOPE_BEGIN|[20]|MicroServicioGetUser.GETUSER|String|false|true
11:21:45.0 (4111188)|VARIABLE_SCOPE_BEGIN|[18]|MicroServicioGetUser.POST|String|false|true
11:21:45.0 (4231668)|HEAP_ALLOCATE|[95]|Bytes:3
11:21:45.0 (4275656)|HEAP_ALLOCATE|[100]|Bytes:152
11:21:45.0 (4289077)|HEAP_ALLOCATE|[417]|Bytes:408
11:21:45.0 (4300228)|HEAP_ALLOCATE|[430]|Bytes:408
11:21:45.0 (4319330)|HEAP_ALLOCATE|[317]|Bytes:6
11:21:45.0 (4329974)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
11:21:45.0 (4333624)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:23
11:21:45.0 (4335478)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:15
11:21:45.0 (4387233)|VARIABLE_ASSIGNMENT|[EXTERNAL]|MicroServicioGetUser.GETUSER|"client/get/user"
11:21:45.0 (4390369)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
11:21:45.0 (4393935)|VARIABLE_ASSIGNMENT|[EXTERNAL]|MicroServicioGetUser.POST|"POST"
11:21:45.0 (4403364)|METHOD_ENTRY|[14]|01p0v000003Gv5s|MicroServicioGetUser.MicroServicioGetUser()
11:21:45.0 (4407722)|STATEMENT_EXECUTE|[14]
11:21:45.0 (4412141)|STATEMENT_EXECUTE|[14]
11:21:45.0 (4414874)|METHOD_EXIT|[14]|MicroServicioGetUser
11:21:45.0 (4417549)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:3
11:21:45.0 (4419084)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:18
11:21:45.0 (4426062)|VARIABLE_SCOPE_BEGIN|[67]|tipoDocumento|String|false|false
11:21:45.0 (4432368)|VARIABLE_ASSIGNMENT|[67]|tipoDocumento|"INE"
