66.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
11:21:45.1 (1532804)|USER_INFO|[EXTERNAL]|0050v0000034lag|albeltransa@falabella.com.mx.admin.uat|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
11:21:45.1 (1603021)|EXECUTION_STARTED
11:21:45.1 (1623865)|CODE_UNIT_STARTED|[EXTERNAL]|apex://MicroServicioCustomerData/ACTION$consulta_Customer_Data
11:21:45.1 (6037327)|CODE_UNIT_STARTED|[EXTERNAL]|01p0v000003GxUV|MicroServicioCustomerData.consulta_Customer_Data(String)
11:21:45.1 (8263718)|VARIABLE_SCOPE_BEGIN|[20]|MicroServicioCustomerData.GETDATA|String|false|true
11:21:45.1 (8322056)|VARIABLE_SCOPE_BEGIN|[18]|MicroServicioCustomerData.POST|String|false|true
11:21:45.1 (8518735)|HEAP_ALLOCATE|[95]|Bytes:3
11:21:45.1 (8582813)|HEAP_ALLOCATE|[100]|Bytes:152
11:21:45.1 (8597932)|HEAP_ALLOCATE|[417]|Bytes:408
11:21:45.1 (8609442)|HEAP_ALLOCATE|[430]|Bytes:408
11:21:45.1 (8631249)|HEAP_ALLOCATE|[317]|Bytes:6
11:21:45.1 (8642213)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
11:21:45.1 (8647980)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
11:21:45.1 (8649792)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:15
11:21:45.1 (8731664)|VARIABLE_ASSIGNMENT|[EXTERNAL]|MicroServicioCustomerData.GETDATA|"client/get/data"
11:21:45.1 (8734529)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
11:21:45.1 (8738649)|VARIABLE_ASSIGNMENT|[EXTERNAL]|MicroServicioCustomerData.POST|"POST"
11:21:45.1 (8757529)|METHOD_ENTRY|[14]|01p0v000003GxUV|MicroServicioCustomerData.MicroServicioCustomerData()
11:21:45.1 (8766253)|STATEMENT_EXECUTE|[14]
11:21:45.1 (8772921)|STATEMENT_EXECUTE|[14]
11:21:45.1 (8780974)|METHOD_EXIT|[14]|MicroServicioCustomerData
11:21:45.1 (8784014)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:18
11:21:45.1 (8802408)|VARIABLE_SCOPE_BEGIN|[67]|numeroDocumento|String|false|false
11:21:45.1 (8813985)|VARIABLE_ASSIGNMENT|[67]|numeroDocumento|"RIAS171126HNLGLF78"
11:21:45.1 (8821476)|STATEMENT_EXECUTE|[67]
11:21:45.1 (8822366)|STATEMENT_EXECUTE|[69]
11:21:45.1 (8842008)|HEAP_ALLOCATE|[69]|Bytes:4
11:21:45.1 (8855625)|VARIABLE_SCOPE_BEGIN|[69]|result|Map<String,ANY>|true|false
11:21:45.1 (8876583)|VARIABLE_ASSIGNMENT|[69]|result|{}|0x70614179
11:21:45.1 (8879169)|STATEMENT_EXECUTE|[71]
11:21:45.1 (8896351)|HEAP_ALLOCATE|[68]|Bytes:5
11:21:45.1 (8919663)|HEAP_ALLOCATE|[74]|Bytes:5
11:21:45.1 (8924387)|HEAP_ALLOCATE|[82]|Bytes:7
11:21:45.1 (8930701)|VARIABLE_SCOPE_BEGIN|[71]|success|Boolean|false|false
11:21:45.1 (9096388)|HEAP_ALLOCATE|[71]|Bytes:5
11:21:45.1 (9102600)|VARIABLE_ASSIGNMENT|[71]|success|false
11:21:45.1 (9105118)|STATEMENT_EXECUTE|[73]
11:21:45.1 (9112566)|HEAP_ALLOCATE|[73]|Bytes:4
11:21:45.1 (9117533)|VARIABLE_SCOPE_BEGIN|[73]|params|Map<String,String>|true|false
11:21:45.1 (9123651)|VARIABLE_ASSIGNMENT|[73]|params|{}|0x4da40184
11:21:45.1 (9126354)|STATEMENT_EXECUTE|[74]
11:21:45.1 (9127688)|HEAP_ALLOCATE|[74]|Bytes:15
11:21:45.1 (9193003)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
11:21:45.1 (9202368)|STATEMENT_EXECUTE|[75]
11:21:45.1 (9203608)|HEAP_ALLOCATE|[75]|Bytes:39
11:21:45.1 (9218223)|HEAP_ALLOCATE|[75]|Bytes:57
11:21:45.1 (9257761)|USER_DEBUG|[75]|DEBUG|Consulta CustomerData numeroDocumento: RIAS171126HNLGLF78
11:21:45.1 (9263417)|STATEMENT_EXECUTE|[77]
11:21:45.1 (13229227)|HEAP_ALLOCATE|[77]|Bytes:8
11:21:45.1 (13312268)|CONSTRUCTOR_ENTRY|[77]|01p0v000003GxUV|<init>()|MicroServicioCustomerData
11:21:45.1 (13371169)|VARIABLE_SCOPE_BEGIN|[22]|this|MicroServicioCustomerData|true|false
11:21:45.1 (13474142)|VARIABLE_ASSIGNMENT|[22]|this|{}|0x11126e05
11:21:45.1 (13482380)|STATEMENT_EXECUTE|[14]
11:21:45.1 (13483525)|STATEMENT_EXECUTE|[16]
11:21:45.1 (13495313)|HEAP_ALLOCATE|[24]|Bytes:6
11:21:45.1 (15184776)|STATEMENT_EXECUTE|[22]
11:21:45.1 (15188198)|STATEMENT_EXECUTE|[24]
11:21:45.1 (15291857)|HEAP_ALLOCATE|[24]|Bytes:76
11:21:45.1 (15312768)|HEAP_ALLOCATE|[24]|Bytes:76
11:21:45.1 (15318373)|HEAP_ALLOCATE|[24]|Bytes:1
11:21:45.1 (15338510)|HEAP_ALLOCATE|[24]|Bytes:25
11:21:45.1 (15343693)|VARIABLE_SCOPE_BEGIN|[24]|currentClassName|String|false|false
11:21:45.1 (15359229)|VARIABLE_ASSIGNMENT|[24]|currentClassName|"MicroServicioCustome (5 more) ..."
11:21:45.1 (15363045)|STATEMENT_EXECUTE|[26]
11:21:45.1 (15369307)|HEAP_ALLOCATE|[26]|Bytes:61
11:21:45.1 (15377416)|HEAP_ALLOCATE|[26]|Bytes:31
11:21:45.1 (15400533)|METHOD_ENTRY|[12]|01p0v000002OV5X|ClienteMicroServicios.ClienteMicroServicios()
11:21:45.1 (15403717)|STATEMENT_EXECUTE|[12]
11:21:45.1 (15407125)|STATEMENT_EXECUTE|[12]
11:21:45.1 (15410819)|METHOD_EXIT|[12]|ClienteMicroServicios
11:21:45.1 (15707383)|HEAP_ALLOCATE|[26]|Bytes:124
11:21:45.1 (15716961)|CONSTRUCTOR_ENTRY|[26]|01p0v000002OV5X|<init>()|ClienteMicroServicios
11:21:45.1 (15737770)|VARIABLE_SCOPE_BEGIN|[54]|this|ClienteMicroServicios|true|false
11:21:45.1 (15781452)|VARIABLE_ASSIGNMENT|[54]|this|{}|0x4f280503
11:21:45.1 (15785520)|STATEMENT_EXECUTE|[12]
11:21:45.1 (15786315)|STATEMENT_EXECUTE|[14]
11:21:45.1 (15788075)|HEAP_ALLOCATE|[14]|Bytes:23
11:21:45.1 (15804085)|VARIABLE_ASSIGNMENT|[14]|this.BASE_URL|"https://cmr-mx-busin (3 more) ..."|0x4f280503
11:21:45.1 (15806850)|STATEMENT_EXECUTE|[15]
11:21:45.1 (15808060)|HEAP_ALLOCATE|[15]|Bytes:23
11:21:45.1 (15812663)|VARIABLE_ASSIGNMENT|[15]|this.URI|".fif.tech/api/busine (3 more) ..."|0x4f280503
11:21:45.1 (15815532)|STATEMENT_EXECUTE|[17]
