67.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:42:11.0 (354223)|USER_INFO|[EXTERNAL]|0050v0000034lag|albeltransa@falabella.com.mx.admin.uat|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
17:42:11.0 (430340)|EXECUTION_STARTED
17:42:11.0 (455500)|CODE_UNIT_STARTED|[EXTERNAL]|apex://MicroServicioGuiaDHL/ACTION$getWayBillEstafeta
17:42:11.0 (5477880)|CODE_UNIT_STARTED|[EXTERNAL]|01p0v000003MRTq|MicroServicioGuiaDHL.getWayBillEstafeta(String)
17:42:11.0 (5773308)|HEAP_ALLOCATE|[95]|Bytes:3
17:42:11.0 (5861683)|HEAP_ALLOCATE|[100]|Bytes:152
17:42:11.0 (5877983)|HEAP_ALLOCATE|[417]|Bytes:408
17:42:11.0 (5889768)|HEAP_ALLOCATE|[430]|Bytes:408
17:42:11.0 (5909936)|HEAP_ALLOCATE|[317]|Bytes:6
17:42:11.0 (5920283)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:21
17:42:11.0 (5923230)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:58
17:42:11.0 (5940738)|METHOD_ENTRY|[13]|01p0v000003MRTq|MicroServicioGuiaDHL.MicroServicioGuiaDHL()
17:42:11.0 (5947854)|STATEMENT_EXECUTE|[13]
17:42:11.0 (5953258)|STATEMENT_EXECUTE|[13]
17:42:11.0 (5974165)|HEAP_ALLOCATE|[68]|Bytes:5
17:42:11.0 (6017247)|HEAP_ALLOCATE|[74]|Bytes:5
17:42:11.0 (6024454)|HEAP_ALLOCATE|[82]|Bytes:7
17:42:11.0 (6225542)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:42:11.0 (6269529)|METHOD_EXIT|[13]|MicroServicioGuiaDHL
17:42:11.0 (6275748)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:22
17:42:11.0 (6307716)|VARIABLE_SCOPE_BEGIN|[180]|wayBill|String|false|false
17:42:11.0 (6385769)|VARIABLE_ASSIGNMENT|[180]|wayBill|"405590338061170A01KM (2 more) ..."
17:42:11.0 (6399011)|HEAP_ALLOCATE|[182]|Bytes:5
17:42:11.0 (6402664)|STATEMENT_EXECUTE|[180]
17:42:11.0 (6403809)|STATEMENT_EXECUTE|[182]
17:42:11.0 (6421099)|HEAP_ALLOCATE|[182]|Bytes:4
17:42:11.0 (6491540)|VARIABLE_SCOPE_BEGIN|[182]|mapResult|Map<String,ANY>|true|false
17:42:11.0 (6528500)|VARIABLE_ASSIGNMENT|[182]|mapResult|{}|0x61e96250
17:42:11.0 (6531947)|STATEMENT_EXECUTE|[184]
17:42:11.0 (13105943)|HEAP_ALLOCATE|[184]|Bytes:30
17:42:11.0 (13162280)|METHOD_ENTRY|[12]|01pDK000007Q9UR|EstafetaService.EstafetaService()
17:42:11.0 (13171715)|STATEMENT_EXECUTE|[12]
17:42:11.0 (13177991)|STATEMENT_EXECUTE|[12]
17:42:11.0 (13186895)|METHOD_EXIT|[12]|EstafetaService
17:42:11.0 (13218946)|METHOD_ENTRY|[184]|01pDK000007Q9UR|EstafetaService.oauthToken()
17:42:11.0 (13251630)|STATEMENT_EXECUTE|[114]
17:42:11.0 (13253104)|STATEMENT_EXECUTE|[116]
17:42:11.0 (13271248)|VARIABLE_SCOPE_BEGIN|[116]|mapResult|Map<String,ANY>|true|false
17:42:11.0 (13309453)|VARIABLE_ASSIGNMENT|[116]|mapResult|null|
17:42:11.0 (13312868)|STATEMENT_EXECUTE|[118]
17:42:11.0 (18246191)|HEAP_ALLOCATE|[118]|Bytes:11
17:42:11.0 (18271305)|HEAP_ALLOCATE|[118]|Bytes:2
17:42:11.0 (18300631)|METHOD_ENTRY|[11]|01pDK000007Q9UQ|ClientRest.ClientRest()
17:42:11.0 (18308496)|STATEMENT_EXECUTE|[11]
17:42:11.0 (18314439)|STATEMENT_EXECUTE|[11]
17:42:11.0 (18321933)|METHOD_EXIT|[11]|ClientRest
17:42:11.0 (18332151)|HEAP_ALLOCATE|[118]|Bytes:8
17:42:11.0 (18337011)|HEAP_ALLOCATE|[118]|Bytes:28
17:42:11.0 (18366660)|CONSTRUCTOR_ENTRY|[118]|01pDK000007Q9UQ|<init>(String)|ClientRest
17:42:11.0 (18408042)|VARIABLE_SCOPE_BEGIN|[15]|this|ClientRest|true|false
17:42:11.0 (18506724)|VARIABLE_ASSIGNMENT|[15]|this|{}|0x71ef2d48
17:42:11.0 (18513454)|VARIABLE_SCOPE_BEGIN|[15]|record|String|false|false
17:42:11.0 (18529939)|VARIABLE_ASSIGNMENT|[15]|record|"EstafetaCustShipment (8 more) ..."
17:42:11.0 (18534254)|STATEMENT_EXECUTE|[11]
17:42:11.0 (18535501)|STATEMENT_EXECUTE|[13]
17:42:11.0 (18541339)|HEAP_ALLOCATE|[17]|Bytes:6
17:42:11.0 (20306853)|STATEMENT_EXECUTE|[15]
17:42:11.0 (20310166)|STATEMENT_EXECUTE|[17]
17:42:11.0 (25840948)|VARIABLE_ASSIGNMENT|[17]|this.microservicio|{"Authenticated_UserID__c":"y6xoXlLjl8BeizUIRBFH","Label":"EstafetaCustShipment (8 more) ...","MasterLabel":"EstafetaCustShipment (8 more) ...","Language":"es","Client_ID__c":"l71718b52bdb34493cb2 (14 more) ...","DeveloperName":"EstafetaCustShipment (8 more) ...","Provision_Key__c":"WSCTrakingUser_pro","Client_Secret__c":"928c4f5631ca4a31b85e (12 more) ...","IsProtected":false,"Section__c":"500","SystemModstamp":"2023-02-07T16:41:16.000Z","ManageableState":"U","QualifiedApiName":"EstafetaCustShipment (8 more) ...","Id":"m08DK000000D4g1"}|0x71ef2d48
17:42:11.0 (25887197)|CONSTRUCTOR_EXIT|[118]|01pDK000007Q9UQ|<init>(String)|ClientRest
17:42:11.0 (25921678)|VARIABLE_SCOPE_BEGIN|[118]|client|ClientRest|true|false
17:42:11.0 (25988370)|VARIABLE_ASSIGNMENT|[118]|client|{"microservicio":"0x1675e203"}|0x71ef2d48
17:42:11.0 (25994115)|STATEMENT_EXECUTE|[120]
17:42:11.0 (31822947)|VARIABLE_SCOPE_BEGIN|[15]|ConstantsEstafetaService.ESTAFETA_ENDPOINT_CUSTSHIPMENTTRACKING|String|false|true
17:42:11.0 (31853029)|VARIABLE_SCOPE_BEGIN|[14]|ConstantsEstafetaService.ESTAFETA_ENDPOINT_TOKEN|String|false|true
17:42:11.0 (31858982)|VARIABLE_SCOPE_BEGIN|[38]|ConstantsEstafetaService.ESTAFETA_ENDPOINT_TOKEN_V2|String|false|true
17:42:11.0 (31863670)|VARIABLE_SCOPE_BEGIN|[18]|ConstantsEstafetaService.ESTAFETA_FILTERTYPE|String|false|true
17:42:11.0 (31868462)|VARIABLE_SCOPE_BEGIN|[19]|ConstantsEstafetaService.ESTAFETA_HISTORYTYPE|String|false|true
17:42:11.0 (31873161)|VARIABLE_SCOPE_BEGIN|[16]|ConstantsEstafetaService.ESTAFETA_SEARCHTYPE|String|false|true
17:42:11.0 (31877911)|VARIABLE_SCOPE_BEGIN|[17]|ConstantsEstafetaService.ESTAFETA_WAYBILLTYPE|String|false|true
17:42:11.0 (31882480)|VARIABLE_SCOPE_BEGIN|[30]|ConstantsEstafetaService.HTTP_ACCEPT|String|false|true
17:42:11.0 (31887085)|VARIABLE_SCOPE_BEGIN|[32]|ConstantsEstafetaService.HTTP_APIKEY|String|false|true
