67.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:42:08.0 (235814)|USER_INFO|[EXTERNAL]|0050v0000034lag|albeltransa@falabella.com.mx.admin.uat|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
17:42:08.0 (274820)|EXECUTION_STARTED
17:42:08.0 (282674)|CODE_UNIT_STARTED|[EXTERNAL]|apex://MicroServicioCustomerData/ACTION$consulta_Customer_Data
17:42:08.0 (3960292)|CODE_UNIT_STARTED|[EXTERNAL]|01p0v000003GxUV|MicroServicioCustomerData.consulta_Customer_Data(String)
17:42:08.0 (4159576)|VARIABLE_SCOPE_BEGIN|[20]|MicroServicioCustomerData.GETDATA|String|false|true
17:42:08.0 (4205204)|VARIABLE_SCOPE_BEGIN|[18]|MicroServicioCustomerData.POST|String|false|true
17:42:08.0 (4324783)|HEAP_ALLOCATE|[95]|Bytes:3
17:42:08.0 (4369994)|HEAP_ALLOCATE|[100]|Bytes:152
17:42:08.0 (4390061)|HEAP_ALLOCATE|[417]|Bytes:408
17:42:08.0 (4406032)|HEAP_ALLOCATE|[430]|Bytes:408
17:42:08.0 (4425480)|HEAP_ALLOCATE|[317]|Bytes:6
17:42:08.0 (4436748)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:42:08.0 (4440565)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
17:42:08.0 (4442386)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:15
17:42:08.0 (4499175)|VARIABLE_ASSIGNMENT|[EXTERNAL]|MicroServicioCustomerData.GETDATA|"client/get/data"
17:42:08.0 (4502414)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:42:08.0 (4506110)|VARIABLE_ASSIGNMENT|[EXTERNAL]|MicroServicioCustomerData.POST|"POST"
