56.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:00:01.0 (222526)|USER_INFO|[EXTERNAL]|0051N000005gvau|etrevinofalabella@izeicg.com.uat|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
17:00:01.0 (271303)|EXECUTION_STARTED
17:00:01.0 (284457)|CODE_UNIT_STARTED|[EXTERNAL]|01pDK00000AKh3n|BatchUpdateCasesEmboce
17:00:01.0 (1298133)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:00:01.0 (1352976)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:00:01.0 (1368064)|METHOD_ENTRY|[11]|01pDK00000AKh3n|BatchUpdateCasesEmboce.BatchUpdateCasesEmboce()
17:00:01.0 (1373852)|STATEMENT_EXECUTE|[11]
17:00:01.0 (1379361)|STATEMENT_EXECUTE|[11]
17:00:01.0 (1383943)|METHOD_EXIT|[11]|BatchUpdateCasesEmboce
17:00:01.0 (1387377)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:24
17:00:01.0 (1390056)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:00:01.0 (1451231)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:32
17:00:01.0 (1458305)|VARIABLE_SCOPE_BEGIN|[52]|this|BatchUpdateCasesEmboce|true|false
17:00:01.0 (1546992)|VARIABLE_ASSIGNMENT|[52]|this|{"estatus":"CONFIRMADO","lstReturns":"0x27744781","lstStatusCanceledCases":"0x4323d02d","lstStatusClosedCases":"0x166a9c76","mapErrors":"0x579fbe18"}|0x47cb5a20
17:00:01.0 (1551342)|VARIABLE_SCOPE_BEGIN|[52]|BC|Database.BatchableContext|true|false
17:00:01.0 (1688995)|VARIABLE_ASSIGNMENT|[52]|BC|{"childJobId":"707Rt000024QhJaIAK","jobId":"707Rt000024QqsWIAS"}|0x18e129a2
17:00:01.0 (1694641)|VARIABLE_SCOPE_BEGIN|[52]|scope|List<Case>|true|false
17:00:01.0 (1708856)|VARIABLE_ASSIGNMENT|[52]|scope|"List of size 7 too large to display"|0x2612ff10
17:00:01.0 (1718862)|STATEMENT_EXECUTE|[52]
17:00:01.0 (1720192)|STATEMENT_EXECUTE|[54]
17:00:01.0 (1733104)|HEAP_ALLOCATE|[54]|Bytes:4
17:00:01.0 (1747077)|VARIABLE_SCOPE_BEGIN|[54]|mapCaseIdWayBill|Map<String,String>|true|false
17:00:01.0 (1760322)|VARIABLE_ASSIGNMENT|[54]|mapCaseIdWayBill|{}|0x227e6016
17:00:01.0 (1764487)|STATEMENT_EXECUTE|[55]
17:00:01.0 (1768312)|HEAP_ALLOCATE|[55]|Bytes:4
17:00:01.0 (1771929)|VARIABLE_SCOPE_BEGIN|[55]|mapWayBillStatusSPA|Map<String,String>|true|false
17:00:01.0 (1778647)|VARIABLE_ASSIGNMENT|[55]|mapWayBillStatusSPA|{}|0x655de452
17:00:01.0 (1782786)|STATEMENT_EXECUTE|[57]
17:00:01.0 (1785942)|HEAP_ALLOCATE|[57]|Bytes:4
17:00:01.0 (1789100)|VARIABLE_SCOPE_BEGIN|[57]|mapWayBillReceiverName|Map<String,String>|true|false
17:00:01.0 (1794943)|VARIABLE_ASSIGNMENT|[57]|mapWayBillReceiverName|{}|0x78daa883
17:00:01.0 (2219711)|HEAP_ALLOCATE|[68]|Bytes:5
17:00:01.0 (2254244)|HEAP_ALLOCATE|[74]|Bytes:5
17:00:01.0 (2263214)|HEAP_ALLOCATE|[82]|Bytes:7
17:00:01.0 (2279245)|HEAP_ALLOCATE|[59]|Bytes:5
17:00:01.0 (2336096)|HEAP_ALLOCATE|[59]|Bytes:20
17:00:01.0 (2345416)|VARIABLE_SCOPE_BEGIN|[59]|caseEmboce|Case|true|false
17:00:01.0 (2453312)|VARIABLE_ASSIGNMENT|[59]|caseEmboce|{"Status":"Asignada","Num_Folio_a_Consultar__c":"80559033806117086383 (2 more) ...","Id":"500DK000008REIZYA4","Estatus_final_de_tarjeta__c":"EN_TRANSITO"}|0x12db9d22
17:00:01.0 (2462764)|STATEMENT_EXECUTE|[59]
17:00:01.0 (2542272)|STATEMENT_EXECUTE|[61]
17:00:01.0 (2543416)|STATEMENT_EXECUTE|[63]
17:00:01.0 (2603474)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
17:00:01.0 (2616985)|HEAP_ALLOCATE|[59]|Bytes:5
17:00:01.0 (2623955)|HEAP_ALLOCATE|[59]|Bytes:20
17:00:01.0 (2628239)|VARIABLE_SCOPE_BEGIN|[59]|caseEmboce|Case|true|false
17:00:01.0 (2666032)|VARIABLE_ASSIGNMENT|[59]|caseEmboce|{"Status":"Asignada","Num_Folio_a_Consultar__c":"20559033806117086366 (2 more) ...","Id":"500DK000008REr7YAG","Estatus_final_de_tarjeta__c":"EN_TRANSITO"}|0x7fbebaca
17:00:01.0 (2671873)|STATEMENT_EXECUTE|[59]
17:00:01.0 (2685865)|STATEMENT_EXECUTE|[61]
17:00:01.0 (2687194)|STATEMENT_EXECUTE|[63]
17:00:01.0 (2697992)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
17:00:01.0 (2705936)|HEAP_ALLOCATE|[59]|Bytes:5
17:00:01.0 (2711861)|HEAP_ALLOCATE|[59]|Bytes:20
17:00:01.0 (2715799)|VARIABLE_SCOPE_BEGIN|[59]|caseEmboce|Case|true|false
