52.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:10:00.0 (192394)|USER_INFO|[EXTERNAL]|0051N000005gvau|etrevinofalabella@izeicg.com.uat|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
17:10:00.0 (236577)|EXECUTION_STARTED
17:10:00.0 (249019)|CODE_UNIT_STARTED|[EXTERNAL]|01p0v000003h7p3|BatchUpdateCaseGestorBO
17:10:00.0 (1164299)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:10:00.0 (1210028)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:10:00.0 (1222999)|METHOD_ENTRY|[11]|01p0v000003h7p3|BatchUpdateCaseGestorBO.BatchUpdateCaseGestorBO()
17:10:00.0 (1228739)|STATEMENT_EXECUTE|[11]
17:10:00.0 (1233927)|STATEMENT_EXECUTE|[11]
17:10:00.0 (1239224)|METHOD_EXIT|[11]|BatchUpdateCaseGestorBO
17:10:00.0 (1244693)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
17:10:00.0 (1248173)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:10:00.0 (1268604)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:24
17:10:00.0 (1276516)|VARIABLE_SCOPE_BEGIN|[42]|this|BatchUpdateCaseGestorBO|true|false
17:10:00.0 (1372111)|VARIABLE_ASSIGNMENT|[42]|this|{"idQueueFraudesCredito":"00G0v000002erN3EAI","intCallMSAttempts":3,"lstRecordTypesBO":"0x6b1dbbd3","lstRequestsWithError":"0x454efc26"}|0x4c780d42
17:10:00.0 (1376660)|VARIABLE_SCOPE_BEGIN|[42]|BC|Database.BatchableContext|true|false
17:10:00.0 (1501618)|VARIABLE_ASSIGNMENT|[42]|BC|{"childJobId":"707Rt000024QvdkIAC","jobId":"707Rt000024Qj9AIAS"}|0x5550d73f
17:10:00.0 (1506392)|VARIABLE_SCOPE_BEGIN|[42]|scope|List<Case>|true|false
