67.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:15:36.1 (1351262)|USER_INFO|[EXTERNAL]|0051N000005gvau|etrevinofalabella@izeicg.com.uat|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
17:15:36.1 (1425771)|EXECUTION_STARTED
17:15:36.1 (1461207)|CODE_UNIT_STARTED|[EXTERNAL]|apex://MicroServicioBloqueoDeTarjeta/ACTION$cardLock
17:15:36.1 (7977598)|CODE_UNIT_STARTED|[EXTERNAL]|01p0v000003UaNX|MicroServicioBloqueoDeTarjeta.cardLock(Map<String,String>)
17:15:36.1 (8198247)|VARIABLE_SCOPE_BEGIN|[18]|MicroServicioBloqueoDeTarjeta.BLOQUEOTARJETA|String|false|true
17:15:36.1 (8247930)|VARIABLE_SCOPE_BEGIN|[17]|MicroServicioBloqueoDeTarjeta.POST|String|false|true
17:15:36.1 (8402478)|HEAP_ALLOCATE|[95]|Bytes:3
17:15:36.1 (8463080)|HEAP_ALLOCATE|[100]|Bytes:152
17:15:36.1 (8482361)|HEAP_ALLOCATE|[417]|Bytes:408
17:15:36.1 (8498021)|HEAP_ALLOCATE|[430]|Bytes:408
17:15:36.1 (8526147)|HEAP_ALLOCATE|[317]|Bytes:6
17:15:36.1 (8541802)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:33
17:15:36.1 (8546472)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:13
17:15:36.1 (8569827)|METHOD_ENTRY|[14]|01p0v000003UaNX|MicroServicioBloqueoDeTarjeta.MicroServicioBloqueoDeTarjeta()
17:15:36.1 (8590086)|STATEMENT_EXECUTE|[14]
17:15:36.1 (8598725)|STATEMENT_EXECUTE|[14]
17:15:36.1 (8600433)|STATEMENT_EXECUTE|[17]
