67.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:15:18.1 (1224593)|USER_INFO|[EXTERNAL]|0051N000005gvau|etrevinofalabella@izeicg.com.uat|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
17:15:18.1 (1273593)|EXECUTION_STARTED
17:15:18.1 (1294681)|CODE_UNIT_STARTED|[EXTERNAL]|apex://MicroServicioBloqueoDeTarjeta/ACTION$cardLock
17:15:18.1 (6184150)|CODE_UNIT_STARTED|[EXTERNAL]|01p0v000003UaNX|MicroServicioBloqueoDeTarjeta.cardLock(Map<String,String>)
17:15:18.1 (6470968)|VARIABLE_SCOPE_BEGIN|[18]|MicroServicioBloqueoDeTarjeta.BLOQUEOTARJETA|String|false|true
17:15:18.1 (6556209)|VARIABLE_SCOPE_BEGIN|[17]|MicroServicioBloqueoDeTarjeta.POST|String|false|true
17:15:18.1 (6657782)|HEAP_ALLOCATE|[95]|Bytes:3
17:15:18.1 (6691988)|HEAP_ALLOCATE|[100]|Bytes:152
17:15:18.1 (6705537)|HEAP_ALLOCATE|[417]|Bytes:408
17:15:18.1 (6715913)|HEAP_ALLOCATE|[430]|Bytes:408
17:15:18.1 (6734966)|HEAP_ALLOCATE|[317]|Bytes:6
17:15:18.1 (6744411)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:33
17:15:18.1 (6747813)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:13
17:15:18.1 (6766864)|METHOD_ENTRY|[14]|01p0v000003UaNX|MicroServicioBloqueoDeTarjeta.MicroServicioBloqueoDeTarjeta()
17:15:18.1 (6809790)|STATEMENT_EXECUTE|[14]
17:15:18.1 (6835825)|STATEMENT_EXECUTE|[14]
17:15:18.1 (6837779)|STATEMENT_EXECUTE|[17]
17:15:18.1 (6840093)|HEAP_ALLOCATE|[17]|Bytes:4
17:15:18.1 (6953813)|VARIABLE_ASSIGNMENT|[17]|MicroServicioBloqueoDeTarjeta.POST|"POST"
17:15:18.1 (6961448)|STATEMENT_EXECUTE|[18]
17:15:18.1 (6963097)|HEAP_ALLOCATE|[18]|Bytes:9
17:15:18.1 (6974187)|VARIABLE_ASSIGNMENT|[18]|MicroServicioBloqueoDeTarjeta.BLOQUEOTARJETA|"block/tdc"
17:15:18.1 (6982275)|METHOD_EXIT|[14]|MicroServicioBloqueoDeTarjeta
17:15:18.1 (7008945)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:40
17:15:18.1 (7026716)|VARIABLE_SCOPE_BEGIN|[101]|mapRequestFields|Map<String,String>|true|false
17:15:18.1 (7243204)|VARIABLE_ASSIGNMENT|[101]|mapRequestFields|"Map of size 9 too large to display"|0x3dddc871
17:15:18.1 (7252575)|STATEMENT_EXECUTE|[101]
17:15:18.1 (7254072)|STATEMENT_EXECUTE|[103]
17:15:18.1 (7260756)|HEAP_ALLOCATE|[103]|Bytes:4
17:15:18.1 (7269757)|VARIABLE_SCOPE_BEGIN|[103]|result|Map<String,ANY>|true|false
17:15:18.1 (7703364)|VARIABLE_ASSIGNMENT|[103]|result|{}|0x90b93c2
17:15:18.1 (7707346)|STATEMENT_EXECUTE|[104]
17:15:18.1 (7724430)|HEAP_ALLOCATE|[68]|Bytes:5
17:15:18.1 (7745113)|HEAP_ALLOCATE|[74]|Bytes:5
17:15:18.1 (7750030)|HEAP_ALLOCATE|[82]|Bytes:7
17:15:18.1 (7756546)|VARIABLE_SCOPE_BEGIN|[104]|success|Boolean|false|false
17:15:18.1 (8031463)|HEAP_ALLOCATE|[104]|Bytes:5
17:15:18.1 (8043364)|VARIABLE_ASSIGNMENT|[104]|success|false
17:15:18.1 (8048667)|STATEMENT_EXECUTE|[106]
