52.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:20:02.0 (189673)|USER_INFO|[EXTERNAL]|0051N000005gvau|etrevinofalabella@izeicg.com.uat|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
17:20:02.0 (230842)|EXECUTION_STARTED
17:20:02.0 (241635)|CODE_UNIT_STARTED|[EXTERNAL]|01p0v000003h7p3|BatchUpdateCaseGestorBO
17:20:02.0 (861134)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:20:02.0 (907360)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:20:02.0 (919291)|METHOD_ENTRY|[11]|01p0v000003h7p3|BatchUpdateCaseGestorBO.BatchUpdateCaseGestorBO()
17:20:02.0 (924908)|STATEMENT_EXECUTE|[11]
17:20:02.0 (931681)|STATEMENT_EXECUTE|[11]
17:20:02.0 (936163)|METHOD_EXIT|[11]|BatchUpdateCaseGestorBO
17:20:02.0 (939634)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
17:20:02.0 (941924)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:20:02.0 (958001)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:24
17:20:02.0 (964346)|VARIABLE_SCOPE_BEGIN|[42]|this|BatchUpdateCaseGestorBO|true|false
17:20:02.0 (1040299)|VARIABLE_ASSIGNMENT|[42]|this|{"idQueueFraudesCredito":"00G0v000002erN3EAI","intCallMSAttempts":3,"lstRecordTypesBO":"0x60fff301","lstRequestsWithError":"0x3d1b5a48"}|0x33e983e4
17:20:02.0 (1049263)|VARIABLE_SCOPE_BEGIN|[42]|BC|Database.BatchableContext|true|false
17:20:02.0 (1186057)|VARIABLE_ASSIGNMENT|[42]|BC|{"childJobId":"707Rt000024QpAeIAK","jobId":"707Rt000024Qgm3IAC"}|0x5244947e
17:20:02.0 (1192149)|VARIABLE_SCOPE_BEGIN|[42]|scope|List<Case>|true|false
17:20:02.0 (1346633)|VARIABLE_ASSIGNMENT|[42]|scope|[{"Solicitud_Repetida__c":true,"Id":"5000v000007ccTDAAY","Total_a_Condonar__c":0.0,"ID_Solicitud__c":"300001111"},{"Solicitud_Repetida__c":true,"Id":"5000v000007eeByAAI","Total_a_Condonar__c":0.0,"ID_Solicitud__c":"300001739"},{"ID_Solicitud__c":"300001720","Solicitud_Repetida__c":false,"Id":"5000v000007eiy1AAA"},{"Solicitud_Repetida__c":false,"Id":"500DK000008RyrCYAS","Total_a_Condonar__c":0.0,"ID_Solicitud__c":"566"},{"Solicitud_Repetida__c":false,"Id":"500Rt000006FdBnIAK","Total_a_Condonar__c":0.0,"ID_Solicitud__c":"300000503"}]|0x34aee564
17:20:02.0 (1361531)|STATEMENT_EXECUTE|[42]
17:20:02.0 (1363359)|STATEMENT_EXECUTE|[44]
17:20:02.0 (1371955)|HEAP_ALLOCATE|[44]|Bytes:4
17:20:02.0 (1409430)|VARIABLE_SCOPE_BEGIN|[44]|lstIdSolicitud|List<String>|true|false
17:20:02.0 (1431806)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:20:02.0 (1438190)|VARIABLE_ASSIGNMENT|[44]|lstIdSolicitud|[]|0x2b566f0b
17:20:02.0 (1441092)|STATEMENT_EXECUTE|[46]
17:20:02.0 (4877720)|HEAP_ALLOCATE|[46]|Bytes:4
17:20:02.0 (4913700)|VARIABLE_SCOPE_BEGIN|[46]|mapResponseGestor|Map<String,SolicitudGestorJSON>|true|false
17:20:02.0 (4933743)|VARIABLE_ASSIGNMENT|[46]|mapResponseGestor|{}|0x5696c28
17:20:02.0 (4939583)|STATEMENT_EXECUTE|[47]
17:20:02.0 (4945785)|HEAP_ALLOCATE|[47]|Bytes:4
17:20:02.0 (4949925)|VARIABLE_SCOPE_BEGIN|[47]|mapSolicitudRepetida|Map<String,Boolean>|true|false
17:20:02.0 (4954495)|VARIABLE_ASSIGNMENT|[47]|mapSolicitudRepetida|{}|0x53969aee
17:20:02.0 (4957083)|STATEMENT_EXECUTE|[49]
17:20:02.0 (5166356)|HEAP_ALLOCATE|[49]|Bytes:4
17:20:02.0 (5213829)|VARIABLE_SCOPE_BEGIN|[49]|lstErrorLog|List<Error_Log__c>|true|false
17:20:02.0 (5220210)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:20:02.0 (5227811)|VARIABLE_ASSIGNMENT|[49]|lstErrorLog|[]|0x567f1823
17:20:02.0 (5502809)|HEAP_ALLOCATE|[68]|Bytes:5
17:20:02.0 (5523592)|HEAP_ALLOCATE|[74]|Bytes:5
17:20:02.0 (5530440)|HEAP_ALLOCATE|[82]|Bytes:7
17:20:02.0 (5557854)|HEAP_ALLOCATE|[51]|Bytes:5
17:20:02.0 (5591496)|HEAP_ALLOCATE|[51]|Bytes:20
17:20:02.0 (5597848)|VARIABLE_SCOPE_BEGIN|[51]|caso|Case|true|false
17:20:02.0 (5661514)|VARIABLE_ASSIGNMENT|[51]|caso|{"Solicitud_Repetida__c":true,"Id":"5000v000007ccTDAAY","Total_a_Condonar__c":0.0,"ID_Solicitud__c":"300001111"}|0x4c3ed34c
17:20:02.0 (5667115)|STATEMENT_EXECUTE|[51]
17:20:02.0 (5668708)|STATEMENT_EXECUTE|[53]
17:20:02.0 (7482948)|HEAP_ALLOCATE|[53]|Bytes:12
17:20:02.0 (7493879)|HEAP_ALLOCATE|[53]|Bytes:17
17:20:02.0 (7511068)|METHOD_ENTRY|[13]|01p0v000003adbT|ActualizarRestanteTicketRiesgoGestor.ActualizarRestanteTicketRiesgoGestor()
17:20:02.0 (7515888)|STATEMENT_EXECUTE|[13]
17:20:02.0 (7520583)|STATEMENT_EXECUTE|[13]
17:20:02.0 (7525204)|METHOD_EXIT|[13]|ActualizarRestanteTicketRiesgoGestor
17:20:02.0 (9605188)|HEAP_ALLOCATE|[53]|Bytes:8
17:20:02.0 (9635023)|CONSTRUCTOR_ENTRY|[53]|01p0v000003adbT|<init>()|ActualizarRestanteTicketRiesgoGestor
17:20:02.0 (9665769)|VARIABLE_SCOPE_BEGIN|[17]|this|ActualizarRestanteTicketRiesgoGestor|true|false
17:20:02.0 (9701899)|VARIABLE_ASSIGNMENT|[17]|this|{}|0x40bffb79
17:20:02.0 (9708168)|STATEMENT_EXECUTE|[13]
17:20:02.0 (9709392)|STATEMENT_EXECUTE|[15]
17:20:02.0 (10668604)|STATEMENT_EXECUTE|[17]
17:20:02.0 (10670509)|STATEMENT_EXECUTE|[19]
17:20:02.0 (10776458)|HEAP_ALLOCATE|[19]|Bytes:51
17:20:02.0 (10793625)|HEAP_ALLOCATE|[19]|Bytes:51
17:20:02.0 (10798507)|HEAP_ALLOCATE|[19]|Bytes:1
17:20:02.0 (10814947)|HEAP_ALLOCATE|[19]|Bytes:36
17:20:02.0 (10819755)|VARIABLE_SCOPE_BEGIN|[19]|currentClassName|String|false|false
17:20:02.0 (10831845)|VARIABLE_ASSIGNMENT|[19]|currentClassName|"ActualizarRestanteTi (16 more) ..."
17:20:02.0 (10834722)|STATEMENT_EXECUTE|[20]
17:20:02.0 (10839541)|HEAP_ALLOCATE|[20]|Bytes:48
17:20:02.0 (10844727)|HEAP_ALLOCATE|[20]|Bytes:63
17:20:02.0 (10859059)|METHOD_ENTRY|[1]|01p0v000003adbY|ClienteMicroServiciosGestor.ClienteMicroServiciosGestor()
17:20:02.0 (10861926)|STATEMENT_EXECUTE|[1]
17:20:02.0 (10864833)|STATEMENT_EXECUTE|[1]
17:20:02.0 (10867833)|METHOD_EXIT|[1]|ClienteMicroServiciosGestor
17:20:02.0 (10933437)|HEAP_ALLOCATE|[20]|Bytes:104
17:20:02.0 (10945869)|CONSTRUCTOR_ENTRY|[20]|01p0v000003adbY|<init>()|ClienteMicroServiciosGestor
17:20:02.0 (10957129)|VARIABLE_SCOPE_BEGIN|[37]|this|ClienteMicroServiciosGestor|true|false
17:20:02.0 (10988666)|VARIABLE_ASSIGNMENT|[37]|this|{}|0x49fe9d5f
17:20:02.0 (10993264)|STATEMENT_EXECUTE|[1]
17:20:02.0 (10994187)|STATEMENT_EXECUTE|[2]
17:20:02.0 (10995925)|HEAP_ALLOCATE|[2]|Bytes:33
17:20:02.0 (11006259)|VARIABLE_ASSIGNMENT|[2]|this.BASE_URL|"https://cmr-mx-solic (13 more) ..."|0x49fe9d5f
17:20:02.0 (11009481)|STATEMENT_EXECUTE|[3]
17:20:02.0 (11010538)|HEAP_ALLOCATE|[3]|Bytes:10
17:20:02.0 (11014893)|VARIABLE_ASSIGNMENT|[3]|this.URI|".fif.tech/"|0x49fe9d5f
17:20:02.0 (11017303)|STATEMENT_EXECUTE|[6]
17:20:02.0 (11018637)|HEAP_ALLOCATE|[6]|Bytes:16
17:20:02.0 (11021931)|VARIABLE_ASSIGNMENT|[6]|this.APP_JSON|"application/json"|0x49fe9d5f
17:20:02.0 (11024152)|STATEMENT_EXECUTE|[7]
17:20:02.0 (11025063)|HEAP_ALLOCATE|[7]|Bytes:12
17:20:02.0 (11028357)|VARIABLE_ASSIGNMENT|[7]|this.CONT_TYPE|"Content-Type"|0x49fe9d5f
17:20:02.0 (11030521)|STATEMENT_EXECUTE|[8]
17:20:02.0 (11032131)|HEAP_ALLOCATE|[8]|Bytes:4
17:20:02.0 (11036459)|VARIABLE_ASSIGNMENT|[8]|this.TIME_OUT|120000|0x49fe9d5f
17:20:02.0 (11038808)|STATEMENT_EXECUTE|[9]
17:20:02.0 (11039827)|HEAP_ALLOCATE|[9]|Bytes:11
17:20:02.0 (11043260)|VARIABLE_ASSIGNMENT|[9]|this.endpoint|"solicitudes"|0x49fe9d5f
17:20:02.0 (11045378)|STATEMENT_EXECUTE|[10]
17:20:02.0 (11046548)|HEAP_ALLOCATE|[10]|Bytes:3
17:20:02.0 (11049927)|VARIABLE_ASSIGNMENT|[10]|this.method|"GET"|0x49fe9d5f
17:20:02.0 (11052066)|STATEMENT_EXECUTE|[11]
17:20:02.0 (11053143)|HEAP_ALLOCATE|[11]|Bytes:2
17:20:02.0 (11056468)|VARIABLE_ASSIGNMENT|[11]|this.version|"v1"|0x49fe9d5f
17:20:02.0 (11058687)|STATEMENT_EXECUTE|[12]
17:20:02.0 (11059626)|HEAP_ALLOCATE|[12]|Bytes:9
17:20:02.0 (11062803)|VARIABLE_ASSIGNMENT|[12]|this.MDW_CS_CHANNEL|"x-channel"|0x49fe9d5f
17:20:02.0 (11065115)|STATEMENT_EXECUTE|[13]
17:20:02.0 (11066017)|HEAP_ALLOCATE|[13]|Bytes:10
17:20:02.0 (11069233)|VARIABLE_ASSIGNMENT|[13]|this.MDW_CS_COMMERCE|"x-commerce"|0x49fe9d5f
17:20:02.0 (11071403)|STATEMENT_EXECUTE|[14]
17:20:02.0 (11072294)|HEAP_ALLOCATE|[14]|Bytes:9
17:20:02.0 (11075408)|VARIABLE_ASSIGNMENT|[14]|this.MDW_CS_COUNTRY|"x-country"|0x49fe9d5f
17:20:02.0 (11077508)|STATEMENT_EXECUTE|[15]
17:20:02.0 (11085082)|HEAP_ALLOCATE|[15]|Bytes:9
17:20:02.0 (11089255)|VARIABLE_ASSIGNMENT|[15]|this.API_KEY|"x-api-key"|0x49fe9d5f
17:20:02.0 (11091463)|STATEMENT_EXECUTE|[16]
17:20:02.0 (11092313)|STATEMENT_EXECUTE|[17]
17:20:02.0 (11093368)|HEAP_ALLOCATE|[17]|Bytes:23
17:20:02.0 (11097538)|VARIABLE_ASSIGNMENT|[17]|this.microServicio|"ConsultaSolicitudGes (3 more) ..."|0x49fe9d5f
17:20:02.0 (11099826)|STATEMENT_EXECUTE|[21]
17:20:02.0 (11100912)|HEAP_ALLOCATE|[21]|Bytes:10
17:20:02.0 (11104355)|VARIABLE_ASSIGNMENT|[21]|this.GRANT_TYPE|"grant_type"|0x49fe9d5f
17:20:02.0 (11106423)|STATEMENT_EXECUTE|[22]
17:20:02.0 (11107499)|HEAP_ALLOCATE|[22]|Bytes:8
17:20:02.0 (11110803)|VARIABLE_ASSIGNMENT|[22]|this.PASSWORD|"password"|0x49fe9d5f
17:20:02.0 (11113010)|STATEMENT_EXECUTE|[23]
17:20:02.0 (11114083)|HEAP_ALLOCATE|[23]|Bytes:9
17:20:02.0 (11117118)|VARIABLE_ASSIGNMENT|[23]|this.CLIENT_ID|"client_id"|0x49fe9d5f
17:20:02.0 (11119277)|STATEMENT_EXECUTE|[24]
17:20:02.0 (11120227)|HEAP_ALLOCATE|[24]|Bytes:13
17:20:02.0 (11123483)|VARIABLE_ASSIGNMENT|[24]|this.CLIENT_SECRET|"client_secret"|0x49fe9d5f
17:20:02.0 (11125603)|STATEMENT_EXECUTE|[25]
17:20:02.0 (11126513)|HEAP_ALLOCATE|[25]|Bytes:13
17:20:02.0 (11130856)|VARIABLE_ASSIGNMENT|[25]|this.PROVISION_KEY|"provision_key"|0x49fe9d5f
17:20:02.0 (11133003)|STATEMENT_EXECUTE|[26]
17:20:02.0 (11133944)|HEAP_ALLOCATE|[26]|Bytes:20
17:20:02.0 (11137083)|VARIABLE_ASSIGNMENT|[26]|this.AUTHENTICATED_USERID|"authenticated_userid"|0x49fe9d5f
17:20:02.0 (11139532)|STATEMENT_EXECUTE|[27]
17:20:02.0 (11140531)|HEAP_ALLOCATE|[27]|Bytes:12
17:20:02.0 (11143597)|VARIABLE_ASSIGNMENT|[27]|this.AT|"access_token"|0x49fe9d5f
