67.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
12:21:20.0 (229726)|USER_INFO|[EXTERNAL]|0051N000005gvau|etrevinofalabella@izeicg.com.uat|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
12:21:20.0 (264599)|EXECUTION_STARTED
12:21:20.0 (272939)|CODE_UNIT_STARTED|[EXTERNAL]|apex://AuthenticateCustomerController/ACTION$obtenerProductosCliente
12:21:20.0 (3506160)|CODE_UNIT_STARTED|[EXTERNAL]|01p1N00000DazLB|AuthenticateCustomerController.obtenerProductosCliente(String)
12:21:20.0 (3668744)|VARIABLE_SCOPE_BEGIN|[19]|AuthenticateCustomerController.BE|String|false|true
12:21:20.0 (3804465)|HEAP_ALLOCATE|[95]|Bytes:3
12:21:20.0 (3842128)|HEAP_ALLOCATE|[100]|Bytes:152
12:21:20.0 (3855329)|HEAP_ALLOCATE|[417]|Bytes:408
12:21:20.0 (3865500)|HEAP_ALLOCATE|[430]|Bytes:408
12:21:20.0 (3884037)|HEAP_ALLOCATE|[317]|Bytes:6
12:21:20.0 (3893942)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:13
12:21:20.0 (3896742)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:70
12:21:20.0 (3898365)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:88
12:21:20.0 (3900458)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:2
12:21:20.0 (3951850)|VARIABLE_ASSIGNMENT|[EXTERNAL]|AuthenticateCustomerController.BE|"BE"
12:21:20.0 (3961724)|METHOD_ENTRY|[17]|01p1N00000DazLB|AuthenticateCustomerController.AuthenticateCustomerController()
12:21:20.0 (3967048)|STATEMENT_EXECUTE|[17]
12:21:20.0 (3972060)|STATEMENT_EXECUTE|[17]
12:21:20.0 (3990536)|HEAP_ALLOCATE|[68]|Bytes:5
12:21:20.0 (4014280)|HEAP_ALLOCATE|[74]|Bytes:5
12:21:20.0 (4020007)|HEAP_ALLOCATE|[82]|Bytes:7
12:21:20.0 (4172573)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
