67.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
12:21:24.0 (263689)|USER_INFO|[EXTERNAL]|0051N000005gvau|etrevinofalabella@izeicg.com.uat|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
12:21:24.0 (303267)|EXECUTION_STARTED
12:21:24.0 (313097)|CODE_UNIT_STARTED|[EXTERNAL]|apex://MicroServicioGetUser/ACTION$consulta_Get_User
12:21:24.0 (3479821)|CODE_UNIT_STARTED|[EXTERNAL]|01p0v000003Gv5s|MicroServicioGetUser.consulta_Get_User(String, String)
12:21:24.0 (3695796)|VARIABLE_SCOPE_BEGIN|[20]|MicroServicioGetUser.GETUSER|String|false|true
12:21:24.0 (3746467)|VARIABLE_SCOPE_BEGIN|[18]|MicroServicioGetUser.POST|String|false|true
12:21:24.0 (3865812)|HEAP_ALLOCATE|[95]|Bytes:3
12:21:24.0 (3912440)|HEAP_ALLOCATE|[100]|Bytes:152
12:21:24.0 (3927117)|HEAP_ALLOCATE|[417]|Bytes:408
12:21:24.0 (3937461)|HEAP_ALLOCATE|[430]|Bytes:408
12:21:24.0 (3956738)|HEAP_ALLOCATE|[317]|Bytes:6
12:21:24.0 (3967878)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
12:21:24.0 (3971219)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:23
12:21:24.0 (3972957)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:15
12:21:24.0 (4026112)|VARIABLE_ASSIGNMENT|[EXTERNAL]|MicroServicioGetUser.GETUSER|"client/get/user"
12:21:24.0 (4030152)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
12:21:24.0 (4033904)|VARIABLE_ASSIGNMENT|[EXTERNAL]|MicroServicioGetUser.POST|"POST"
12:21:24.0 (4041960)|METHOD_ENTRY|[14]|01p0v000003Gv5s|MicroServicioGetUser.MicroServicioGetUser()
12:21:24.0 (4047813)|STATEMENT_EXECUTE|[14]
12:21:24.0 (4053562)|STATEMENT_EXECUTE|[14]
12:21:24.0 (4056695)|METHOD_EXIT|[14]|MicroServicioGetUser
12:21:24.0 (4060783)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:3
12:21:24.0 (4062392)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:18
12:21:24.0 (4068746)|VARIABLE_SCOPE_BEGIN|[67]|tipoDocumento|String|false|false
12:21:24.0 (4076304)|VARIABLE_ASSIGNMENT|[67]|tipoDocumento|"INE"
12:21:24.0 (4079407)|VARIABLE_SCOPE_BEGIN|[67]|numeroDocumento|String|false|false
12:21:24.0 (4083591)|VARIABLE_ASSIGNMENT|[67]|numeroDocumento|"RIAS171130HNLGLF82"
12:21:24.0 (4090577)|STATEMENT_EXECUTE|[67]
12:21:24.0 (4091794)|STATEMENT_EXECUTE|[69]
12:21:24.0 (4108140)|HEAP_ALLOCATE|[69]|Bytes:4
12:21:24.0 (4119625)|VARIABLE_SCOPE_BEGIN|[69]|result|Map<String,ANY>|true|false
12:21:24.0 (4138825)|VARIABLE_ASSIGNMENT|[69]|result|{}|0x7910be15
12:21:24.0 (4142057)|STATEMENT_EXECUTE|[71]
12:21:24.0 (4160427)|HEAP_ALLOCATE|[68]|Bytes:5
12:21:24.0 (4184035)|HEAP_ALLOCATE|[74]|Bytes:5
12:21:24.0 (4188793)|HEAP_ALLOCATE|[82]|Bytes:7
12:21:24.0 (4194190)|VARIABLE_SCOPE_BEGIN|[71]|success|Boolean|false|false
12:21:24.0 (4356932)|HEAP_ALLOCATE|[71]|Bytes:5
12:21:24.0 (4362680)|VARIABLE_ASSIGNMENT|[71]|success|false
12:21:24.0 (4365211)|STATEMENT_EXECUTE|[73]
12:21:24.0 (4372034)|HEAP_ALLOCATE|[73]|Bytes:4
12:21:24.0 (4377551)|VARIABLE_SCOPE_BEGIN|[73]|params|Map<String,String>|true|false
12:21:24.0 (4384149)|VARIABLE_ASSIGNMENT|[73]|params|{}|0x5dd3077c
12:21:24.0 (4387267)|STATEMENT_EXECUTE|[74]
12:21:24.0 (4389133)|HEAP_ALLOCATE|[74]|Bytes:13
12:21:24.0 (4433894)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
12:21:24.0 (4440384)|STATEMENT_EXECUTE|[75]
12:21:24.0 (4441847)|HEAP_ALLOCATE|[75]|Bytes:15
12:21:24.0 (4449685)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
12:21:24.0 (4452839)|STATEMENT_EXECUTE|[76]
12:21:24.0 (4453998)|HEAP_ALLOCATE|[76]|Bytes:32
12:21:24.0 (4468624)|HEAP_ALLOCATE|[76]|Bytes:35
12:21:24.0 (4499575)|USER_DEBUG|[76]|DEBUG|Consulta GetUser tipoDocumento: INE
12:21:24.0 (4504634)|STATEMENT_EXECUTE|[77]
12:21:24.0 (4505689)|HEAP_ALLOCATE|[77]|Bytes:34
12:21:24.0 (4508357)|HEAP_ALLOCATE|[77]|Bytes:52
12:21:24.0 (4513243)|USER_DEBUG|[77]|DEBUG|Consulta GetUser numeroDocumento: RIAS171130HNLGLF82
12:21:24.0 (4516447)|STATEMENT_EXECUTE|[79]
12:21:24.0 (4600011)|HEAP_ALLOCATE|[79]|Bytes:8
12:21:24.0 (4608695)|CONSTRUCTOR_ENTRY|[79]|01p0v000003Gv5s|<init>()|MicroServicioGetUser
12:21:24.0 (4624063)|VARIABLE_SCOPE_BEGIN|[22]|this|MicroServicioGetUser|true|false
12:21:24.0 (4659585)|VARIABLE_ASSIGNMENT|[22]|this|{}|0x211cacd7
12:21:24.0 (4663923)|STATEMENT_EXECUTE|[14]
12:21:24.0 (4664907)|STATEMENT_EXECUTE|[16]
12:21:24.0 (4668038)|HEAP_ALLOCATE|[24]|Bytes:6
12:21:24.0 (7084233)|STATEMENT_EXECUTE|[22]
12:21:24.0 (7087571)|STATEMENT_EXECUTE|[24]
12:21:24.0 (7169596)|HEAP_ALLOCATE|[24]|Bytes:71
12:21:24.0 (7192173)|HEAP_ALLOCATE|[24]|Bytes:71
12:21:24.0 (7197720)|HEAP_ALLOCATE|[24]|Bytes:1
12:21:24.0 (7216148)|HEAP_ALLOCATE|[24]|Bytes:20
12:21:24.0 (7221154)|VARIABLE_SCOPE_BEGIN|[24]|currentClassName|String|false|false
12:21:24.0 (7236192)|VARIABLE_ASSIGNMENT|[24]|currentClassName|"MicroServicioGetUser"
12:21:24.0 (7239117)|STATEMENT_EXECUTE|[26]
12:21:24.0 (7246347)|HEAP_ALLOCATE|[26]|Bytes:61
12:21:24.0 (7253762)|HEAP_ALLOCATE|[26]|Bytes:31
12:21:24.0 (7262113)|METHOD_ENTRY|[12]|01p0v000002OV5X|ClienteMicroServicios.ClienteMicroServicios()
12:21:24.0 (7265543)|STATEMENT_EXECUTE|[12]
12:21:24.0 (7268092)|STATEMENT_EXECUTE|[12]
12:21:24.0 (7271476)|METHOD_EXIT|[12]|ClienteMicroServicios
12:21:24.0 (7277119)|HEAP_ALLOCATE|[26]|Bytes:124
12:21:24.0 (7285510)|CONSTRUCTOR_ENTRY|[26]|01p0v000002OV5X|<init>()|ClienteMicroServicios
12:21:24.0 (7295151)|VARIABLE_SCOPE_BEGIN|[54]|this|ClienteMicroServicios|true|false
12:21:24.0 (7327583)|VARIABLE_ASSIGNMENT|[54]|this|{}|0x63115644
12:21:24.0 (7332195)|STATEMENT_EXECUTE|[12]
12:21:24.0 (7333218)|STATEMENT_EXECUTE|[14]
12:21:24.0 (7334887)|HEAP_ALLOCATE|[14]|Bytes:23
12:21:24.0 (7346320)|VARIABLE_ASSIGNMENT|[14]|this.BASE_URL|"https://cmr-mx-busin (3 more) ..."|0x63115644
12:21:24.0 (7351084)|STATEMENT_EXECUTE|[15]
12:21:24.0 (7352612)|HEAP_ALLOCATE|[15]|Bytes:23
12:21:24.0 (7359030)|VARIABLE_ASSIGNMENT|[15]|this.URI|".fif.tech/api/busine (3 more) ..."|0x63115644
12:21:24.0 (7363057)|STATEMENT_EXECUTE|[17]
12:21:24.0 (7364745)|HEAP_ALLOCATE|[17]|Bytes:7
12:21:24.0 (7369210)|VARIABLE_ASSIGNMENT|[17]|this.BACKEND|"backend"|0x63115644
12:21:24.0 (7372601)|STATEMENT_EXECUTE|[19]
12:21:24.0 (7374277)|HEAP_ALLOCATE|[19]|Bytes:16
12:21:24.0 (7378825)|VARIABLE_ASSIGNMENT|[19]|this.APP_JSON|"application/json"|0x63115644
12:21:24.0 (7382623)|STATEMENT_EXECUTE|[20]
12:21:24.0 (7383939)|HEAP_ALLOCATE|[20]|Bytes:12
12:21:24.0 (7389013)|VARIABLE_ASSIGNMENT|[20]|this.CONT_TYPE|"Content-Type"|0x63115644
12:21:24.0 (7392340)|STATEMENT_EXECUTE|[21]
12:21:24.0 (7396327)|HEAP_ALLOCATE|[21]|Bytes:4
12:21:24.0 (7404293)|VARIABLE_ASSIGNMENT|[21]|this.TIME_OUT|120000|0x63115644
12:21:24.0 (7408143)|STATEMENT_EXECUTE|[22]
12:21:24.0 (7409920)|HEAP_ALLOCATE|[22]|Bytes:8
12:21:24.0 (7414584)|VARIABLE_ASSIGNMENT|[22]|this.endpoint|"products"|0x63115644
12:21:24.0 (7418644)|STATEMENT_EXECUTE|[23]
12:21:24.0 (7420287)|HEAP_ALLOCATE|[23]|Bytes:4
12:21:24.0 (7426077)|VARIABLE_ASSIGNMENT|[23]|this.method|"POST"|0x63115644
12:21:24.0 (7430188)|STATEMENT_EXECUTE|[24]
12:21:24.0 (7431789)|HEAP_ALLOCATE|[24]|Bytes:2
12:21:24.0 (7436530)|VARIABLE_ASSIGNMENT|[24]|this.version|"v1"|0x63115644
12:21:24.0 (7440990)|STATEMENT_EXECUTE|[25]
12:21:24.0 (7442653)|HEAP_ALLOCATE|[25]|Bytes:14
12:21:24.0 (7447728)|VARIABLE_ASSIGNMENT|[25]|this.MDW_CS_CHANNEL|"mdw-cs-channel"|0x63115644
12:21:24.0 (7451767)|STATEMENT_EXECUTE|[26]
12:21:24.0 (7453388)|HEAP_ALLOCATE|[26]|Bytes:15
12:21:24.0 (7458087)|VARIABLE_ASSIGNMENT|[26]|this.MDW_CS_COMMERCE|"mdw-cs-commerce"|0x63115644
12:21:24.0 (7462239)|STATEMENT_EXECUTE|[27]
12:21:24.0 (7464080)|HEAP_ALLOCATE|[27]|Bytes:14
12:21:24.0 (7469100)|VARIABLE_ASSIGNMENT|[27]|this.MDW_CS_COUNTRY|"mdw-cs-country"|0x63115644
12:21:24.0 (7472510)|STATEMENT_EXECUTE|[28]
12:21:24.0 (7473906)|HEAP_ALLOCATE|[28]|Bytes:11
12:21:24.0 (7478940)|VARIABLE_ASSIGNMENT|[28]|this.MDW_CS_DATE|"mdw-cs-date"|0x63115644
12:21:24.0 (7483144)|STATEMENT_EXECUTE|[29]
12:21:24.0 (7484379)|HEAP_ALLOCATE|[29]|Bytes:11
12:21:24.0 (7490355)|VARIABLE_ASSIGNMENT|[29]|this.MDW_CS_HOUR|"mdw-cs-hour"|0x63115644
12:21:24.0 (7493673)|STATEMENT_EXECUTE|[30]
12:21:24.0 (7495192)|STATEMENT_EXECUTE|[31]
12:21:24.0 (7496885)|HEAP_ALLOCATE|[31]|Bytes:7
12:21:24.0 (7501461)|VARIABLE_ASSIGNMENT|[31]|this.microServicio|"default"|0x63115644
12:21:24.0 (7505424)|STATEMENT_EXECUTE|[34]
12:21:24.0 (7507229)|HEAP_ALLOCATE|[34]|Bytes:10
12:21:24.0 (7512829)|VARIABLE_ASSIGNMENT|[34]|this.GRANT_TYPE|"grant_type"|0x63115644
12:21:24.0 (7517139)|STATEMENT_EXECUTE|[35]
12:21:24.0 (7518913)|HEAP_ALLOCATE|[35]|Bytes:8
12:21:24.0 (7524549)|VARIABLE_ASSIGNMENT|[35]|this.PASSWORD|"password"|0x63115644
12:21:24.0 (7528706)|STATEMENT_EXECUTE|[36]
12:21:24.0 (7530187)|HEAP_ALLOCATE|[36]|Bytes:9
12:21:24.0 (7535288)|VARIABLE_ASSIGNMENT|[36]|this.CLIENT_ID|"client_id"|0x63115644
12:21:24.0 (7539238)|STATEMENT_EXECUTE|[37]
12:21:24.0 (7540764)|HEAP_ALLOCATE|[37]|Bytes:13
12:21:24.0 (7545950)|VARIABLE_ASSIGNMENT|[37]|this.CLIENT_SECRET|"client_secret"|0x63115644
12:21:24.0 (7549929)|STATEMENT_EXECUTE|[38]
12:21:24.0 (7551494)|HEAP_ALLOCATE|[38]|Bytes:13
12:21:24.0 (7556496)|VARIABLE_ASSIGNMENT|[38]|this.PROVISION_KEY|"provision_key"|0x63115644
12:21:24.0 (7560640)|STATEMENT_EXECUTE|[39]
12:21:24.0 (7562412)|HEAP_ALLOCATE|[39]|Bytes:20
12:21:24.0 (7568095)|VARIABLE_ASSIGNMENT|[39]|this.AUTHENTICATED_USERID|"authenticated_userid"|0x63115644
12:21:24.0 (7572518)|STATEMENT_EXECUTE|[40]
12:21:24.0 (7574769)|HEAP_ALLOCATE|[40]|Bytes:12
12:21:24.0 (7579560)|VARIABLE_ASSIGNMENT|[40]|this.AT|"access_token"|0x63115644
12:21:24.0 (7582944)|STATEMENT_EXECUTE|[42]
12:21:24.0 (7584532)|HEAP_ALLOCATE|[42]|Bytes:13
12:21:24.0 (7589842)|VARIABLE_ASSIGNMENT|[42]|this.AUTH|"Authorization"|0x63115644
12:21:24.0 (7594024)|STATEMENT_EXECUTE|[43]
12:21:24.0 (7595524)|HEAP_ALLOCATE|[43]|Bytes:6
12:21:24.0 (7600237)|VARIABLE_ASSIGNMENT|[43]|this.BEARER|"Bearer"|0x63115644
12:21:24.0 (7604010)|STATEMENT_EXECUTE|[44]
12:21:24.0 (7605284)|HEAP_ALLOCATE|[44]|Bytes:12
12:21:24.0 (7610398)|VARIABLE_ASSIGNMENT|[44]|this.OAUTH|"oauth2/token"|0x63115644
12:21:24.0 (7613955)|STATEMENT_EXECUTE|[47]
12:21:24.0 (7615434)|HEAP_ALLOCATE|[47]|Bytes:8
12:21:24.0 (7619734)|VARIABLE_ASSIGNMENT|[47]|this.SECCTION|"secction"|0x63115644
12:21:24.0 (7623060)|STATEMENT_EXECUTE|[48]
12:21:24.0 (7624378)|HEAP_ALLOCATE|[48]|Bytes:10
12:21:24.0 (7628285)|VARIABLE_ASSIGNMENT|[48]|this.APIVERSION|"apiversion"|0x63115644
12:21:24.0 (7631741)|STATEMENT_EXECUTE|[49]
12:21:24.0 (7633189)|HEAP_ALLOCATE|[49]|Bytes:5
12:21:24.0 (7638044)|VARIABLE_ASSIGNMENT|[49]|this.SCORETOKEN|"token"|0x63115644
12:21:24.0 (7641580)|STATEMENT_EXECUTE|[52]
12:21:24.0 (7645345)|VARIABLE_ASSIGNMENT|[52]|this.access_token|""|0x63115644
12:21:24.0 (7666773)|STATEMENT_EXECUTE|[54]
12:21:24.0 (7668256)|STATEMENT_EXECUTE|[55]
12:21:24.0 (7694036)|METHOD_ENTRY|[55]|01p0v000002OV5X|ClienteMicroServicios.setMicroServicio(String)
12:21:24.0 (7710111)|VARIABLE_SCOPE_BEGIN|[74]|this|ClienteMicroServicios|true|false
12:21:24.0 (7760048)|VARIABLE_ASSIGNMENT|[74]|this|{"access_token":"","APIVERSION":"apiversion","APP_JSON":"application/json","AT":"access_token","AUTH":"Authorization","AUTHENTICATED_USERID":"authenticated_userid","BACKEND":"backend","BASE_URL":"https://cmr-mx-busin (3 more) ...","BEARER":"Bearer","CLIENT_ID":"client_id","CLIENT_SECRET":"client_secret","CONT_TYPE":"Content-Type","endpoint":"products","GRANT_TYPE":"grant_type","MDW_CS_CHANNEL":"mdw-cs-channel","MDW_CS_COMMERCE":"mdw-cs-commerce","MDW_CS_COUNTRY":"mdw-cs-country","MDW_CS_DATE":"mdw-cs-date","MDW_CS_HOUR":"mdw-cs-hour","method":"POST","microServicio":"default","OAUTH":"oauth2/token","PASSWORD":"password","PROVISION_KEY":"provision_key","SCORETOKEN":"token","SECCTION":"secction","TIME_OUT":120000,"URI":".fif.tech/api/busine (3 more) ...","version":"v1"}|0x63115644
12:21:24.0 (7768420)|VARIABLE_SCOPE_BEGIN|[74]|microServicio|String|false|false
12:21:24.0 (7772462)|VARIABLE_ASSIGNMENT|[74]|microServicio|"default"
12:21:24.0 (7777517)|STATEMENT_EXECUTE|[74]
12:21:24.0 (7778394)|STATEMENT_EXECUTE|[76]
12:21:24.0 (7783565)|VARIABLE_ASSIGNMENT|[76]|this.microServicio|"default"|0x63115644
12:21:24.0 (7786150)|STATEMENT_EXECUTE|[77]
12:21:24.0 (7788103)|HEAP_ALLOCATE|[77]|Bytes:226
12:21:24.0 (7803109)|HEAP_ALLOCATE|[77]|Bytes:4
12:21:24.0 (7809736)|HEAP_ALLOCATE|[77]|Bytes:7
12:21:24.0 (8761027)|SOQL_EXECUTE_BEGIN|[77]|Aggregations:0|SELECT Ambiente__c, Channel__c, Commerce__c, Country__c, Client_ID__c, Client_Secret__c, Provision_Key__c, Authenticated_UserID__c, Section__c, Apiversion__c FROM Configuracion_Microservicio__mdt WHERE Label = :tmpVar1 LIMIT 1
12:21:24.0 (14059738)|SOQL_EXECUTE_END|[77]|Rows:1
12:21:24.0 (14092177)|HEAP_ALLOCATE|[77]|Bytes:8
12:21:24.0 (14113999)|HEAP_ALLOCATE|[77]|Bytes:277
12:21:24.0 (14235468)|HEAP_ALLOCATE|[77]|Bytes:8
12:21:24.0 (14251351)|HEAP_ALLOCATE|[77]|Bytes:58
12:21:24.0 (14315934)|HEAP_ALLOCATE|[77]|Bytes:40
12:21:24.0 (14415671)|VARIABLE_ASSIGNMENT|[77]|this.cm|{"Country__c":"MX","Client_Secret__c":"OTM5ZTgxMzIwNzI2ZGNl (12 more) ...","Ambiente__c":"qa","Authenticated_UserID__c":"0","Client_ID__c":"MTI3ZjBjNmE3NTg1ZTVm (12 more) ...","Id":"m080v0000000W1tAAE","Channel__c":"Web","Provision_Key__c":"MjU2NjIwMTFjYmJkZjJk (12 more) ...","Commerce__c":"CMR"}|0x63115644
12:21:24.0 (14431584)|METHOD_EXIT|[55]|01p0v000002OV5X|ClienteMicroServicios.setMicroServicio(String)
12:21:24.0 (14441099)|CONSTRUCTOR_EXIT|[26]|01p0v000002OV5X|<init>()|ClienteMicroServicios
12:21:24.0 (14453075)|VARIABLE_ASSIGNMENT|[26]|this.cliente|0x63115644|0x211cacd7
12:21:24.0 (14459721)|STATEMENT_EXECUTE|[27]
12:21:24.0 (14483110)|METHOD_ENTRY|[27]|01p0v000002OV5X|ClienteMicroServicios.setMethod(String)
12:21:24.0 (14498474)|VARIABLE_SCOPE_BEGIN|[64]|this|ClienteMicroServicios|true|false
12:21:24.0 (14570800)|VARIABLE_ASSIGNMENT|[64]|this|{"access_token":"","APIVERSION":"apiversion","APP_JSON":"application/json","AT":"access_token","AUTH":"Authorization","AUTHENTICATED_USERID":"authenticated_userid","BACKEND":"backend","BASE_URL":"https://cmr-mx-busin (3 more) ...","BEARER":"Bearer","CLIENT_ID":"client_id","CLIENT_SECRET":"client_secret","cm":"0x7c691803","CONT_TYPE":"Content-Type","endpoint":"products","GRANT_TYPE":"grant_type","MDW_CS_CHANNEL":"mdw-cs-channel","MDW_CS_COMMERCE":"mdw-cs-commerce","MDW_CS_COUNTRY":"mdw-cs-country","MDW_CS_DATE":"mdw-cs-date","MDW_CS_HOUR":"mdw-cs-hour","method":"POST","microServicio":"default","OAUTH":"oauth2/token","PASSWORD":"password","PROVISION_KEY":"provision_key","SCORETOKEN":"token","SECCTION":"secction","TIME_OUT":120000,"URI":".fif.tech/api/busine (3 more) ...","version":"v1"}|0x63115644
12:21:24.0 (14582483)|VARIABLE_SCOPE_BEGIN|[64]|method|String|false|false
12:21:24.0 (14588912)|VARIABLE_ASSIGNMENT|[64]|method|"POST"
12:21:24.0 (14596505)|STATEMENT_EXECUTE|[64]
12:21:24.0 (14598168)|STATEMENT_EXECUTE|[66]
12:21:24.0 (14603681)|VARIABLE_ASSIGNMENT|[66]|this.method|"POST"|0x63115644
12:21:24.0 (14611116)|METHOD_EXIT|[27]|01p0v000002OV5X|ClienteMicroServicios.setMethod(String)
12:21:24.0 (14614953)|STATEMENT_EXECUTE|[28]
