52.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
12:20:00.0 (231636)|USER_INFO|[EXTERNAL]|0051N000005gvau|etrevinofalabella@izeicg.com.uat|(GMT-06:00) Central Standard Time (America/Mexico_City)|GMT-06:00
12:20:00.0 (282840)|EXECUTION_STARTED
12:20:00.0 (297068)|CODE_UNIT_STARTED|[EXTERNAL]|01p0v000003h7p3|BatchUpdateCaseGestorBO
12:20:00.0 (1660302)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
12:20:00.0 (1728731)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
12:20:00.0 (1750856)|METHOD_ENTRY|[11]|01p0v000003h7p3|BatchUpdateCaseGestorBO.BatchUpdateCaseGestorBO()
12:20:00.0 (1758496)|STATEMENT_EXECUTE|[11]
12:20:00.0 (1771381)|STATEMENT_EXECUTE|[11]
12:20:00.0 (1779766)|METHOD_EXIT|[11]|BatchUpdateCaseGestorBO
12:20:00.0 (1785563)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:20
12:20:00.0 (1791328)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
12:20:00.0 (1818659)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:24
12:20:00.0 (1833303)|VARIABLE_SCOPE_BEGIN|[42]|this|BatchUpdateCaseGestorBO|true|false
12:20:00.0 (1969134)|VARIABLE_ASSIGNMENT|[42]|this|{"idQueueFraudesCredito":"00G0v000002erN3EAI","intCallMSAttempts":3,"lstRecordTypesBO":"0x5fb090d9","lstRequestsWithError":"0x491a8208"}|0x147ef247
12:20:00.0 (1978293)|VARIABLE_SCOPE_BEGIN|[42]|BC|Database.BatchableContext|true|false
12:20:00.0 (2187343)|VARIABLE_ASSIGNMENT|[42]|BC|{"childJobId":"707Rt000024l5DRIAY","jobId":"707Rt000024lfuDIAQ"}|0x364bbced
12:20:00.0 (2195855)|VARIABLE_SCOPE_BEGIN|[42]|scope|List<Case>|true|false
12:20:00.0 (2392524)|VARIABLE_ASSIGNMENT|[42]|scope|[{"Solicitud_Repetida__c":true,"Id":"5000v000007ccTDAAY","Total_a_Condonar__c":0.0,"ID_Solicitud__c":"300001111"},{"Solicitud_Repetida__c":true,"Id":"5000v000007eeByAAI","Total_a_Condonar__c":0.0,"ID_Solicitud__c":"300001739"},{"ID_Solicitud__c":"300001720","Solicitud_Repetida__c":false,"Id":"5000v000007eiy1AAA"},{"Solicitud_Repetida__c":false,"Id":"500DK000008RyrCYAS","Total_a_Condonar__c":0.0,"ID_Solicitud__c":"566"},{"Solicitud_Repetida__c":false,"Id":"500Rt000006FdBnIAK","Total_a_Condonar__c":0.0,"ID_Solicitud__c":"300000503"}]|0x12dba860
12:20:00.0 (2419345)|STATEMENT_EXECUTE|[42]
12:20:00.0 (2421498)|STATEMENT_EXECUTE|[44]
12:20:00.0 (2441309)|HEAP_ALLOCATE|[44]|Bytes:4
12:20:00.0 (2532404)|VARIABLE_SCOPE_BEGIN|[44]|lstIdSolicitud|List<String>|true|false
12:20:00.0 (2574063)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
12:20:00.0 (2583316)|VARIABLE_ASSIGNMENT|[44]|lstIdSolicitud|[]|0x49b6d4ba
12:20:00.0 (2588481)|STATEMENT_EXECUTE|[46]
12:20:00.0 (7936449)|HEAP_ALLOCATE|[46]|Bytes:4
12:20:00.0 (8013061)|VARIABLE_SCOPE_BEGIN|[46]|mapResponseGestor|Map<String,SolicitudGestorJSON>|true|false
12:20:00.0 (8049607)|VARIABLE_ASSIGNMENT|[46]|mapResponseGestor|{}|0x6742a6af
12:20:00.0 (8059927)|STATEMENT_EXECUTE|[47]
12:20:00.0 (8070776)|HEAP_ALLOCATE|[47]|Bytes:4
12:20:00.0 (8077018)|VARIABLE_SCOPE_BEGIN|[47]|mapSolicitudRepetida|Map<String,Boolean>|true|false
12:20:00.0 (8084402)|VARIABLE_ASSIGNMENT|[47]|mapSolicitudRepetida|{}|0x171e0569
12:20:00.0 (8088350)|STATEMENT_EXECUTE|[49]
12:20:00.0 (8456654)|HEAP_ALLOCATE|[49]|Bytes:4
12:20:00.0 (8551617)|VARIABLE_SCOPE_BEGIN|[49]|lstErrorLog|List<Error_Log__c>|true|false
12:20:00.0 (8562623)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
12:20:00.0 (8576124)|VARIABLE_ASSIGNMENT|[49]|lstErrorLog|[]|0x6c292aad
12:20:00.0 (9576223)|HEAP_ALLOCATE|[68]|Bytes:5
12:20:00.0 (9624284)|HEAP_ALLOCATE|[74]|Bytes:5
12:20:00.0 (9637947)|HEAP_ALLOCATE|[82]|Bytes:7
12:20:00.0 (9663201)|HEAP_ALLOCATE|[51]|Bytes:5
12:20:00.0 (9768310)|HEAP_ALLOCATE|[51]|Bytes:20
12:20:00.0 (9784530)|VARIABLE_SCOPE_BEGIN|[51]|caso|Case|true|false
